Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01729,0.01173
2,0.01473,0.01181
3,0.01876,0.01285
4,0.02622,0.01268
5,0.029,0.01817
6,0.0145,0.01265
7,0.01989,0.01052
8,0.01945,0.01769
9,0.03165,0.01341
10,0.01883,0.01112
11,0.0236,0.0158
12,0.02542,0.00955
13,0.02459,0.01399
14,0.038,0.01396
15,0.0188,0.01066
16,0.0195,0.00982
17,0.02414,0.0169
18,0.03789,0.01548
19,0.02742,0.01331
20,0.02172,0.01311
21,0.0278,0.0116
22,0.03762,0.01384
23,0.01733,0.01155
24,0.02607,0.01519
25,0.01976,0.01426
26,0.02212,0.01192
27,0.0198,0.01512
28,0.02115,0.01168
29,0.04029,0.01073
30,0.02777,0.01061
31,0.04343,0.0082
32,0.02857,0.01357
33,0.02044,0.01408
34,0.02917,0.01751
35,0.04517,0.0195
36,0.01516,0.0147
37,0.03858,0.01475
38,0.03816,0.01093
39,0.0219,0.01846
40,0.02006,0.01409
41,0.02804,0.0125
42,0.02145,0.01414
43,0.02425,0.0121
44,0.03134,0.01118
45,0.03862,0.01049
46,0.03791,0.01169
47,0.03227,0.01099
48,0.01674,0.0147
49,0.01993,0.01261
50,0.02547,0.01281
