Iteration,NN_Experiment_Error,KKThPINN_Experiment_Error
1,0.039272828397415485,0.013510763851196829
2,0.013064834974861033,0.0335913845826332
3,0.018354067342747447,0.044799094948096876
4,0.07099840765150925,0.02245116766404423
5,0.020264477598878252,0.11222137647069219
6,0.03260190171559605,0.012467219543418373
7,0.019114873044257494,0.01103314459779478
8,0.021177358437390322,0.014135780445343173
9,0.017799201999008963,0.01756053862737522
10,0.05046812246252838,0.01458859276702569
11,0.017622806104257118,0.11680318229686619
12,0.015192430686145762,0.017254484287353256
13,0.1192103371536,0.014682047014505081
14,0.019561094852356874,0.022057776845807314
15,0.05910149573350231,0.017110795669607774
16,0.027827986728694437,0.023377272060341524
17,0.030191766550269943,0.015837065497477983
18,0.017343422320873308,0.1017611559796324
19,0.0533382640455068,0.01163450570914549
20,0.0142205760005586,0.01940847519654673
21,0.026044101976851204,0.013249654931451953
22,0.016867358167158567,0.01384870431267245
23,0.026336727040053187,0.011843524026904959
24,0.05610904682937722,0.02083996540931658
25,0.01525265331883134,0.007596575901346911
26,0.01618027908926909,0.04007013935009679
27,0.03676709812637485,0.03878636398621601
28,0.059590790504141414,0.01111515823293184
29,0.08680988481441528,0.020740677070042214
30,0.019016996032945543,0.01111935938379333
31,0.020455167956133582,0.026727419409404266
32,0.0479788400496917,0.018886013712514808
33,0.038786081286139036,0.03270398901093872
34,0.042639710337870416,0.016919608107145455
35,0.038500052463977426,0.018291758245690442
36,0.05175846308623193,0.026225300032735703
37,0.026659777321148697,0.012191671117700366
38,0.03900213830512683,0.01645505476288099
39,0.04547155527314909,0.01679310250767664
40,0.0362028867328512,0.05086353545972779
41,0.05980353645042983,0.012662522847536356
42,0.05666794251757355,0.022586012975394445
43,0.029902606967391065,0.017181615884707235
44,0.07377402569530168,0.016982713689498746
45,0.09721160572567768,0.025397905179456486
46,0.07870776706065542,0.056868691332358584
47,0.020738379951694353,0.015576865597358273
48,0.021915961011099192,0.05472528374292267
49,0.043109255310790635,0.04487752944574608
50,0.024606518648250027,0.015858761036142817
