Iteration,NN_Training_Error,KKThPINN_Training_Error
1,7e-05,7e-05
2,0.00013,0.0002
3,6e-05,4e-05
4,6e-05,7e-05
5,0.01546,5e-05
6,0.00016,9e-05
7,0.00036,0.00019
8,0.00012,0.00012
9,3e-05,0.00025
10,9e-05,0.00045
11,9e-05,0.00022
12,0.00018,0.00013
13,0.0002,0.0002
14,8e-05,0.00014
15,7e-05,3e-05
16,0.00034,7e-05
17,8e-05,0.00019
18,0.0002,0.00013
19,0.00025,0.0002
20,0.00019,0.00022
21,0.00015,4e-05
22,5e-05,3e-05
23,0.00013,0.00015
24,5e-05,0.0002
25,0.00019,6e-05
26,0.00019,7e-05
27,0.00011,6e-05
28,4e-05,0.00022
29,0.0001,0.00026
30,4e-05,9e-05
31,0.00019,0.00032
32,0.00015,1e-05
33,4e-05,4e-05
34,0.00012,5e-05
35,0.00019,0.00019
36,0.00127,2e-05
37,9e-05,0.00023
38,0.00022,0.0002
39,0.00011,0.00016
40,4e-05,3e-05
41,0.00011,7e-05
42,0.00014,0.00019
43,0.0002,0.00019
44,8e-05,0.00026
45,0.0002,0.00021
46,6e-05,0.00014
47,0.0002,0.0002
48,0.00021,0.01542
49,0.00021,6e-05
50,9e-05,0.0001
