Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00469,0.00061
2,0.00531,0.00015
3,0.00039,0.00029
4,0.0003,7e-05
5,0.00053,0.00014
6,0.00129,6e-05
7,0.00158,3e-05
8,0.00023,0.01435
9,0.00034,4e-05
10,0.00506,8e-05
11,0.00012,9e-05
12,0.00022,0.00017
13,0.00192,0.00011
14,0.0003,0.00013
15,0.00021,0.00018
16,0.00125,0.00071
17,0.00027,0.00015
18,0.00171,9e-05
19,0.00024,6e-05
20,0.00152,0.00014
21,0.00315,0.00043
22,0.00074,0.00017
23,9e-05,0.00114
24,0.00087,0.00013
25,0.00042,0.00093
26,0.00018,0.00021
27,0.0016,0.00049
28,0.00017,4e-05
29,9e-05,0.0002
30,0.00033,9e-05
31,0.00011,0.00103
32,0.00139,0.00031
33,0.00022,0.00073
34,0.00718,0.00015
35,0.00158,0.00011
36,0.00021,0.0002
37,0.00014,0.00057
38,0.00352,0.00025
39,0.00146,0.0001
40,0.00016,5e-05
41,0.00058,0.0004
42,0.00056,0.00032
43,0.00037,6e-05
44,0.0084,5e-05
45,0.00112,0.00019
46,0.00018,0.00131
47,0.01054,0.00031
48,0.00359,0.00014
49,0.00023,0.00012
50,0.00032,0.01421
