model,NN
model_id,MODELID
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,32
dataset_type,cstr
dataset_path,C:\Users\Fateme\Desktop\Research\CSTR\makeup\data.csv
val_ratio,0.2
job,experiment
runs,10
loss_type,MSE
run,1
rmse_total,0.06355304441460335
rmse_unconstrained,0.02852555610520939
rmse_constrained,0.005540849470261778
violation,12563.2490234375
post_rmse_total,0.06325588974778609
post_rmse_unconstrained,0.02502138502386268
post_rmse_constrained,0.004725890386539369
