Iteration,NN_Experiment_Error,KKThPINN_Experiment_Error
1,0.0002,0.00014
2,3e-05,0.00011
3,5e-05,0.00023
4,0.00011,8e-05
5,0.00015,0.00021
6,5e-05,6e-05
7,1e-05,0.0002
8,0.00015,0.00022
9,0.00028,0.00021
10,8e-05,0.00019
11,0.00013,0.01595
12,8e-05,0.00022
13,0.00023,0.00022
14,0.00021,0.00021
15,0.00011,3e-05
16,7e-05,5e-05
17,0.00022,0.00011
18,0.00033,3e-05
19,0.00033,0.00021
20,0.0002,6e-05
21,3e-05,0.00022
22,0.00026,3e-05
23,0.00013,4e-05
24,9e-05,7e-05
25,0.00013,7e-05
26,0.00013,0.00012
27,5e-05,0.00021
28,6e-05,3e-05
29,0.00024,0.00023
30,9e-05,0.00021
31,0.00021,0.00024
32,7e-05,0.00021
33,0.00021,0.00027
34,0.00021,0.00012
35,4e-05,0.00012
36,0.00025,0.00019
37,3e-05,0.00022
38,0.00021,0.00012
39,6e-05,6e-05
40,6e-05,6e-05
41,0.0001,7e-05
42,0.00017,1e-05
43,1e-05,6e-05
44,0.00021,0.00022
45,0.0001,0.00022
46,5e-05,6e-05
47,6e-05,0.00025
48,6e-05,0.00021
49,0.00031,0.00022
50,0.0001,0.00025
