Iteration,NN_Training_Error,KKThPINN_Training_Error
1,9e-05,0.00043
2,0.00023,0.00043
3,0.0001,0.0004
4,9e-05,0.0004
5,6e-05,0.00038
6,0.00187,0.00041
7,9e-05,0.00046
8,3e-05,0.00053
9,4e-05,0.00038
10,8e-05,0.00047
11,0.00016,0.0004
12,1e-05,0.00038
13,0.00025,0.0004
14,7e-05,0.00043
15,9e-05,0.00039
16,0.00011,0.00043
17,0.00021,0.0004
18,3e-05,0.00042
19,0.00023,0.00042
20,0.00015,0.00047
21,0.00025,0.00038
22,0.00014,0.00044
23,7e-05,0.00045
24,8e-05,0.00045
25,5e-05,0.00039
26,0.00014,0.00038
27,0.0001,0.00038
28,0.00019,0.00049
29,0.00019,0.00042
30,0.0002,0.00047
31,5e-05,0.00042
32,0.00024,0.0004
33,8e-05,0.00045
34,6e-05,0.0004
35,4e-05,0.00041
36,8e-05,0.00043
37,0.00012,0.0004
38,0.00018,0.00042
39,0.00016,0.00041
40,2e-05,0.00043
41,0.00016,0.00044
42,7e-05,0.00041
43,0.00025,0.00041
44,0.00011,0.00047
45,0.00024,0.00045
46,5e-05,0.00043
47,0.00025,0.00042
48,0.00025,0.00044
49,0.00025,0.00039
50,0.00025,0.00042
