kkt_csv_row,original_source_row_index_zero_based,intended_pl_split
0,69,train
1,127,train
2,161,train
3,10,train
4,168,train
5,25,train
6,4,train
7,46,val
8,26,train
9,148,val
10,23,train
11,13,val
12,62,train
13,144,train
14,81,train
15,61,train
16,24,train
17,91,val
18,135,train
19,49,val
20,132,train
21,136,train
22,33,train
23,72,val
24,162,val
25,36,train
26,119,train
27,18,train
28,150,train
29,22,train
30,89,val
31,41,train
32,40,train
33,100,train
34,80,val
35,55,train
36,83,val
37,70,val
38,109,train
39,157,val
40,38,train
41,90,train
42,73,train
43,11,train
44,115,train
45,104,val
46,17,val
47,101,train
48,67,train
49,34,val
50,79,train
51,118,train
52,6,train
53,139,train
54,125,train
55,165,train
56,126,train
57,84,train
58,111,train
59,122,val
60,96,train
61,128,train
62,123,train
63,12,train
64,16,train
65,66,train
66,27,train
67,140,val
68,131,val
69,138,train
70,134,val
71,94,train
72,76,train
73,143,train
74,7,val
75,154,val
76,56,train
77,124,train
78,142,train
79,133,train
80,68,train
81,65,train
82,15,train
83,31,train
84,60,train
85,153,val
86,146,train
87,30,train
88,44,train
89,110,val
90,159,train
91,158,train
92,77,val
93,28,train
94,9,train
95,85,train
96,156,train
97,43,val
98,97,train
99,105,train
100,51,train
101,93,train
102,166,train
103,35,val
104,64,train
105,147,train
106,19,train
107,95,train
108,42,train
109,0,train
110,75,train
111,47,train
112,163,train
113,145,val
114,3,val
115,113,val
116,29,train
117,98,train
118,53,val
119,152,val
120,82,train
121,45,train
122,32,train
123,78,train
124,5,val
125,86,train
126,137,train
127,2,train
128,114,train
129,8,val
130,108,train
131,120,train
132,117,train
133,112,train
134,39,train
135,59,val
