split,order_within_split,source_row_index_zero_based
train,0,139
train,1,30
train,2,119
train,3,29
train,4,144
train,5,163
train,6,166
train,7,51
train,8,105
train,9,60
train,10,15
train,11,158
train,12,135
train,13,45
train,14,68
train,15,85
train,16,24
train,17,109
train,18,75
train,19,108
train,20,19
train,21,16
train,22,31
train,23,18
train,24,12
train,25,9
train,26,82
train,27,98
train,28,76
train,29,55
train,30,42
train,31,56
train,32,150
train,33,111
train,34,69
train,35,138
train,36,2
train,37,93
train,38,136
train,39,156
train,40,90
train,41,114
train,42,26
train,43,146
train,44,137
train,45,97
train,46,65
train,47,36
train,48,126
train,49,22
train,50,101
train,51,161
train,52,96
train,53,11
train,54,67
train,55,133
train,56,6
train,57,27
train,58,78
train,59,147
train,60,38
train,61,41
train,62,4
train,63,143
train,64,32
train,65,66
train,66,127
train,67,95
train,68,10
train,69,100
train,70,115
train,71,0
train,72,125
train,73,117
train,74,64
train,75,44
train,76,120
train,77,28
train,78,40
train,79,118
train,80,25
train,81,23
train,82,123
train,83,81
train,84,79
train,85,84
train,86,39
train,87,94
train,88,86
train,89,112
train,90,165
train,91,142
train,92,47
train,93,128
train,94,61
train,95,73
train,96,33
train,97,159
train,98,124
train,99,132
train,100,62
train,101,168
val,0,104
val,1,140
val,2,53
val,3,5
val,4,122
val,5,3
val,6,157
val,7,49
val,8,35
val,9,80
val,10,77
val,11,34
val,12,46
val,13,7
val,14,43
val,15,70
val,16,154
val,17,110
val,18,91
val,19,83
val,20,152
val,21,153
val,22,89
val,23,8
val,24,162
val,25,113
val,26,13
val,27,59
val,28,145
val,29,131
val,30,17
val,31,72
val,32,148
val,33,134
test,0,141
test,1,155
test,2,63
test,3,54
test,4,107
test,5,50
test,6,167
test,7,58
test,8,48
test,9,88
test,10,21
test,11,57
test,12,164
test,13,129
test,14,37
test,15,160
test,16,1
test,17,52
test,18,149
test,19,130
test,20,151
test,21,103
test,22,99
test,23,116
test,24,87
test,25,74
test,26,121
test,27,169
test,28,20
test,29,71
test,30,106
test,31,14
test,32,92
test,33,102
