mu,run,model_id,rmse_total,violation
0.0,0,PINN_mu_0p0,0.007710717513403106,0.05134303105256882
0.0,1,PINN_mu_0p0,0.012379104150521451,0.0856050769205274
0.0,2,PINN_mu_0p0,0.0057015821907614546,0.03380942720425335
0.0001,0,PINN_mu_0p0001,0.009239109922615577,0.08314059959702538
0.0001,1,PINN_mu_0p0001,0.009404377214303535,0.05206164880023078
0.0001,2,PINN_mu_0p0001,0.00817893248822726,0.07568001779254208
0.001,0,PINN_mu_0p001,0.010732250035473337,0.06758714956616352
0.001,1,PINN_mu_0p001,0.007841121377670632,0.05344625915583086
0.001,2,PINN_mu_0p001,0.014094202602962022,0.13389731371760188
0.01,0,PINN_mu_0p01,0.01724032912259755,0.09918980452249491
0.01,1,PINN_mu_0p01,0.010662101736762008,0.04431523067707166
0.01,2,PINN_mu_0p01,0.009981449518914864,0.049905680776591764
0.1,0,PINN_mu_0p1,0.01215306666171352,0.017130859319427403
0.1,1,PINN_mu_0p1,0.01783945665832449,0.022039372003630882
0.1,2,PINN_mu_0p1,0.011945163772715138,0.007771770245921688
1.0,0,PINN_mu_1p0,0.03977737771991174,0.015403043538882123
1.0,1,PINN_mu_1p0,0.05448433219972552,0.014979534174207932
1.0,2,PINN_mu_1p0,0.059892377648686775,0.020090618486446537
10.0,0,PINN_mu_10p0,0.14277802293266298,0.0023929239275419264
10.0,1,PINN_mu_10p0,0.12007983140715289,0.004221052241438263
10.0,2,PINN_mu_10p0,0.1436146198621181,0.00919003734980718
100.0,0,PINN_mu_100p0,0.16562704431781358,0.003960408938399796
100.0,1,PINN_mu_100p0,0.2088400939657973,0.005253472812072522
100.0,2,PINN_mu_100p0,0.14274558847231011,0.006426564838829026
