model,KKThPINN
model_id,KKThPINN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,41
seed,41
loss_type,MSE
rmse_total,0.037547026171851725
violation,4.0020274675899763e-14
violation_original_nonlinear,1.4567358598818876
violation_rxn,2.9134717197637747
violation_mb,5.355193412897814e-16
prediction_time_sec,0.0027626617811620235
