mu_rxn,mu_mb,run,epochs,dtype,rmse_total,violation_original_nonlinear,violation_rxn,violation_mb
0.0,0.0,0,1000,64,0.0898150140810969,45.69528567708611,91.3836180351564,0.006953319015817446
0.0,0.0,1,1000,64,0.0607847850116902,34.311694118041764,68.5922809899274,0.031107246156129736
0.0,0.0,2,1000,64,0.07147253611740811,10.855053626419393,21.674688241934533,0.0354190109042546
0.0,0.001,0,1000,64,0.08958371757075648,45.52014588737933,91.03336812007063,0.006923654688029076
0.0,0.001,1,1000,64,0.06048126532649397,34.36827642305228,68.70859994931634,0.027952896788226576
0.0,0.001,2,1000,64,0.07212665827155507,10.584734108288758,21.134905840005466,0.034562376572052064
0.0,0.01,0,1000,64,0.08966194672704014,44.82204511780329,89.63729814157169,0.006792094034908403
0.0,0.01,1,1000,64,0.06082873181701461,33.65035072930092,67.27333217232898,0.027369286272864328
0.0,0.01,2,1000,64,0.07692776822683856,13.270742292844963,26.51352308623055,0.027961499459379258
0.0,0.05,0,1000,64,0.08882356539560168,40.15306984580075,80.30140301650115,0.004736675100340387
0.0,0.05,1,1000,64,0.06268425868423536,31.85210529857511,63.67946684164858,0.02474375550163544
0.0,0.05,2,1000,64,0.09000340566992876,20.521574954222782,41.02782361988665,0.015326288558919638
0.0,0.1,0,1000,64,0.09448350947021421,37.32606984978706,74.64885844514109,0.00328125443302819
0.0,0.1,1,1000,64,0.0657523800708449,27.80819694685363,55.594639646420525,0.021754247286735803
0.0,0.1,2,1000,64,0.13217039915580236,41.782685252758554,83.55733321693685,0.00803728858024634
1e-07,0.0,0,1000,64,0.10382718695153806,15.748527639103813,31.401154867452366,0.09590041075526468
1e-07,0.0,1,1000,64,0.06435622395391445,12.037827296129441,24.01370071358569,0.06195387867319348
1e-07,0.0,2,1000,64,0.07487355138630564,9.803656672784143,19.581606772039027,0.025706573529257187
1e-07,0.001,0,1000,64,0.10360252511044371,15.759477849046183,31.425664064391164,0.09329163370120484
1e-07,0.001,1,1000,64,0.0646281137866412,12.017028049950842,23.970595109028505,0.06346099087317891
1e-07,0.001,2,1000,64,0.07545433604413819,9.721487605270585,19.417505564538335,0.025469646002837267
1e-07,0.01,0,1000,64,0.10297687687217576,15.78344283545038,31.48959496425225,0.07729070664850833
1e-07,0.01,1,1000,64,0.08553839704635878,14.452972540587169,28.84038212999541,0.06556295117892705
1e-07,0.01,2,1000,64,0.0803309251994558,10.390001758462333,20.75777601738864,0.022227499536024282
1e-07,0.05,0,1000,64,0.10729279315526055,19.04372800611277,38.03969177641517,0.04776423581036705
1e-07,0.05,1,1000,64,0.08845207441322685,15.382547334309844,30.724233879430063,0.04086078918962693
1e-07,0.05,2,1000,64,0.091828224118389,11.974492341787066,23.93412509485433,0.0148595887197995
1e-07,0.1,0,1000,64,0.1091718240911683,19.93461111685243,39.837856822822815,0.03136541088204177
1e-07,0.1,1,1000,64,0.07179721894568394,10.478217890301613,20.923754792831087,0.03268098777213869
1e-07,0.1,2,1000,64,0.11913731821098861,15.823533341082733,31.62693023013725,0.02013645202821806
3e-07,0.0,0,1000,64,0.10649523656093161,9.42268640416411,18.732239679090988,0.11313312923723479
3e-07,0.0,1,1000,64,0.06848605046731807,9.86489472767171,19.658920844732478,0.07086861061093785
3e-07,0.0,2,1000,64,0.07742030805416648,5.098386445940502,10.173214186911105,0.02355870496989843
3e-07,0.001,0,1000,64,0.10673919838032182,9.511455960633185,18.911492503159106,0.11141941810726445
3e-07,0.001,1,1000,64,0.068440222802266,9.799708959472442,19.5294780036795,0.06993991526538237
3e-07,0.001,2,1000,64,0.0780404442759844,5.122835684420849,10.222086285450064,0.023585083391633767
3e-07,0.01,0,1000,64,0.11082425194432673,11.006416383479577,21.90875651359782,0.10407625336133468
3e-07,0.01,1,1000,64,0.06738968721481002,9.266844353908073,18.471246446943287,0.06244226087286166
3e-07,0.01,2,1000,64,0.08360426673566762,7.704415783537945,15.381013005469018,0.027818561606870896
3e-07,0.05,0,1000,64,0.11437007613801463,13.034588161656986,26.001395900897908,0.0677804224160627
3e-07,0.05,1,1000,64,0.09358255612457357,10.093097579271634,20.132806283116487,0.05338887542678067
3e-07,0.05,2,1000,64,0.09155750942128867,11.199408496046967,22.37614688048625,0.022670111607683226
3e-07,0.1,0,1000,64,0.11695340414496698,16.7875667300771,33.533272483425584,0.041860976728621255
3e-07,0.1,1,1000,64,0.10160665848998099,11.30181210281766,22.563741058135587,0.039883147499732416
3e-07,0.1,2,1000,64,0.11566831213322996,11.317819043406372,22.61312758324235,0.022510503570390635
1e-06,0.0,0,1000,64,0.1146636918253584,10.264501410961069,20.387760425243588,0.14124239667854824
1e-06,0.0,1,1000,64,0.07999117045099816,8.778116245593772,17.47249635605163,0.08373613513591215
1e-06,0.0,2,1000,64,0.08428339841144995,2.2302660507067564,4.427403892174492,0.03312820923902152
1e-06,0.001,0,1000,64,0.11392090710107472,10.292619741242746,20.44775526761338,0.13748421487210802
1e-06,0.001,1,1000,64,0.08026995074724172,8.760645154604994,17.438786234295787,0.08250407491420117
1e-06,0.001,2,1000,64,0.08529032621092508,2.220073217017447,4.406523441661609,0.033622992373285726
1e-06,0.01,0,1000,64,0.11853533903027742,9.778179282206015,19.43560664140844,0.12075192300358753
1e-06,0.01,1,1000,64,0.08223010796782573,8.703904391470873,17.335560607765917,0.07224817517583024
1e-06,0.01,2,1000,64,0.09207998883570137,2.7723066939589027,5.502538464457341,0.04207492346046368
1e-06,0.05,0,1000,64,0.12067991916578917,10.407326410961574,20.74128032647445,0.0733724954486952
1e-06,0.05,1,1000,64,0.09638210355958524,9.18439650296428,18.316509565303704,0.05228344062485596
1e-06,0.05,2,1000,64,0.09643251426490584,5.425804639185692,10.814830207491354,0.036779070880030816
1e-06,0.1,0,1000,64,0.12523329716719145,10.1788192476685,20.31346371131346,0.044174784023541795
1e-06,0.1,1,1000,64,0.07926246969338852,5.42574005571761,10.816924534091735,0.03455557734348713
1e-06,0.1,2,1000,64,0.11972312639175929,7.396206455055179,14.757149491966574,0.03526341814378376
3e-06,0.0,0,1000,64,0.1185815959599868,6.908057198296411,13.713443448373079,0.10267094821974111
3e-06,0.0,1,1000,64,0.09529469486488919,6.862513945440219,13.64144106946141,0.08358682141902829
3e-06,0.0,2,1000,64,0.10608097437590672,3.1075559607990444,6.148075160701464,0.06703676089662472
3e-06,0.001,0,1000,64,0.12571275977076507,7.636329802726886,15.194575760032395,0.07808384542137611
3e-06,0.001,1,1000,64,0.09537841614806918,6.851320583795485,13.62081974953813,0.08182141805284017
3e-06,0.001,2,1000,64,0.10776846129635129,3.0123550451752164,5.957097372421875,0.06761271792855843
3e-06,0.01,0,1000,64,0.12707809058208597,7.589986752588606,15.11200516080855,0.06796834436865964
3e-06,0.01,1,1000,64,0.12289054964838009,10.334554646319338,20.558270669292906,0.1108386233457705
3e-06,0.01,2,1000,64,0.10054574761423034,2.218546176380474,4.381703262975785,0.05538908978516292
3e-06,0.05,0,1000,64,0.1286857887032738,7.04722432349431,14.026822952042933,0.06762569494568886
3e-06,0.05,1,1000,64,0.1324706799876514,10.94549276015195,21.81376366779334,0.07722185251056189
3e-06,0.05,2,1000,64,0.10986267761685745,2.9186475095460906,5.790125991849659,0.04716902724252183
3e-06,0.1,0,1000,64,0.14527684398593937,8.991012963164932,17.92979775623915,0.05222817009071254
3e-06,0.1,1,1000,64,0.10265699115890972,6.149858241617264,12.266208214359025,0.033508268875502144
3e-06,0.1,2,1000,64,0.15335532273656685,6.780745591731921,13.502076740539426,0.05941444292441506
1e-05,0.0,0,1000,64,0.17368494611040092,4.443339798326706,8.690650844107093,0.1960287525463179
1e-05,0.0,1,1000,64,0.16571721215145988,6.188720310548044,12.176483536964323,0.20095708413176616
1e-05,0.0,2,1000,64,0.1648096370447936,3.972642507988244,7.751900886416566,0.19338412955992176
1e-05,0.001,0,1000,64,0.1734631876653169,4.466163466802805,8.740027277524142,0.19229965608146896
1e-05,0.001,1,1000,64,0.16567528555052574,6.204631965423097,12.21155951941203,0.19770441143416373
1e-05,0.001,2,1000,64,0.16551700688617008,4.018019225367844,7.844475888523963,0.19156256221172485
1e-05,0.01,0,1000,64,0.1750696168331807,4.73630431427988,9.297472440953978,0.17513618760578095
1e-05,0.01,1,1000,64,0.11804616675253778,4.290312659744955,8.506929433091951,0.07369588639795814
1e-05,0.01,2,1000,64,0.17299331742671037,4.718787503928335,9.257030888348451,0.18054411950821994
1e-05,0.05,0,1000,64,0.17558551951590828,5.317760871074378,10.527651678664975,0.10787006348378217
1e-05,0.05,1,1000,64,0.1239497059434727,4.421941644860474,8.788537093986323,0.055346195734623696
1e-05,0.05,2,1000,64,0.1810004458672777,4.667490965803349,9.214885119493424,0.12009681211327541
1e-05,0.1,0,1000,64,0.18666666758390377,5.266151803206202,10.45140099975002,0.08090260666238427
1e-05,0.1,1,1000,64,0.1756958492734251,6.07645280404509,12.066950559907452,0.08595504818272787
1e-05,0.1,2,1000,64,0.20738493971968328,5.684222074869119,11.263205410252723,0.10523873948551621
3e-05,0.0,0,1000,64,0.20422074117370811,2.8868221749819165,5.4881557116371384,0.2854886383266944
3e-05,0.0,1,1000,64,0.41714754653128894,8.94997379074697,16.302849466301492,1.5970981151924502
3e-05,0.0,2,1000,64,0.28596391357820494,4.300146170629962,8.049108882245465,0.551183459014459
3e-05,0.001,0,1000,64,0.20417679354095655,2.88663072701289,5.492639729189393,0.2806217248363875
3e-05,0.001,1,1000,64,0.39903841122095124,9.580702798026003,17.64073978219878,1.5206658138532287
3e-05,0.001,2,1000,64,0.28614927989097,4.332669674830382,8.12222491136901,0.5431144382917534
3e-05,0.01,0,1000,64,0.20739480797431792,2.5604148270799305,4.870947108964773,0.2498825451950878
3e-05,0.01,1,1000,64,0.41654109888979945,9.84396388000294,18.275035777096473,1.4128919829094075
3e-05,0.01,2,1000,64,0.23829509577999006,1.4040634402268959,2.4805287426482354,0.32759813780555674
3e-05,0.05,0,1000,64,0.212513832428228,2.6384522128935988,5.120312584093272,0.1565918416939256
3e-05,0.05,1,1000,64,0.5083623719151745,9.228867979326363,17.42431255869352,1.0334233999592057
3e-05,0.05,2,1000,64,0.25108389406410664,1.5620421930993207,2.9022960480268236,0.22178833817181737
3e-05,0.1,0,1000,64,0.2619551005793043,1.8771276995798367,3.5972348605946927,0.1570205385649809
3e-05,0.1,1,1000,64,0.5486787795581625,9.599044082769453,18.463873460909465,0.7342147046294449
3e-05,0.1,2,1000,64,0.25869689792737494,2.142622146037417,4.12857474026221,0.15666955181262449
0.0001,0.0,0,1000,64,0.2411325176111418,1.0692250645633454,1.7750839792195583,0.36336614990713234
0.0001,0.0,1,1000,64,0.505979212256198,4.812877053875845,7.6559754703960206,1.9697786373556705
0.0001,0.0,2,1000,64,0.3071957555948625,4.210619321898224,7.689665069925762,0.7315735738706858
0.0001,0.001,0,1000,64,0.24160119199512256,0.9853090174968943,1.6124047013727105,0.35821333362107804
0.0001,0.001,1,1000,64,0.5071744623975353,4.756402314680924,7.561686691024035,1.951117938337813
0.0001,0.001,2,1000,64,0.30696637471257743,4.233369549993083,7.745503646341518,0.721235453644648
