model,KKThPINN
model_id,KKThPINN_z4margin_1e3_beta100
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,4
z0_inner_dim,2
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
runs,1
run,0
weighted_cb_loss,False
cb_loss_segments,10
cb_loss_min,0.0
cb_loss_max,1.0
z4_neg_penalty,False
z4_margin_penalty,False
beta_z4,0.0
z4_margin,0.0
rmse_total,0.105579139013007
rmse_inner,0.105579139013007
violation,0.03517001645715331
