model,KKThPINN
model_id,grid_ca0p4_cb10p4_cb20p2_cc-0p0
input_dim,1
hidden_dim,32
hidden_num,2
z0_dim,4
z0_inner_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu,1
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,train_experiment
runs,3
run,1
weighted_cb_loss,False
cb_loss_segments,10
cb_loss_min,0.0
cb_loss_max,1.0
z4_neg_penalty,False
z4_margin_penalty,False
beta_z4,0.0
z4_margin,0.0
z4_activation,raw
kkt_warmup_epochs,0
ca_weight,0.4
cb1_weight,0.4
cb2_weight,0.2
cc_weight,-0.0
loss_type,MSE
rmse_total,0.007239136930545605
rmse_inner,0.007239136930545605
violation,0.02017186080433852
cb1_cb2_l2,0.021586695720108913
violation_g1,0.027834501478366098
violation_g2,0.012509220130310944
