epoch,batch_idx,phase,batch_size,batch_MSE,batch_RMSE,epoch_MSE,epoch_RMSE
1,0,train,16,0.2518967821870408,0.5018931979884175,0.24927290526561507,0.4992723758286804
1,1,train,16,0.2511857729686639,0.5011843702358084,0.24927290526561507,0.4992723758286804
1,2,train,16,0.24797178637273523,0.49796765595039927,0.24927290526561507,0.4992723758286804
1,3,train,12,0.24603727953402035,0.4960214506793233,0.24927290526561507,0.4992723758286804
1,-1,train,60,0.24927290526561507,0.4992723758286804,0.24927290526561507,0.4992723758286804
2,0,train,16,0.2544090563249905,0.5043897861029607,0.24322085020233808,0.4931742594685352
2,1,train,16,0.2475697872163751,0.4975638524012522,0.24322085020233808,0.4931742594685352
2,2,train,16,0.2421573005525863,0.4920948084999336,0.24322085020233808,0.4931742594685352
2,3,train,12,0.22874725671540044,0.47827529385846435,0.24322085020233808,0.4931742594685352
2,-1,train,60,0.24322085020233808,0.4931742594685352,0.24322085020233808,0.4931742594685352
3,0,train,16,0.24289145788036237,0.49284019507378085,0.23859733608060993,0.4884642628489928
3,1,train,16,0.23288200783827098,0.48257849914627465,0.23859733608060993,0.4884642628489928
3,2,train,16,0.2451114053614479,0.49508727044981465,0.23859733608060993,0.4884642628489928
3,3,train,12,0.23350447324235843,0.48322300570477644,0.23859733608060993,0.4884642628489928
3,-1,train,60,0.23859733608060993,0.4884642628489928,0.23859733608060993,0.4884642628489928
4,0,train,16,0.22862670004661337,0.4781492445320952,0.23403633972788523,0.4837730250105779
4,1,train,16,0.25022818938758357,0.5002281373409372,0.23403633972788523,0.4837730250105779
4,2,train,16,0.21892273465124568,0.46789179801664155,0.23403633972788523,0.4837730250105779
4,3,train,12,0.23836773482609827,0.4882291826858553,0.23403633972788523,0.4837730250105779
4,-1,train,60,0.23403633972788523,0.4837730250105779,0.23403633972788523,0.4837730250105779
5,0,train,16,0.2374802840481849,0.4873194886808703,0.2283674545925893,0.4778780750281282
5,1,train,16,0.23177473982783744,0.48142989087492005,0.2283674545925893,0.4778780750281282
5,2,train,16,0.2195256728803995,0.46853566873867725,0.2283674545925893,0.4778780750281282
5,3,train,12,0.2246891216139354,0.47401384116282447,0.2283674545925893,0.4778780750281282
5,-1,train,60,0.2283674545925893,0.4778780750281282,0.2283674545925893,0.4778780750281282
6,0,train,16,0.24085544628581845,0.4907702581512234,0.22371215378434495,0.4729821918258075
6,1,train,16,0.2041454772472897,0.4518246089438796,0.22371215378434495,0.4729821918258075
6,2,train,16,0.22392195521244865,0.4732039256097192,0.22371215378434495,0.4729821918258075
6,3,train,12,0.22592573639182298,0.475316459205678,0.22371215378434495,0.4729821918258075
6,-1,train,60,0.22371215378434495,0.4729821918258075,0.22371215378434495,0.4729821918258075
7,0,train,16,0.2301663133348023,0.4797565146350827,0.2184717678571345,0.46740963603367713
7,1,train,16,0.21047935358091788,0.45878028900653295,0.2184717678571345,0.46740963603367713
7,2,train,16,0.21571699258150367,0.4644534342444931,0.2184717678571345,0.46740963603367713
7,3,train,12,0.2175244119313142,0.4663951242576558,0.2184717678571345,0.46740963603367713
7,-1,train,60,0.2184717678571345,0.46740963603367713,0.2184717678571345,0.46740963603367713
8,0,train,16,0.2269487951264502,0.4763914305762124,0.21340430579370107,0.461957038904811
8,1,train,16,0.22963624597591029,0.479203762480962,0.21340430579370107,0.461957038904811
8,2,train,16,0.18771167330135308,0.4332570522234498,0.21340430579370107,0.461957038904811
8,3,train,12,0.2093205087710907,0.45751558309099233,0.21340430579370107,0.461957038904811
8,-1,train,60,0.21340430579370107,0.461957038904811,0.21340430579370107,0.461957038904811
9,0,train,16,0.20826907750265447,0.45636507042350916,0.20947020381065812,0.4576791494165515
9,1,train,16,0.21001103414239872,0.4582696085738162,0.20947020381065812,0.4576791494165515
9,2,train,16,0.20199070791482812,0.44943376365692433,0.20947020381065812,0.4576791494165515
9,3,train,12,0.2176099956827512,0.4664868654986453,0.20947020381065812,0.4576791494165515
9,-1,train,60,0.20947020381065812,0.4576791494165515,0.20947020381065812,0.4576791494165515
10,0,train,16,0.20275692931382572,0.4502853865203997,0.20468581370225541,0.4524221631421867
10,1,train,16,0.2054399285356473,0.45325481634026493,0.20468581370225541,0.4524221631421867
10,2,train,16,0.19971442570087514,0.446894199672445,0.20468581370225541,0.4524221631421867
10,3,train,12,0.2108319712586735,0.4591644272574624,0.20468581370225541,0.4524221631421867
10,-1,train,60,0.20468581370225541,0.4524221631421867,0.20468581370225541,0.4524221631421867
11,0,train,16,0.2004996781879426,0.4477719041967044,0.20109769720318402,0.4484391789342051
11,1,train,16,0.19678456465737568,0.44360406294056376,0.20109769720318402,0.4484391789342051
11,2,train,16,0.18558530700269346,0.4307961316013567,0.20109769720318402,0.4484391789342051
11,3,train,12,0.22152123896472428,0.47066042850947676,0.20109769720318402,0.4484391789342051
11,-1,train,60,0.20109769720318402,0.4484391789342051,0.20109769720318402,0.4484391789342051
12,0,train,16,0.19501763622438395,0.4416080119567397,0.193814345119577,0.4402435066182998
12,1,train,16,0.212863661724355,0.4613715007717263,0.193814345119577,0.4402435066182998
12,2,train,16,0.1949792317772064,0.441564527308531,0.193814345119577,0.4402435066182998
12,3,train,12,0.17239685075236258,0.4152069974751902,0.193814345119577,0.4402435066182998
12,-1,train,60,0.193814345119577,0.4402435066182998,0.193814345119577,0.4402435066182998
13,0,train,16,0.19473561418888893,0.44128858379623753,0.19097037599030586,0.4370015743567818
