epoch,batch_idx,phase,batch_size,batch_MSE,batch_RMSE,epoch_MSE,epoch_RMSE
1,0,train,16,0.2043849620951852,0.4520895509688155,0.19685423154151038,0.44368257971382014
1,1,train,16,0.19730213760787313,0.4441870524991393,0.19685423154151038,0.44368257971382014
1,2,train,16,0.20452632048270863,0.45224586286964374,0.19685423154151038,0.44368257971382014
1,3,train,6,0.18120350598027452,0.4256800511890057,0.19685423154151038,0.44368257971382014
1,-1,train,54,0.19685423154151038,0.44368257971382014,0.19685423154151038,0.44368257971382014
2,0,train,16,0.19610564955225773,0.44283817535557807,0.19689517477656684,0.44372871754774545
2,1,train,16,0.19677707757217694,0.44359562393262736,0.19689517477656684,0.44372871754774545
2,2,train,16,0.1828496893824613,0.4276092718621303,0.19689517477656684,0.44372871754774545
2,3,train,6,0.21184828259937138,0.46026979327278406,0.19689517477656684,0.44372871754774545
2,-1,train,54,0.19689517477656684,0.44372871754774545,0.19689517477656684,0.44372871754774545
3,0,train,16,0.2071902602453446,0.45518156843763413,0.18867446417228734,0.4343667392564575
3,1,train,16,0.1828052321604749,0.4275572852384519,0.18867446417228734,0.4343667392564575
3,2,train,16,0.175629789166138,0.4190820792710397,0.18867446417228734,0.4343667392564575
3,3,train,6,0.18907257511719183,0.4348247636889967,0.18867446417228734,0.4343667392564575
3,-1,train,54,0.18867446417228734,0.4343667392564575,0.18867446417228734,0.4343667392564575
4,0,train,16,0.1842050156159086,0.4291911178203815,0.1856308030958649,0.43084893303322097
4,1,train,16,0.18178487266727475,0.42636237248058695,0.1856308030958649,0.43084893303322097
4,2,train,16,0.17790414591819997,0.4217868489156578,0.1856308030958649,0.43084893303322097
4,3,train,6,0.19862917818207623,0.4456783348807481,0.1856308030958649,0.43084893303322097
4,-1,train,54,0.1856308030958649,0.43084893303322097,0.1856308030958649,0.43084893303322097
5,0,train,16,0.1788466396048372,0.42290263608168394,0.17511227601385215,0.4184641872536432
5,1,train,16,0.17666856447048285,0.42031959800904223,0.17511227601385215,0.4184641872536432
5,2,train,16,0.18496829472333087,0.43007940513738957,0.17511227601385215,0.4184641872536432
5,3,train,6,0.1599656052567578,0.3999570042601552,0.17511227601385215,0.4184641872536432
5,-1,train,54,0.17511227601385215,0.4184641872536432,0.17511227601385215,0.4184641872536432
6,0,train,16,0.1652493062477336,0.4065086791788505,0.17437223081951297,0.41757901146910265
6,1,train,16,0.17675504210097462,0.420422456703938,0.17437223081951297,0.41757901146910265
6,2,train,16,0.1721729261513352,0.41493725568010303,0.17437223081951297,0.41757901146910265
6,3,train,6,0.1833116487780085,0.4281490964348851,0.17437223081951297,0.41757901146910265
6,-1,train,54,0.17437223081951297,0.41757901146910265,0.17437223081951297,0.41757901146910265
7,0,train,16,0.1589705192321765,0.39871107237218345,0.1682744179631922,0.4102126496869547
7,1,train,16,0.17588105249424102,0.4193817503113852,0.1682744179631922,0.4102126496869547
7,2,train,16,0.16651240927672134,0.40805932078157625,0.1682744179631922,0.4102126496869547
7,3,train,6,0.1717336908496298,0.414407638502996,0.1682744179631922,0.4102126496869547
7,-1,train,54,0.1682744179631922,0.4102126496869547,0.1682744179631922,0.4102126496869547
8,0,train,16,0.16902551568171048,0.4111271283699368,0.16273836733824168,0.40340843736620297
8,1,train,16,0.16763587908734,0.4094336076671528,0.16273836733824168,0.40340843736620297
8,2,train,16,0.15110415616670372,0.388721180496643,0.16273836733824168,0.40340843736620297
8,3,train,6,0.16318791841721245,0.4039652440708389,0.16273836733824168,0.40340843736620297
8,-1,train,54,0.16273836733824168,0.40340843736620297,0.16273836733824168,0.40340843736620297
9,0,train,16,0.16016675908166017,0.4002083945667059,0.15572448811250136,0.3946194218642835
9,1,train,16,0.1632544222004127,0.4040475494300302,0.15572448811250136,0.3946194218642835
9,2,train,16,0.15537745204199715,0.3941794667939937,0.15572448811250136,0.3946194218642835
9,3,train,6,0.1440993191259354,0.3796041611019766,0.15572448811250136,0.3946194218642835
9,-1,train,54,0.15572448811250136,0.3946194218642835,0.15572448811250136,0.3946194218642835
10,0,train,16,0.15392986134774062,0.3923389623115969,0.15034056153366593,0.3877377483991801
10,1,train,16,0.1686425088637475,0.41066106324284934,0.15034056153366593,0.3877377483991801
10,2,train,16,0.1439892795828324,0.3794591935674143,0.15034056153366593,0.3877377483991801
10,3,train,6,0.1348005963403432,0.367152007131029,0.15034056153366593,0.3877377483991801
10,-1,train,54,0.15034056153366593,0.3877377483991801,0.15034056153366593,0.3877377483991801
11,0,train,16,0.1624982376894642,0.4031107015318053,0.1480404841555798,0.3847602944114423
11,1,train,16,0.1506031685426011,0.38807624063140106,0.1480404841555798,0.3847602944114423
11,2,train,16,0.13457679994818245,0.36684710704622225,0.1480404841555798,0.3847602944114423
11,3,train,6,0.1444837304420714,0.38011015566815815,0.1480404841555798,0.3847602944114423
11,-1,train,54,0.1480404841555798,0.3847602944114423,0.1480404841555798,0.3847602944114423
12,0,train,16,0.15933605263756107,0.3991692030174185,0.14526321514388285,0.38113411700329697
12,1,train,16,0.14500373261768593,0.3807935564287898,0.14526321514388285,0.38113411700329697
12,2,train,16,0.12622735006622277,0.35528488578353956,0.14526321514388285,0.38113411700329697
12,3,train,6,0.15048572525406165,0.38792489640916533,0.14526321514388285,0.38113411700329697
12,-1,train,54,0.14526321514388285,0.38113411700329697,0.14526321514388285,0.38113411700329697
13,0,train,16,0.13870829015825525,0.3724356188098223,0.143565977488856,0.37890101278415184
13,1,train,16,0.14284103439385412,0.37794316291455005,0.143565977488856,0.37890101278415184
13,2,train,16,0.12983810199734536,0.36033054546810955,0.143565977488856,0.37890101278415184
13,3,train,6,0.16287648340596925,0.4035795874495751,0.143565977488856,0.37890101278415184
13,-1,train,54,0.143565977488856,0.37890101278415184,0.143565977488856,0.37890101278415184
14,0,train,16,0.14039924081142682,0.37469886684032927,0.13262676095558953,0.3641795724029418
14,1,train,16,0.12802256554369523,0.35780241131621127,0.13262676095558953,0.3641795724029418
14,2,train,16,0.14646549145710694,0.38270810215764567,0.13262676095558953,0.3641795724029418
14,3,train,6,0.11561974601012918,0.3400290370102665,0.13262676095558953,0.3641795724029418
14,-1,train,54,0.13262676095558953,0.3641795724029418,0.13262676095558953,0.3641795724029418
15,0,train,16,0.12881318196801148,0.35890553348758986,0.1313396159917029,0.3624080793686903
15,1,train,16,0.128005348153215,0.3577783505932339,0.1313396159917029,0.3624080793686903
15,2,train,16,0.13891072576812613,0.3727072923463212,0.1313396159917029,0.3624080793686903
15,3,train,6,0.1296292080774591,0.36004056448886296,0.1313396159917029,0.3624080793686903
15,-1,train,54,0.1313396159917029,0.3624080793686903,0.1313396159917029,0.3624080793686903
16,0,train,16,0.13114370462820607,0.36213768739003965,0.13140991167789287,0.3625050505550135
16,1,train,16,0.12862842072720557,0.35864804575963544,0.13140991167789287,0.3625050505550135
16,2,train,16,0.11412570009752623,0.33782495481761887,0.13140991167789287,0.3625050505550135
16,3,train,6,0.15174182125863364,0.38954052582322374,0.13140991167789287,0.3625050505550135
16,-1,train,54,0.13140991167789287,0.3625050505550135,0.13140991167789287,0.3625050505550135
17,0,train,16,0.12938824654696549,0.359705777750324,0.12203899517712664,0.3493408009052573
17,1,train,16,0.12918869598060173,0.35942829045666636,0.12203899517712664,0.3493408009052573
17,2,train,16,0.1165669534424277,0.34141902911587646,0.12203899517712664,0.3493408009052573
17,3,train,6,0.11301208473851158,0.3361727007633303,0.12203899517712664,0.3493408009052573
17,-1,train,54,0.12203899517712664,0.3493408009052573,0.12203899517712664,0.3493408009052573
18,0,train,16,0.11467568146503086,0.3386379799506117,0.11749636741241548,0.3427774313055273
18,1,train,16,0.12311823231169723,0.3508820775013982,0.11749636741241548,0.3427774313055273
18,2,train,16,0.12765032172914617,0.35728185194485623,0.11749636741241548,0.3427774313055273
18,3,train,6,0.10454123414378771,0.3233283689127629,0.11749636741241548,0.3427774313055273
18,-1,train,54,0.11749636741241548,0.3427774313055273,0.11749636741241548,0.3427774313055273
19,0,train,16,0.11854025382538189,0.3442967525629335,0.116572576604175,0.3414272640024153
19,1,train,16,0.11753291946986988,0.3428307446392022,0.116572576604175,0.3414272640024153
19,2,train,16,0.11127646326910359,0.3335812693619107,0.116572576604175,0.3414272640024153
19,3,train,6,0.11894066985234465,0.3448777607389967,0.116572576604175,0.3414272640024153
19,-1,train,54,0.116572576604175,0.3414272640024153,0.116572576604175,0.3414272640024153
20,0,train,16,0.10617454130019388,0.32584435134001305,0.1126584764516398,0.3356463562317336
20,1,train,16,0.1247631508803102,0.35321827653776666,0.1126584764516398,0.3356463562317336
20,2,train,16,0.10608416345692302,0.3257056392771286,0.1126584764516398,0.3356463562317336
20,3,train,6,0.11361205016913213,0.3370638666026546,0.1126584764516398,0.3356463562317336
20,-1,train,54,0.1126584764516398,0.3356463562317336,0.1126584764516398,0.3356463562317336
21,0,train,16,0.11222066240228697,0.3349935259110047,0.10883934359919062,0.32990808356145296
21,1,train,16,0.10332461363811363,0.32144146222619385,0.10883934359919062,0.32990808356145296
21,2,train,16,0.11154889557738115,0.33398936446746497,0.10883934359919062,0.32990808356145296
21,3,train,6,0.10826320277898073,0.32903374109501404,0.10883934359919062,0.32990808356145296
21,-1,train,54,0.10883934359919062,0.32990808356145296,0.10883934359919062,0.32990808356145296
22,0,train,16,0.10908635165568774,0.33028223030567017,0.10822159852938477,0.3289705131609591
22,1,train,16,0.09878954875158966,0.31430804754506314,0.10822159852938477,0.3289705131609591
22,2,train,16,0.1019525129822895,0.3193000359885503,0.10822159852938477,0.3289705131609591
22,3,train,6,0.12305798072797218,0.35079620968301833,0.10822159852938477,0.3289705131609591
22,-1,train,54,0.10822159852938477,0.3289705131609591,0.10822159852938477,0.3289705131609591
23,0,train,16,0.11087740658430427,0.33298259201391334,0.10049677100302147,0.3170122568656005
23,1,train,16,0.09506723152391305,0.30832974479267006,0.10049677100302147,0.3170122568656005
23,2,train,16,0.10416180503165247,0.3227410804834929,0.10049677100302147,0.3170122568656005
23,3,train,6,0.0918806408722161,0.3031181962077105,0.10049677100302147,0.3170122568656005
23,-1,train,54,0.10049677100302147,0.3170122568656005,0.10049677100302147,0.3170122568656005
24,0,train,16,0.099506466584818,0.31544645597124404,0.0966449738198127,0.3108777473860307
24,1,train,16,0.1059305983840999,0.32546981178613155,0.0966449738198127,0.3108777473860307
24,2,train,16,0.09633093966452233,0.3103722598179843,0.0966449738198127,0.3108777473860307
24,3,train,6,0.08481189064581059,0.29122481117825555,0.0966449738198127,0.3108777473860307
24,-1,train,54,0.0966449738198127,0.3108777473860307,0.0966449738198127,0.3108777473860307
25,0,train,16,0.10757932009186551,0.3279928659161133,0.09255156439687341,0.30422288605046366
25,1,train,16,0.08958254580670495,0.29930343433830653,0.09255156439687341,0.30422288605046366
25,2,train,16,0.09727944589183919,0.31189653074671925,0.09255156439687341,0.30422288605046366
25,3,train,6,0.07576494579708398,0.27525432929762245,0.09255156439687341,0.30422288605046366
25,-1,train,54,0.09255156439687341,0.30422288605046366,0.09255156439687341,0.30422288605046366
26,0,train,16,0.08150493171202806,0.2854906858586249,0.09203481978149443,0.30337241104209595
26,1,train,16,0.09343184478662077,0.3056662310210612,0.09203481978149443,0.30337241104209595
26,2,train,16,0.10411930328626047,0.32267522880794625,0.09203481978149443,0.30337241104209595
26,3,train,6,0.08908319934106841,0.2984680876426631,0.09203481978149443,0.30337241104209595
26,-1,train,54,0.09203481978149443,0.30337241104209595,0.09203481978149443,0.30337241104209595
27,0,train,16,0.09529250880619469,0.30869484739171577,0.09105125101971553,0.30174699836073854
27,1,train,16,0.08086542121390365,0.28436846030089846,0.09105125101971553,0.30174699836073854
27,2,train,16,0.08932637837712883,0.29887518862750856,0.09105125101971553,0.30174699836073854
27,3,train,6,0.09872069568163502,0.31419849726189814,0.09105125101971553,0.30174699836073854
27,-1,train,54,0.09105125101971553,0.30174699836073854,0.09105125101971553,0.30174699836073854
28,0,train,16,0.10354251786705371,0.3217802322502949,0.08694819587562432,0.2948697947834337
28,1,train,16,0.08290363446839995,0.2879299124238396,0.08694819587562432,0.2948697947834337
28,2,train,16,0.07327487482330067,0.27069332245790745,0.08694819587562432,0.2948697947834337
28,3,train,6,0.08807175634374291,0.2967688601314884,0.08694819587562432,0.2948697947834337
28,-1,train,54,0.08694819587562432,0.2948697947834337,0.08694819587562432,0.2948697947834337
29,0,train,16,0.08546502888868504,0.2923440248896581,0.08576975192060757,0.29286473314588013
29,1,train,16,0.08243800370384317,0.28712019034516395,0.08576975192060757,0.29286473314588013
29,2,train,16,0.07974707889452282,0.2823952529603195,0.08576975192060757,0.29286473314588013
29,3,train,6,0.09542889619537925,0.30891567813139437,0.08576975192060757,0.29286473314588013
29,-1,train,54,0.08576975192060757,0.29286473314588013,0.08576975192060757,0.29286473314588013
30,0,train,16,0.08632844590451344,0.2938170279349266,0.08006495120305626,0.2829575077693756
30,1,train,16,0.08044456204620522,0.28362750579978174,0.08006495120305626,0.2829575077693756
30,2,train,16,0.08023306005444361,0.28325440871139784,0.08006495120305626,0.2829575077693756
30,3,train,6,0.07325373680706276,0.2706542754272741,0.08006495120305626,0.2829575077693756
30,-1,train,54,0.08006495120305626,0.2829575077693756,0.08006495120305626,0.2829575077693756
31,0,train,16,0.08601824509203106,0.29328867194631136,0.07877671641819492,0.2806719017254754
31,1,train,16,0.08037264466687062,0.2835006960606457,0.07877671641819492,0.2806719017254754
31,2,train,16,0.06988493645132339,0.26435759200621306,0.07877671641819492,0.2806719017254754
31,3,train,6,0.07883103946255463,0.28076865826255365,0.07877671641819492,0.2806719017254754
31,-1,train,54,0.07877671641819492,0.2806719017254754,0.07877671641819492,0.2806719017254754
32,0,train,16,0.08892479739056916,0.2982026113074283,0.07498029580666793,0.27382530161887514
