epoch,batch_idx,phase,batch_size,batch_MSE,batch_RMSE,epoch_MSE,epoch_RMSE
1,0,train,16,0.19788574093484204,0.4448435016214602,0.2096238253855774,0.45784694537102394
1,1,train,14,0.22136190983631276,0.4704911368307726,0.2096238253855774,0.45784694537102394
1,-1,train,30,0.2096238253855774,0.45784694537102394,0.2096238253855774,0.45784694537102394
2,0,train,16,0.20917705097893596,0.4573587770874589,0.20686829522246575,0.45482776434873207
2,1,train,14,0.20455953946599556,0.4522825880641389,0.20686829522246575,0.45482776434873207
2,-1,train,30,0.20686829522246575,0.45482776434873207,0.20686829522246575,0.45482776434873207
3,0,train,16,0.20993937229955484,0.4581914144760406,0.20486074238724744,0.4526154464744298
3,1,train,14,0.19978211247494007,0.44696992345675796,0.20486074238724744,0.4526154464744298
3,-1,train,30,0.20486074238724744,0.4526154464744298,0.20486074238724744,0.4526154464744298
4,0,train,16,0.1876209178610107,0.43315230330798277,0.20451187342000032,0.45222989001170666
4,1,train,14,0.2214028289789899,0.470534620383017,0.20451187342000032,0.45222989001170666
4,-1,train,30,0.20451187342000032,0.45222989001170666,0.20451187342000032,0.45222989001170666
5,0,train,16,0.1971573178954868,0.44402400599008923,0.20189042240890426,0.4493221810782373
5,1,train,14,0.20662352692232175,0.4545586066970042,0.20189042240890426,0.4493221810782373
5,-1,train,30,0.20189042240890426,0.4493221810782373,0.20189042240890426,0.4493221810782373
6,0,train,16,0.18558517632649646,0.4307959799330728,0.20077832570365056,0.4480829451158017
6,1,train,14,0.21597147508080466,0.4647273126047195,0.20077832570365056,0.4480829451158017
6,-1,train,30,0.20077832570365056,0.4480829451158017,0.20077832570365056,0.4480829451158017
7,0,train,16,0.1875899266940631,0.4331165278467945,0.19870536771908492,0.44576380261197174
7,1,train,14,0.20982080874410672,0.4580620140811795,0.19870536771908492,0.44576380261197174
7,-1,train,30,0.19870536771908492,0.44576380261197174,0.19870536771908492,0.44576380261197174
8,0,train,16,0.22272685769487932,0.4719394640151206,0.19427253730041405,0.4407635843628805
8,1,train,14,0.16581821690594878,0.4072078301137501,0.19427253730041405,0.4407635843628805
8,-1,train,30,0.19427253730041405,0.4407635843628805,0.19427253730041405,0.4407635843628805
9,0,train,16,0.20274276416211032,0.45026965716347167,0.19377377647443234,0.440197428972992
9,1,train,14,0.18480478878675433,0.42988927503108787,0.19377377647443234,0.440197428972992
9,-1,train,30,0.19377377647443234,0.440197428972992,0.19377377647443234,0.440197428972992
10,0,train,16,0.19042048791001942,0.4363719604993192,0.192729101286471,0.43900922688079236
10,1,train,14,0.19503771466292258,0.441630744698467,0.192729101286471,0.43900922688079236
10,-1,train,30,0.192729101286471,0.43900922688079236,0.192729101286471,0.43900922688079236
11,0,train,16,0.19977347595775438,0.4469602621685225,0.1901473670860458,0.43605890322987995
11,1,train,14,0.1805212582143372,0.4248779333106595,0.1901473670860458,0.43605890322987995
11,-1,train,30,0.1901473670860458,0.43605890322987995,0.1901473670860458,0.43605890322987995
12,0,train,16,0.15681807600187586,0.3960026212058146,0.1912937643344168,0.4373714260607531
12,1,train,14,0.22576945266695778,0.47515203110894705,0.1912937643344168,0.4373714260607531
12,-1,train,30,0.1912937643344168,0.4373714260607531,0.1912937643344168,0.4373714260607531
13,0,train,16,0.15297273281711576,0.39111728780139055,0.18965144806462206,0.43548989433122565
13,1,train,14,0.22633016331212835,0.4757416981011107,0.18965144806462206,0.43548989433122565
13,-1,train,30,0.18965144806462206,0.43548989433122565,0.18965144806462206,0.43548989433122565
14,0,train,16,0.18840832897981613,0.43406028265647173,0.18520654047712093,0.43035629480364396
14,1,train,14,0.18200475197442573,0.42662014951760746,0.18520654047712093,0.43035629480364396
14,-1,train,30,0.18520654047712093,0.43035629480364396,0.18520654047712093,0.43035629480364396
15,0,train,16,0.1715631671799865,0.4142018435255769,0.18449775089589274,0.42953201381956707
15,1,train,14,0.197432334611799,0.4443335848344113,0.18449775089589274,0.42953201381956707
15,-1,train,30,0.18449775089589274,0.42953201381956707,0.18449775089589274,0.42953201381956707
16,0,train,16,0.197514774898832,0.4444263436148132,0.18072679637105643,0.42511974356768756
16,1,train,14,0.16393881784328085,0.40489358829608657,0.18072679637105643,0.42511974356768756
16,-1,train,30,0.18072679637105643,0.42511974356768756,0.18072679637105643,0.42511974356768756
17,0,train,16,0.1801409481589758,0.4244301452052809,0.1800535231351707,0.4243271416432971
17,1,train,14,0.17996609811136563,0.42422411307157637,0.1800535231351707,0.4243271416432971
17,-1,train,30,0.1800535231351707,0.4243271416432971,0.1800535231351707,0.4243271416432971
18,0,train,16,0.19939133550459867,0.4465325693659967,0.17677899673325853,0.4204509445027547
18,1,train,14,0.15416665796191842,0.3926406218947785,0.17677899673325853,0.4204509445027547
18,-1,train,30,0.17677899673325853,0.4204509445027547,0.17677899673325853,0.4204509445027547
19,0,train,16,0.1799911387666194,0.42425362551971124,0.17625352682035986,0.41982559095457705
19,1,train,14,0.1725159148741003,0.41535035196096837,0.17625352682035986,0.41982559095457705
19,-1,train,30,0.17625352682035986,0.41982559095457705,0.17625352682035986,0.41982559095457705
20,0,train,16,0.19938001940096256,0.44651989810193515,0.17299284540643028,0.4159240861099899
20,1,train,14,0.146605671411898,0.3828912004889875,0.17299284540643028,0.4159240861099899
20,-1,train,30,0.17299284540643028,0.4159240861099899,0.17299284540643028,0.4159240861099899
21,0,train,16,0.1788659980944846,0.422925523106001,0.17257033218744788,0.4154158545210424
21,1,train,14,0.16627466628041115,0.40776790736938967,0.17257033218744788,0.4154158545210424
21,-1,train,30,0.17257033218744788,0.4154158545210424,0.17257033218744788,0.4154158545210424
22,0,train,16,0.1551304106933002,0.3938659806245015,0.17238835022368837,0.4151967608540418
22,1,train,14,0.18964628975407657,0.4354839718681694,0.17238835022368837,0.4151967608540418
22,-1,train,30,0.17238835022368837,0.4151967608540418,0.17238835022368837,0.4151967608540418
23,0,train,16,0.16392968036485409,0.40488230433652456,0.16990407560464288,0.4121942207317357
23,1,train,14,0.17587847084443164,0.4193786723766859,0.16990407560464288,0.4121942207317357
23,-1,train,30,0.16990407560464288,0.4121942207317357,0.16990407560464288,0.4121942207317357
24,0,train,16,0.20251455539965724,0.4500161723756794,0.1653248748666536,0.4066016169011796
24,1,train,14,0.12813519433364992,0.35795976636159815,0.1653248748666536,0.4066016169011796
24,-1,train,30,0.1653248748666536,0.4066016169011796,0.1653248748666536,0.4066016169011796
25,0,train,16,0.15640627701200543,0.39548233463962135,0.16674520731167114,0.4083444713861951
25,1,train,14,0.17708413761133687,0.4208136613886684,0.16674520731167114,0.4083444713861951
25,-1,train,30,0.16674520731167114,0.4083444713861951,0.16674520731167114,0.4083444713861951
26,0,train,16,0.1757295107426961,0.41920103857540253,0.16355445854786266,0.4044186674077529
26,1,train,14,0.1513794063530292,0.389075065190548,0.16355445854786266,0.4044186674077529
26,-1,train,30,0.16355445854786266,0.4044186674077529,0.16355445854786266,0.4044186674077529
27,0,train,16,0.16776255345308272,0.409588273090286,0.16229298549244436,0.4028560356907221
27,1,train,14,0.156823417531806,0.3960093654597149,0.16229298549244436,0.4028560356907221
27,-1,train,30,0.16229298549244436,0.4028560356907221,0.16229298549244436,0.4028560356907221
28,0,train,16,0.1624055318647114,0.402995697079648,0.16085671762064513,0.4010694673253564
28,1,train,14,0.15930790337657882,0.3991339416493902,0.16085671762064513,0.4010694673253564
28,-1,train,30,0.16085671762064513,0.4010694673253564,0.16085671762064513,0.4010694673253564
29,0,train,16,0.15170148408584797,0.38948874705933156,0.15981573282414968,0.3997695996747998
29,1,train,14,0.1679299815624514,0.4097926079890307,0.15981573282414968,0.3997695996747998
29,-1,train,30,0.15981573282414968,0.3997695996747998,0.15981573282414968,0.3997695996747998
30,0,train,16,0.15047900265286274,0.38791623148930326,0.15812112176880172,0.39764446653864266
30,1,train,14,0.16576324088474073,0.40714032087812274,0.15812112176880172,0.39764446653864266
30,-1,train,30,0.15812112176880172,0.39764446653864266,0.15812112176880172,0.39764446653864266
31,0,train,16,0.1374088879538321,0.370687048538025,0.15725643570478798,0.39655571576360865
31,1,train,14,0.17710398345574385,0.42083724105138776,0.15725643570478798,0.39655571576360865
31,-1,train,30,0.15725643570478798,0.39655571576360865,0.15725643570478798,0.39655571576360865
32,0,train,16,0.17516147016274158,0.418522962527436,0.15280685320194626,0.39090517162343386
32,1,train,14,0.1304522362411509,0.36118172190900094,0.15280685320194626,0.39090517162343386
32,-1,train,30,0.15280685320194626,0.39090517162343386,0.15280685320194626,0.39090517162343386
33,0,train,16,0.15494931055711827,0.39363601277972304,0.15248961127785116,0.39049918217308877
33,1,train,14,0.15002991199858404,0.3873369489199088,0.15248961127785116,0.39049918217308877
33,-1,train,30,0.15248961127785116,0.39049918217308877,0.15248961127785116,0.39049918217308877
34,0,train,16,0.11795955776802074,0.34345240975719,0.1533842488427414,0.39164301199273477
34,1,train,14,0.1888089399174621,0.4345215068526092,0.1533842488427414,0.39164301199273477
34,-1,train,30,0.1533842488427414,0.39164301199273477,0.1533842488427414,0.39164301199273477
35,0,train,16,0.15490325955112128,0.3935775140313802,0.14902255104765216,0.386034391016723
35,1,train,14,0.14314184254418308,0.3783409078386622,0.14902255104765216,0.386034391016723
35,-1,train,30,0.14902255104765216,0.386034391016723,0.14902255104765216,0.386034391016723
36,0,train,16,0.127564907167171,0.35716229807633815,0.14924805131238073,0.3863263533754599
36,1,train,14,0.17093119545759042,0.41343826075677903,0.14924805131238073,0.3863263533754599
36,-1,train,30,0.14924805131238073,0.3863263533754599,0.14924805131238073,0.3863263533754599
37,0,train,16,0.15240906163036588,0.39039603178101834,0.14578012909812701,0.3818116408625162
37,1,train,14,0.13915119656588815,0.3730297529231256,0.14578012909812701,0.3818116408625162
37,-1,train,30,0.14578012909812701,0.3818116408625162,0.14578012909812701,0.3818116408625162
38,0,train,16,0.14889980643394263,0.38587537681736395,0.14433491879141896,0.3799143571799031
38,1,train,14,0.13977003114889527,0.3738583035708787,0.14433491879141896,0.3799143571799031
38,-1,train,30,0.14433491879141896,0.3799143571799031,0.14433491879141896,0.3799143571799031
39,0,train,16,0.13708778027440713,0.3702536701700702,0.14350492662354536,0.37882044113741453
39,1,train,14,0.14992207297268356,0.3871977181914733,0.14350492662354536,0.37882044113741453
39,-1,train,30,0.14350492662354536,0.37882044113741453,0.14350492662354536,0.37882044113741453
40,0,train,16,0.13559973641215511,0.36823869488710054,0.14193985361109007,0.37674905920398805
40,1,train,14,0.14827997081002503,0.38507138404460156,0.14193985361109007,0.37674905920398805
40,-1,train,30,0.14193985361109007,0.37674905920398805,0.14193985361109007,0.37674905920398805
41,0,train,16,0.1384974024561251,0.3721523914421686,0.14008045922667672,0.3742732413981485
41,1,train,14,0.14166351599722835,0.3763821409116383,0.14008045922667672,0.3742732413981485
41,-1,train,30,0.14008045922667672,0.3742732413981485,0.14008045922667672,0.3742732413981485
42,0,train,16,0.16190414494794209,0.4023731414345919,0.1367818097446871,0.3698402489517428
42,1,train,14,0.1116594745414321,0.33415486610467326,0.1367818097446871,0.3698402489517428
42,-1,train,30,0.1367818097446871,0.3698402489517428,0.1367818097446871,0.3698402489517428
43,0,train,16,0.14109752617428656,0.37562950652775745,0.1366456506901375,0.36965612491900834
43,1,train,14,0.13219377520598846,0.3635846190448497,0.1366456506901375,0.36965612491900834
43,-1,train,30,0.1366456506901375,0.36965612491900834,0.1366456506901375,0.36965612491900834
44,0,train,16,0.12698597595970157,0.3563509168778741,0.1360490845652529,0.36884832189567146
44,1,train,14,0.14511219317080418,0.3809359436582536,0.1360490845652529,0.36884832189567146
