epoch,batch_idx,phase,batch_size,batch_MSE,batch_RMSE,epoch_MSE,epoch_RMSE
1,0,train,16,0.4877484127533654,0.698389871599929,0.48044639446696014,0.693142405618759
1,1,train,14,0.4731443761805549,0.6878549092508934,0.48044639446696014,0.693142405618759
1,-1,train,30,0.48044639446696014,0.693142405618759,0.48044639446696014,0.693142405618759
2,0,train,16,0.5145718168912657,0.7173366133770572,0.47601152486450743,0.6899358846041475
2,1,train,14,0.4374512328377491,0.6614009622292283,0.47601152486450743,0.6899358846041475
2,-1,train,30,0.47601152486450743,0.6899358846041475,0.47601152486450743,0.6899358846041475
3,0,train,16,0.4898725231147632,0.6999089391590617,0.4752884269279321,0.689411652735818
3,1,train,14,0.460704330741101,0.6787520392169006,0.4752884269279321,0.689411652735818
3,-1,train,30,0.4752884269279321,0.689411652735818,0.4752884269279321,0.689411652735818
4,0,train,16,0.46609074088977004,0.6827083864211498,0.47451854940215,0.6888530680792168
4,1,train,14,0.48294635791453,0.694943420657056,0.47451854940215,0.6888530680792168
4,-1,train,30,0.47451854940215,0.6888530680792168,0.47451854940215,0.6888530680792168
5,0,train,16,0.48132216155169943,0.69377385476227,0.47095248169061543,0.6862597771184141
5,1,train,14,0.46058280182953143,0.67866250952114,0.47095248169061543,0.6862597771184141
5,-1,train,30,0.47095248169061543,0.6862597771184141,0.47095248169061543,0.6862597771184141
6,0,train,16,0.4833358880645095,0.6952236245011453,0.4683278048885713,0.6843447997088684
6,1,train,14,0.4533197217126331,0.6732902210136674,0.4683278048885713,0.6843447997088684
6,-1,train,30,0.4683278048885713,0.6843447997088684,0.4683278048885713,0.6843447997088684
7,0,train,16,0.4825308395709775,0.6946443979267215,0.46591622326654014,0.6825805617409129
7,1,train,14,0.44930160696210275,0.6702996396851953,0.46591622326654014,0.6825805617409129
7,-1,train,30,0.46591622326654014,0.6825805617409129,0.46591622326654014,0.6825805617409129
8,0,train,16,0.48475026019834605,0.6962400880431592,0.4633151804880107,0.6806725941948968
8,1,train,14,0.44188010077767526,0.6647406266941078,0.4633151804880107,0.6806725941948968
8,-1,train,30,0.4633151804880107,0.6806725941948968,0.4633151804880107,0.6806725941948968
9,0,train,16,0.4536066633069449,0.6735032763891686,0.4630810548511437,0.6805005913672255
9,1,train,14,0.47255544639534247,0.6874266843782997,0.4630810548511437,0.6805005913672255
9,-1,train,30,0.4630810548511437,0.6805005913672255,0.4630810548511437,0.6805005913672255
