Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01812,0.01121
2,0.01277,0.00989
3,0.0187,0.01594
4,0.01749,0.01831
5,0.01017,0.01518
6,0.01184,0.01179
7,0.01276,0.01044
8,0.01237,0.0154
9,0.02076,0.01469
10,0.01721,0.01182
11,0.01485,0.01439
12,0.01482,0.01034
13,0.01147,0.01457
14,0.01107,0.00817
15,0.01595,0.01323
16,0.01267,0.01648
17,0.0121,0.01126
18,0.01089,0.00964
19,0.01206,0.00786
20,0.0113,0.0168
21,0.02002,0.01681
22,0.00547,0.01519
23,0.0164,0.01359
24,0.01681,0.01049
25,0.01665,0.01071
26,0.01724,0.01214
27,0.01722,0.0161
28,0.01182,0.01681
29,0.01039,0.0082
30,0.00901,0.01542
31,0.00678,0.01573
32,0.01342,0.00776
33,0.0147,0.0126
34,0.01756,0.01323
35,0.00781,0.01003
36,0.0055,0.01337
37,0.01324,0.00985
38,0.00993,0.01055
39,0.01092,0.01355
40,0.01323,0.0146
41,0.0195,0.00982
42,0.01499,0.01164
43,0.00982,0.01707
44,0.00959,0.01102
45,0.01851,0.01183
46,0.01773,0.0171
47,0.01355,0.00765
48,0.01601,0.01487
49,0.0123,0.01399
50,0.01104,0.01167
