Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00021,0.00012
2,0.00024,0.00022
3,0.00024,0.00012
4,0.00029,0.0036
5,0.00113,9e-05
6,0.00121,0.00011
7,0.00021,7e-05
8,0.00031,0.00012
9,0.00023,0.00023
10,0.00047,0.00014
11,0.00038,0.00013
12,0.00047,0.00012
13,0.00013,0.00143
14,0.00015,0.01015
15,0.00038,0.00013
16,0.0002,0.00064
17,0.00018,0.00107
18,9e-05,0.00271
19,0.00011,0.0001
20,0.0003,0.00012
21,0.00085,9e-05
22,0.0002,8e-05
23,0.00023,9e-05
24,0.00067,0.00016
25,0.00024,7e-05
26,0.00016,0.00015
27,0.00011,0.00021
28,0.00029,0.00026
29,0.00017,0.00012
30,0.00011,6e-05
31,0.00013,0.00011
32,0.0002,0.00229
33,0.00027,0.00014
34,0.00017,0.0001
35,0.00632,0.00013
36,0.0007,0.00012
37,0.00019,8e-05
38,0.00014,0.00013
39,0.0002,0.00315
40,0.00099,0.00012
41,0.00012,0.00031
42,0.0002,0.00029
43,0.00025,0.00013
44,8e-05,0.00011
45,5e-05,0.00054
46,0.00076,0.00012
47,0.00018,0.00016
48,0.0001,0.00116
49,0.00015,0.00021
50,0.00019,6e-05
