Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.03213,0.01282
2,0.01937,0.0097
3,0.02165,0.02881
4,0.03767,0.05549
5,0.03439,0.03971
6,0.03128,0.03118
7,0.0742,0.04459
8,0.0706,0.0096
9,0.03238,0.01184
10,0.05889,0.06019
11,0.07164,0.02718
12,0.02139,0.01527
13,0.04342,0.02016
14,0.06362,0.01556
15,0.08532,0.04555
16,0.0856,0.01597
17,0.0344,0.04993
18,0.02953,0.01415
19,0.02038,0.0434
20,0.03263,0.02605
21,0.05849,0.01651
22,0.03159,0.02049
23,0.02591,0.01367
24,0.03637,0.01642
25,0.04534,0.01858
26,0.03153,0.02496
27,0.03604,0.01328
28,0.02715,0.02548
29,0.08921,0.01731
30,0.06277,0.01376
31,0.03545,0.03315
32,0.02185,0.01194
33,0.0391,0.05811
34,0.08591,0.01265
35,0.03928,0.0128
36,0.02645,0.01385
37,0.0226,0.01905
38,0.11183,0.03149
39,0.10176,0.01474
40,0.02119,0.01139
41,0.03481,0.01383
42,0.03207,0.02847
43,0.04521,0.05064
44,0.032,0.03441
45,0.04698,0.02245
46,0.02047,0.02513
47,0.08894,0.01932
48,0.04412,0.02156
49,0.02886,0.01468
50,0.02148,0.01467
