region_id,constraint_order,constraint_name,A_Cao,B_Ca,B_Cb,B_Cc,b
0,0,reaction_linearized,1,-8.0885162823694987,-1.9750156482059016,1.1487419956649154,-2.7350990349392008
0,1,mass_balance,-1,1,1,1,2
1,0,reaction_linearized,1,-8.0791526347674782,-1.9792609567704933,1.1487419956649154,-2.739167187811681
1,1,mass_balance,-1,1,1,1,2
2,0,reaction_linearized,1,-8.0698070076058066,-1.9835065021689555,1.1487419956649154,-2.7432301950912863
2,1,mass_balance,-1,1,1,1,2
3,0,reaction_linearized,1,-8.0604793661149792,-1.98775227936225,1.1487419956649154,-2.74728806170266
3,1,mass_balance,-1,1,1,1,2
4,0,reaction_linearized,1,-8.0511696755598514,-1.9919982833219725,1.1487419956649154,-2.7513407925814231
4,1,mass_balance,-1,1,1,1,2
5,0,reaction_linearized,1,-8.0418779012398058,-1.9962445090303826,1.1487419956649154,-2.7553883926740879
5,1,mass_balance,-1,1,1,1,2
6,0,reaction_linearized,1,-8.032604008488935,-2.000490951480431,1.1487419956649154,-2.7594308669379739
6,1,mass_balance,-1,1,1,1,2
7,0,reaction_linearized,1,-8.0233479626762474,-2.0047376056757775,1.1487419956649154,-2.7634682203411147
7,1,mass_balance,-1,1,1,1,2
8,0,reaction_linearized,1,-8.0141097292058419,-2.0089844666308183,1.1487419956649154,-2.7675004578621749
8,1,mass_balance,-1,1,1,1,2
9,0,reaction_linearized,1,-8.0048892735170867,-2.013231529370715,1.1487419956649154,-2.7715275844903648
9,1,mass_balance,-1,1,1,1,2
10,0,reaction_linearized,1,-7.9956865610848009,-2.017478788931415,1.1487419956649154,-2.7755496052253537
10,1,mass_balance,-1,1,1,1,2
11,0,reaction_linearized,1,-7.9865015574194471,-2.0217262403596705,1.1487419956649154,-2.7795665250771773
11,1,mass_balance,-1,1,1,1,2
12,0,reaction_linearized,1,-7.9773342280672974,-2.0259738787130694,1.1487419956649154,-2.7835783490661599
12,1,mass_balance,-1,1,1,1,2
13,0,reaction_linearized,1,-7.9681845386106236,-2.0302216990600521,1.1487419956649154,-2.7875850822228205
13,1,mass_balance,-1,1,1,1,2
14,0,reaction_linearized,1,-7.9590524546678614,-2.0344696964799414,1.1487419956649154,-2.791586729587797
14,1,mass_balance,-1,1,1,1,2
15,0,reaction_linearized,1,-7.9499379418937925,-2.0387178660629561,1.1487419956649154,-2.7955832962117499
15,1,mass_balance,-1,1,1,1,2
16,0,reaction_linearized,1,-7.940840965979719,-2.0429662029102396,1.1487419956649154,-2.799574787155283
16,1,mass_balance,-1,1,1,1,2
17,0,reaction_linearized,1,-7.9317614926536368,-2.0472147021338776,1.1487419956649154,-2.8035612074888552
17,1,mass_balance,-1,1,1,1,2
18,0,reaction_linearized,1,-7.9226994876804051,-2.0514633588569215,1.1487419956649154,-2.8075425622926966
18,1,mass_balance,-1,1,1,1,2
19,0,reaction_linearized,1,-7.9136549168619155,-2.0557121682134079,1.1487419956649154,-2.8115188566567206
19,1,mass_balance,-1,1,1,1,2
20,0,reaction_linearized,1,-7.9046277460372663,-2.0599611253483827,1.1487419956649154,-2.8154900956804463
20,1,mass_balance,-1,1,1,1,2
21,0,reaction_linearized,1,-7.8956179410829188,-2.0642102254179133,1.1487419956649154,-2.8194562844729001
21,1,mass_balance,-1,1,1,1,2
22,0,reaction_linearized,1,-7.886625467912884,-2.0684594635891207,1.1487419956649154,-2.8234174281525481
22,1,mass_balance,-1,1,1,1,2
23,0,reaction_linearized,1,-7.8776502924788616,-2.0727088350401868,1.1487419956649154,-2.8273735318471935
23,1,mass_balance,-1,1,1,1,2
24,0,reaction_linearized,1,-7.868692380770427,-2.0769583349603837,1.1487419956649154,-2.831324600693911
24,1,mass_balance,-1,1,1,1,2
25,0,reaction_linearized,1,-7.8597516988151792,-2.0812079585500882,1.1487419956649154,-2.8352706398389476
25,1,mass_balance,-1,1,1,1,2
26,0,reaction_linearized,1,-7.8508282126789082,-2.0854577010207977,1.1487419956649154,-2.8392116544376429
26,1,mass_balance,-1,1,1,1,2
27,0,reaction_linearized,1,-7.8419218884657553,-2.0897075575951551,1.1487419956649154,-2.8431476496543486
27,1,mass_balance,-1,1,1,1,2
28,0,reaction_linearized,1,-7.8330326923183682,-2.0939575235069618,1.1487419956649154,-2.8470786306623417
28,1,mass_balance,-1,1,1,1,2
29,0,reaction_linearized,1,-7.8241605904180549,-2.0982075940011988,1.1487419956649154,-2.8510046026437408
29,1,mass_balance,-1,1,1,1,2
30,0,reaction_linearized,1,-7.8153055489849592,-2.1024577643340434,1.1487419956649154,-2.8549255707894279
30,1,mass_balance,-1,1,1,1,2
31,0,reaction_linearized,1,-7.806467534278184,-2.1067080297728817,1.1487419956649154,-2.8588415402989535
31,1,mass_balance,-1,1,1,1,2
32,0,reaction_linearized,1,-7.7976465125959757,-2.1109583855963345,1.1487419956649154,-2.8627525163804677
32,1,mass_balance,-1,1,1,1,2
33,0,reaction_linearized,1,-7.7888424502758564,-2.1152088270942655,1.1487419956649154,-2.8666585042506281
33,1,mass_balance,-1,1,1,1,2
34,0,reaction_linearized,1,-7.7800553136947777,-2.1194593495678022,1.1487419956649154,-2.8705595091345177
34,1,mass_balance,-1,1,1,1,2
35,0,reaction_linearized,1,-7.7712850692692861,-2.1237099483293504,1.1487419956649154,-2.8744555362655682
35,1,mass_balance,-1,1,1,1,2
36,0,reaction_linearized,1,-7.7625316834556477,-2.1279606187026108,1.1487419956649154,-2.8783465908854735
36,1,mass_balance,-1,1,1,1,2
37,0,reaction_linearized,1,-7.7537951227500175,-2.1322113560225939,1.1487419956649154,-2.8822326782441099
37,1,mass_balance,-1,1,1,1,2
38,0,reaction_linearized,1,-7.7450753536885557,-2.1364621556356314,1.1487419956649154,-2.8861138035994442
38,1,mass_balance,-1,1,1,1,2
39,0,reaction_linearized,1,-7.7363723428476119,-2.1407130128993952,1.1487419956649154,-2.8899899722174669
39,1,mass_balance,-1,1,1,1,2
40,0,reaction_linearized,1,-7.7276860568438375,-2.1449639231829174,1.1487419956649154,-2.8938611893721085
40,1,mass_balance,-1,1,1,1,2
41,0,reaction_linearized,1,-7.719016462334344,-2.1492148818665893,1.1487419956649154,-2.8977274603451466
41,1,mass_balance,-1,1,1,1,2
42,0,reaction_linearized,1,-7.7103635260168293,-2.1534658843421868,1.1487419956649154,-2.901588790426131
42,1,mass_balance,-1,1,1,1,2
43,0,reaction_linearized,1,-7.7017272146297371,-2.1577169260128821,1.1487419956649154,-2.9054451849123102
43,1,mass_balance,-1,1,1,1,2
44,0,reaction_linearized,1,-7.6931074949523746,-2.1619680022932561,1.1487419956649154,-2.9092966491085406
44,1,mass_balance,-1,1,1,1,2
45,0,reaction_linearized,1,-7.6845043338050623,-2.166219108609309,1.1487419956649154,-2.9131431883272088
45,1,mass_balance,-1,1,1,1,2
46,0,reaction_linearized,1,-7.6759176980492621,-2.1704702403984752,1.1487419956649154,-2.9169848078881504
46,1,mass_balance,-1,1,1,1,2
47,0,reaction_linearized,1,-7.667347554587729,-2.174721393109639,1.1487419956649154,-2.9208215131185797
47,1,mass_balance,-1,1,1,1,2
48,0,reaction_linearized,1,-7.6587938703646188,-2.1789725622031386,1.1487419956649154,-2.9246533093529923
48,1,mass_balance,-1,1,1,1,2
49,0,reaction_linearized,1,-7.6502566123656432,-2.1832237431507862,1.1487419956649154,-2.9284802019331027
49,1,mass_balance,-1,1,1,1,2
50,0,reaction_linearized,1,-7.6417357476181778,-2.1874749314358719,1.1487419956649154,-2.9323021962077473
50,1,mass_balance,-1,1,1,1,2
51,0,reaction_linearized,1,-7.6332312431914202,-2.1917261225531806,1.1487419956649154,-2.9361192975328207
51,1,mass_balance,-1,1,1,1,2
52,0,reaction_linearized,1,-7.6247430661964932,-2.1959773120090031,1.1487419956649154,-2.939931511271193
52,1,mass_balance,-1,1,1,1,2
53,0,reaction_linearized,1,-7.61627118378658,-2.2002284953211428,1.1487419956649154,-2.9437388427926243
53,1,mass_balance,-1,1,1,1,2
54,0,reaction_linearized,1,-7.6078155631570556,-2.2044796680189287,1.1487419956649154,-2.9475412974736903
54,1,mass_balance,-1,1,1,1,2
55,0,reaction_linearized,1,-7.599376171545611,-2.2087308256432228,1.1487419956649154,-2.9513388806977057
55,1,mass_balance,-1,1,1,1,2
56,0,reaction_linearized,1,-7.5909529762323658,-2.2129819637464339,1.1487419956649154,-2.9551315978546411
56,1,mass_balance,-1,1,1,1,2
57,0,reaction_linearized,1,-7.5825459445399988,-2.2172330778925238,1.1487419956649154,-2.95891945434105
57,1,mass_balance,-1,1,1,1,2
58,0,reaction_linearized,1,-7.5741550438338807,-2.2214841636570193,1.1487419956649154,-2.9627024555599899
58,1,mass_balance,-1,1,1,1,2
59,0,reaction_linearized,1,-7.5657802415221553,-2.2257352166270188,1.1487419956649154,-2.96648060692094
59,1,mass_balance,-1,1,1,1,2
60,0,reaction_linearized,1,-7.5574215050559213,-2.2299862324012003,1.1487419956649154,-2.9702539138397306
60,1,mass_balance,-1,1,1,1,2
61,0,reaction_linearized,1,-7.5490788019292747,-2.2342372065898339,1.1487419956649154,-2.9740223817384601
61,1,mass_balance,-1,1,1,1,2
62,0,reaction_linearized,1,-7.5407520996794917,-2.2384881348147871,1.1487419956649154,-2.9777860160454268
62,1,mass_balance,-1,1,1,1,2
63,0,reaction_linearized,1,-7.5324413658870935,-2.2427390127095301,1.1487419956649154,-2.9815448221950365
63,1,mass_balance,-1,1,1,1,2
64,0,reaction_linearized,1,-7.5241465681759978,-2.2469898359191491,1.1487419956649154,-2.9852988056277434
64,1,mass_balance,-1,1,1,1,2
65,0,reaction_linearized,1,-7.5158676742136095,-2.25124060010035,1.1487419956649154,-2.9890479717899634
65,1,mass_balance,-1,1,1,1,2
66,0,reaction_linearized,1,-7.5076046517109347,-2.2554913009214652,1.1487419956649154,-2.9927923261340021
66,1,mass_balance,-1,1,1,1,2
67,0,reaction_linearized,1,-7.4993574684226951,-2.2597419340624634,1.1487419956649154,-2.9965318741179754
67,1,mass_balance,-1,1,1,1,2
68,0,reaction_linearized,1,-7.4911260921474447,-2.2639924952149513,1.1487419956649154,-3.0002666212057383
68,1,mass_balance,-1,1,1,1,2
69,0,reaction_linearized,1,-7.4829104907276562,-2.2682429800821868,1.1487419956649154,-3.003996572866809
69,1,mass_balance,-1,1,1,1,2
70,0,reaction_linearized,1,-7.4747106320498551,-2.2724933843790738,1.1487419956649154,-3.0077217345762857
70,1,mass_balance,-1,1,1,1,2
71,0,reaction_linearized,1,-7.4665264840446923,-2.2767437038321829,1.1487419956649154,-3.0114421118147856
71,1,mass_balance,-1,1,1,1,2
72,0,reaction_linearized,1,-7.4583580146870805,-2.2809939341797434,1.1487419956649154,-3.0151577100683582
72,1,mass_balance,-1,1,1,1,2
73,0,reaction_linearized,1,-7.4502051919962868,-2.2852440711716562,1.1487419956649154,-3.0188685348284192
73,1,mass_balance,-1,1,1,1,2
74,0,reaction_linearized,1,-7.4420679840360116,-2.2894941105694975,1.1487419956649154,-3.0225745915916695
74,1,mass_balance,-1,1,1,1,2
75,0,reaction_linearized,1,-7.4339463589145316,-2.2937440481465194,1.1487419956649154,-3.0262758858600254
75,1,mass_balance,-1,1,1,1,2
76,0,reaction_linearized,1,-7.4258402847847691,-2.2979938796876604,1.1487419956649154,-3.0299724231405469
76,1,mass_balance,-1,1,1,1,2
77,0,reaction_linearized,1,-7.4177497298443953,-2.3022436009895459,1.1487419956649154,-3.0336642089453565
77,1,mass_balance,-1,1,1,1,2
78,0,reaction_linearized,1,-7.4096746623359326,-2.3064932078604907,1.1487419956649154,-3.0373512487915724
78,1,mass_balance,-1,1,1,1,2
79,0,reaction_linearized,1,-7.401615050546857,-2.3107426961205109,1.1487419956649154,-3.0410335482012378
79,1,mass_balance,-1,1,1,1,2
80,0,reaction_linearized,1,-7.393570862809673,-2.3149920616013131,1.1487419956649154,-3.0447111127012385
80,1,mass_balance,-1,1,1,1,2
81,0,reaction_linearized,1,-7.385542067502028,-2.3192413001463121,1.1487419956649154,-3.048383947823238
81,1,mass_balance,-1,1,1,1,2
82,0,reaction_linearized,1,-7.3775286330467917,-2.3234904076106253,1.1487419956649154,-3.0520520591036036
82,1,mass_balance,-1,1,1,1,2
83,0,reaction_linearized,1,-7.3695305279121701,-2.3277393798610766,1.1487419956649154,-3.0557154520833363
83,1,mass_balance,-1,1,1,1,2
84,0,reaction_linearized,1,-7.3615477206117532,-2.3319882127762019,1.1487419956649154,-3.0593741323079922
84,1,mass_balance,-1,1,1,1,2
85,0,reaction_linearized,1,-7.3535801797046538,-2.3362369022462484,1.1487419956649154,-3.0630281053276218
85,1,mass_balance,-1,1,1,1,2
86,0,reaction_linearized,1,-7.3456278737955545,-2.3404854441731771,1.1487419956649154,-3.0666773766966839
86,1,mass_balance,-1,1,1,1,2
87,0,reaction_linearized,1,-7.3376907715348221,-2.3447338344706652,1.1487419956649154,-3.0703219519739888
87,1,mass_balance,-1,1,1,1,2
88,0,reaction_linearized,1,-7.3297688416185869,-2.3489820690641072,1.1487419956649154,-3.0739618367226234
88,1,mass_balance,-1,1,1,1,2
89,0,reaction_linearized,1,-7.321862052788819,-2.353230143890614,1.1487419956649154,-3.0775970365098724
