region_id,constraint_order,constraint_name,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,0,reaction_linearized_adaptive,-0.011820199478265042,1.0,-1.1182678736686356,-0.11826787366863555,0.018974317120764035,-3.8125194830886713
0,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
1,0,reaction_linearized_adaptive,-0.05146973126104723,1.0,-3.64229128349209,-2.6422912834920904,0.7278668115086828,-20.608091346649676
1,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
2,0,reaction_linearized_adaptive,-0.08950274714866041,1.0,-15.404367331147325,-11.84323571789595,3.742204976657634,-44.76392657195717
2,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
3,0,reaction_linearized_adaptive,-0.09804834691949149,1.0,-12.85634479366699,-14.296637405824077,3.741241110795609,-49.03608278685956
3,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
4,0,reaction_linearized_adaptive,-0.22397731896441808,1.0,-67.0159872433421,-48.16039266433638,15.27447398496014,-134.01918927889585
4,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
5,0,reaction_linearized_adaptive,-0.4273711061616954,1.0,-128.58016454870693,-113.78831278609934,31.487052491847876,-273.88241761722156
5,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
6,0,reaction_linearized_adaptive,-0.24939048298410116,1.0,-50.77764363179646,-61.22288407250272,15.107223982862715,-149.05276874843415
6,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
7,0,reaction_linearized_adaptive,-0.41913429402000846,1.0,-102.27795265429017,-117.59189397995432,28.861395130352477,-266.57795404690086
7,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
8,0,reaction_linearized_adaptive,-0.4128141147669373,1.0,-90.79154831868107,-118.78711733697399,27.513571865880163,-261.4503196302267
8,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
9,0,reaction_linearized_adaptive,-0.5235958454956666,1.0,-194.14571023957993,-139.18241305370432,42.01882772205216,-343.7096354321497
9,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
10,0,reaction_linearized_adaptive,-0.9380268378018464,1.0,-274.9052719192305,-306.4432904619088,72.7913468107423,-642.3611055781961
10,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
11,0,reaction_linearized_adaptive,-0.9347898584874983,1.0,-231.6738099530663,-321.7364990231937,69.28842040663604,-637.8102942031951
