region_id,depth,n_samples,criterion,criterion_score,remainder_score,remainder_max,remainder_mean,projected_score,projected_max,projected_mean,stop_reason,anchor_row_index,T_low,T_high,T_center,anchor_T,Cao_low,Cao_high,Cao_center,anchor_Cao,anchor_Ca,data_Ca_min,data_Ca_max,anchor_Cb,data_Cb_min,data_Cb_max,anchor_Cc,data_Cc_min,data_Cc_max
0,3,139,projection,0.1661280250539345,0.17888900784633133,0.17888900784633133,0.04400355194483094,0.1661280250539345,0.1661280250539345,0.04753980545087596,tolerance_met,69,280.0,334.0,307.0,304.545454545455,0.8,1.2,1.0,1.0,0.8993628344013688,0.4927821691960486,1.1924139802058196,1.7987256688027375,1.1946740022023814,1.9898345400809252,0.3019114967958937,0.0152481898786116,1.207988996696428
1,3,48,projection,0.1608318592592577,0.1984647850623691,0.1984647850623691,0.06063509982133095,0.1608318592592577,0.1608318592592577,0.05618666684154133,tolerance_met,164,334.0,351.179358745267,342.5896793726335,344.285714285714,0.8,1.2,1.0,1.0,0.5464571929272181,0.4123715693381783,0.7135930643947225,1.092914385854436,0.962774290379932,1.2782081216111227,1.360628421218346,1.082687817583316,1.5558385644301025
2,3,31,projection,0.3990982583849991,0.46214784958825406,0.46214784958825406,0.15763435054852243,0.3990982583849991,0.3990982583849991,0.11727789492193741,tolerance_met,219,351.179358745267,378.661285178804,364.9203219620355,365.710053379059,0.8,1.0,0.9,0.909682782781,0.4176466712505658,0.3331758435640714,0.5004196179388624,1.0159277769391315,0.942901991942944,1.101850265359073,1.4761083345913022,1.347224601961391,1.585647012085585
3,3,32,projection,0.5577444390658872,0.37358257705045705,0.37358257705045705,0.13089934093635502,0.5577444390658872,0.5577444390658872,0.13074445831742937,tolerance_met,218,351.179358745267,378.661285178804,364.9203219620355,365.706472954376,1.0,1.2,1.1,1.094867000456,0.5557854416887766,0.4730022900815991,0.6387500646813501,0.9218368824655524,0.8580780446117493,1.023242811131723,1.617244676301671,1.465135783302415,1.7128829330823772
4,7,17,projection,0.6670200503608683,0.3736156526554737,0.3736156526554737,0.09244186450692414,0.6670200503608683,0.6670200503608683,0.11627917288930971,tolerance_met,275,378.661285178804,395.79057144437104,387.2259283115875,386.363636363636,0.8,0.91466443388825,0.8573322169441251,0.866666666667,0.3596287796605972,0.3082544966725701,0.3958265708735309,0.9859242259871972,0.9478520335608336,1.024136336573078,1.5211136610192055,1.4637954951403835,1.5782219496587484
5,6,8,projection,0.35539734051567606,1.0856611713712496,1.0856611713712496,0.5635110274170234,0.35539734051567606,0.35539734051567606,0.2233588012085268,tolerance_met,303,378.661285178804,404.87379269896553,391.76753893888474,397.921791518448,0.91466443388825,1.0,0.957332216944125,0.95068242072,0.4068898240466769,0.3950660352643961,0.4559254874110994,0.9124148066533424,0.9015004079114582,0.9582591506767972,1.6313777900199804,1.5626112739848064,1.647749388132821
6,5,20,projection,0.49061058999087237,0.3894204813180693,0.3894204813180693,0.12584178236424365,0.49061058999087237,0.49061058999087237,0.1243647081599728,tolerance_met,274,378.661285178804,391.1204115608415,384.8908483698227,386.192906676916,1.0,1.2,1.1,1.09903447009,0.5297552212129574,0.4507151162380416,0.6044360559046086,0.8614415022459138,0.8226609556532182,0.9093463374132998,1.7078377466311292,1.635980493880051,1.766008566520173
7,7,7,projection,0.5127545715365258,0.3909142829613259,0.3909142829613259,0.19415569209002623,0.5127545715365258,0.5127545715365258,0.2350372892833568,tolerance_met,300,391.1204115608415,401.31995334170927,396.2201824512754,396.494112083365,1.0,1.077593817259,1.0387969086295001,1.068761121391,0.4956343985271947,0.4416230698883671,0.4956343985271947,0.8537465542723851,0.8537465542723851,0.8897632773802163,1.71938016859142,1.6653550839296696,1.71938016859142
8,7,8,projection,0.24089637132399844,0.20250665929151523,0.20250665929151523,0.08341117640234152,0.24089637132399844,0.24089637132399844,0.08849171102179554,tolerance_met,297,391.1204115608415,401.31995334170927,396.2201824512754,395.714285714286,1.077593817259,1.2,1.1387969086295,1.133333333333,0.5462311259201469,0.5017899365717334,0.573782091419441,0.8257955851742848,0.7971431271288886,0.8550260745980076,1.761306622238568,1.7174608881029871,1.8042853093066704
9,7,6,projection,0.6051344494502615,0.5796863004771211,0.5796863004771211,0.23174695601340525,0.6051344494502615,0.6051344494502615,0.20895535240535068,tolerance_met,312,395.79057144437104,406.757688122248,401.2741297833095,402.727272727273,0.8,0.91466443388825,0.8573322169441251,0.866666666667,0.3438940176294081,0.3032777599121704,0.3438940176294081,0.9544547019248112,0.9488174825839418,1.0077886503382911,1.5683179471127808,1.488317024492563,1.5767737761240834
