region_id,iT,iC,T_low,T_high,C_low,C_high,Tss,Caoss,Cass,Cbss,Ccss,fss,aT,aCao,aCa,aCb,aCc,b,estimated_T_axis_bound,estimated_C_axis_bound
0,0,0,280.0,364.76900428703345,0.8,0.9205769491553575,322.3845021435167,0.8602884745776788,0.6008004263923901,1.4810239036294226,0.7784641445558661,-2.0719537197066984e-14,-0.02800929421175356,1.0,-1.573147250334165,-0.4650122277466682,0.10900831437714738,-9.718456594620239,32579.963680224253,83.89114889822508
1,0,1,280.0,364.76900428703345,0.9205769491553575,1.0548895757784482,322.3845021435167,0.9877332624669029,0.7036621874654765,1.4318578499971473,0.8522132250042791,-2.2926105458509483e-14,-0.030662800743264287,1.0,-1.5357249669857718,-0.5265458469216471,0.10900831437714738,-10.639150556241267,32579.963680224253,83.89114885939257
2,0,2,280.0,364.76900428703345,1.0548895757784482,1.2,322.3845021435167,1.1274447878892242,0.8189739638962321,1.3830583520140158,0.9254124719789762,-2.478572902475662e-14,-0.03329652415741437,1.0,-1.499830880727364,-0.5919467925137635,0.10900831437714738,-11.552980318931677,32579.963680224253,83.89114886457106
3,1,0,364.76900428703345,394.0257107685907,0.8,0.9205769491553575,379.3973575278121,0.8602884745776788,0.36317763601683317,1.0057783228783093,1.4913325156825366,-5.897504706808832e-13,-0.15787310502441387,1.0,-42.07182352292218,-29.66134273259774,9.668706867022713,-89.72937441888428,32579.963684514772,83.89114889822508
4,1,1,364.76900428703345,394.0257107685907,0.9205769491553575,1.0548895757784482,379.3973575278121,0.9877332624669029,0.45389265200568635,0.9323187790775641,1.6015218313836523,-6.270539643082884e-13,-0.16953779363498067,1.0,-36.2913528528483,-34.36267958711814,9.668706867022713,-96.35916238470271,32579.963684514772,83.89114885939257
5,1,2,364.76900428703345,394.0257107685907,1.0548895757784482,1.2,379.3973575278121,1.1274447878892242,0.5600740829865091,0.8652585901945733,1.702112114708142,-6.714628852932947e-13,-0.1801863245271369,1.0,-31.397039095334527,-39.3514586038289,9.668706867022713,-102.41140298189366,32579.963684514772,83.89114886457106
6,2,0,394.0257107685907,410.92253195782575,0.8,0.9205769491553575,402.47412136320827,0.8602884745776788,0.3398050083848715,0.9590330676143939,1.5614503985784136,-2.7569058147491887e-12,-0.5146923355942805,1.0,-192.73394925328742,-135.87051048353237,41.39207548720389,-337.45465800804124,32579.96367556433,83.89114889822508
7,2,1,394.0257107685907,410.92253195782575,0.9205769491553575,1.0548895757784482,402.47412136320827,0.9877332624669029,0.42947244667986284,0.8834783684259163,1.6747824473611237,-2.9700686354772188e-12,-0.5520493575904766,1.0,-163.71354039551778,-158.19511784111228,41.39207548720389,-361.9475447485621,32579.96367556433,83.89114885939257
8,2,2,394.0257107685907,410.92253195782575,1.0548895757784482,1.2,402.47412136320827,1.1274447878892242,0.5350955466515942,0.8153015175247512,1.7770477237128788,-3.169020601490047e-12,-0.5857585000541743,1.0,-139.56972503231577,-181.89109469743406,41.39207548720389,-384.04872317139075,32579.96367556433,83.89114886457106
9,3,0,410.92253195782575,422.7337155613557,0.8,0.9205769491553575,416.82812375959077,0.8602884745776788,0.3280255076866566,0.9354740662179412,1.5967889006730813,-5.314859663485549e-12,-1.075468259888309,1.0,-461.62153203796305,-323.03538356552804,94.29132984816985,-750.4766407285526,32579.963684500563,83.89114889822508
10,3,1,410.92253195782575,422.7337155613557,0.9205769491553575,1.0548895757784482,416.82812375959077,0.9877332624669029,0.41716404548069885,0.8588615660275944,1.7117076509586093,-5.7980287238024175e-12,-1.1528682645764814,1.0,-389.2639496184964,-377.17314720766586,94.29132984816985,-804.4874355397225,32579.963684500563,83.89114885939257
11,3,2,410.92253195782575,422.7337155613557,1.0548895757784482,1.2,416.82812375959077,1.1274447878892242,0.5225263448007723,0.7901631138231253,1.8147553292653265,-6.110667527536862e-12,-1.2222728723034884,1.0,-329.6353185771883,-434.645983302669,94.29132984816985,-852.9189316616602,32579.963684500563,83.89114886457106
