region_id,iT,iC,n_points,mean_abs_linearization_error,max_abs_linearization_error,rmse_linearization_error
0,0,0,27,0.13951492604467214,0.5016970848676188,0.20814005851389733
1,0,1,27,0.13937479646427733,0.48700596790833894,0.20015464647043424
2,0,2,28,0.1741845307228075,0.5481190207964286,0.23267198034565542
3,1,0,5,0.1521820669096316,0.24593086262053537,0.1634416802514249
4,1,1,7,0.14085953945019405,0.3164366537639378,0.16810713687792136
5,1,2,8,0.15586817249299237,0.35557352679416676,0.18796084318018963
6,2,0,6,0.09163115025133946,0.14783604048054633,0.10679119741082853
7,2,1,5,0.10706782264274972,0.1631237651438866,0.1241000275710425
8,2,2,9,0.18686148319495213,0.48384653236348263,0.23453202625320607
9,3,0,3,0.04857197597505173,0.08352257234952365,0.054559459164519444
10,3,1,4,0.17340619653705788,0.4520262698219506,0.23768682953182377
11,3,2,5,0.21202621584204362,0.6293693421401736,0.31083274984663767
12,4,0,1,0.05684391713671966,0.05684391713671966,0.05684391713671966
13,4,1,2,0.7207118511266175,1.3270724614386031,0.9418592050260375
14,4,2,4,0.91858790182338,2.0596371196837744,1.2678575142979385
15,5,0,2,0.6905414888612786,1.336982100570534,0.9459032785151914
16,5,1,1,0.13008657004905633,0.13008657004905633,0.13008657004905633
17,5,2,3,0.5731667046579676,0.8989486476267547,0.6936815691050071
18,6,0,1,0.06859133836849463,0.06859133836849463,0.06859133836849463
19,6,1,2,2.2167286581991865,4.240230107639389,3.001407013380253
20,6,2,3,0.9379918550838195,2.6364358077389944,1.5244762236270029
21,7,0,3,1.8268141839607555,5.25753808891125,3.0368083577644804
22,7,1,5,0.8947308009813064,1.847348957530036,1.0676456123393794
23,7,2,2,0.08078452332455771,0.09599673930571972,0.08220432302399631
24,8,0,1,0.17791717730268264,0.17791717730268264,0.17791717730268264
25,8,1,1,0.39954878637610136,0.39954878637610136,0.39954878637610136
26,8,2,1,0.10603670413061761,0.10603670413061761,0.10603670413061761
27,9,0,1,13.874344918214987,13.874344918214987,13.874344918214987
28,9,1,1,0.09742374435828338,0.09742374435828338,0.09742374435828338
29,9,2,2,5.60557936820207,11.143966140564252,7.880117263942784
