region_id,T_low,T_high,C_low,C_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error
0,280.0,325.0,0.8,1.2,3645,0.038920127282986564,0.0520221403044147,0.13914885070204064
1,325.0,370.0,0.8,1.2,3645,0.25799767903260634,0.3471977712529152,1.0786613629742043
2,370.0,392.5,0.8,0.9,460,0.1037790128566926,0.129341513101206,0.37233189439921266
3,370.0,415.0,0.9,1.0,900,0.4435474362820516,0.5993620175605638,1.8393649550962465
4,370.0,415.0,1.0,1.1,900,0.4562014642027565,0.6220494577677268,1.8604714386425907
5,370.0,415.0,1.1,1.2,945,0.47254641397172675,0.6476224776501246,1.9132601882581943
6,392.5,415.0,0.8,0.9,440,0.2421544378640629,0.29225712659614306,0.8080095662748754
7,415.0,437.5,0.8,0.8500000000000001,230,0.39557394598838397,0.48307703582508776,1.3118205126661806
8,415.0,437.5,0.8500000000000001,0.9,230,0.39178315118245755,0.4775360159516923,1.2469001587736124
9,415.0,437.5,0.9,0.95,230,0.3886052331458768,0.473798644539697,1.1889544960308547
10,415.0,437.5,0.95,1.0,230,0.3861062682538141,0.47172540511517974,1.1459272665054385
11,415.0,437.5,1.0,1.05,230,0.3842925562954958,0.4711133038043122,1.1226205556385223
12,415.0,437.5,1.05,1.1,230,0.3831315698353215,0.47173599360539703,1.1042229699460053
13,415.0,437.5,1.1,1.2,483,0.6575143528543045,0.7794687081877965,1.8915575385910048
14,437.5,448.75,0.8,0.8500000000000001,110,0.479841883774459,0.6038457862873239,1.6302549981908232
15,437.5,448.75,0.8500000000000001,0.9,110,0.45430494769960356,0.5663654367496661,1.4990407793474168
16,437.5,448.75,0.9,0.95,110,0.43020321729506256,0.5315932726729595,1.377530015540768
17,437.5,448.75,0.95,1.0,110,0.40783681257584203,0.4998728046129651,1.2666556827868032
18,437.5,448.75,1.0,1.05,110,0.3873460944455332,0.47132008493785676,1.1666305553720466
19,437.5,448.75,1.05,1.1,110,0.3687556105845352,0.4458888843457937,1.0771694303352666
20,437.5,448.75,1.1,1.15,110,0.3520115355174868,0.423425865302667,0.9976721522277154
21,437.5,448.75,1.15,1.2,121,0.3717999118546382,0.4433335392189105,0.9485613374002035
22,448.75,460.0,0.8,0.8250000000000001,60,0.38841001574472195,0.47629901736916097,1.3143368245497893
23,448.75,460.0,0.8250000000000001,0.8500000000000001,60,0.38387479920423606,0.46878916626330286,1.2740171626559476
24,448.75,460.0,0.8500000000000001,0.875,60,0.3795032723582368,0.4618314916342496,1.2355263091410345
25,448.75,460.0,0.875,0.9,60,0.375326633525439,0.4554463645669363,1.1989847863699006
26,448.75,460.0,0.9,0.925,60,0.3713677148845399,0.449640357846548,1.1644664885852436
27,448.75,460.0,0.925,0.95,60,0.3676420799601217,0.4444086104653027,1.132005566111695
28,448.75,460.0,0.95,1.0,120,0.7427856450404309,0.9103644633931964,2.372416344583052
29,448.75,460.0,1.0,1.05,120,0.7048567225475819,0.8573197037557154,2.1859195137579004
30,448.75,460.0,1.05,1.1,120,0.6705065049573451,0.8101895749673742,2.0197521764211954
31,448.75,460.0,1.1,1.15,120,0.6396356835927673,0.768681443706489,1.8727216156761646
32,448.75,460.0,1.15,1.2,132,0.6742877873418632,0.8030412694888241,1.7432861569856581
