Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00099,0.00398
2,0.00149,0.00444
3,0.01949,0.00474
4,0.01394,0.00474
5,0.00246,0.00486
6,0.00053,0.00548
7,0.01794,0.00499
8,0.01842,0.00479
9,0.00477,0.01036
10,0.0027,0.00476
11,0.00015,0.00484
12,0.00072,0.00491
13,0.00034,0.00416
14,0.00032,0.00465
15,0.01867,0.0082
16,0.04526,0.00456
17,0.00324,0.00434
18,0.00084,0.00445
19,0.00243,0.00595
20,0.00155,0.01056
21,0.00106,0.00578
22,0.00093,0.03706
23,0.00162,0.00413
24,0.00528,0.00524
25,0.00063,0.00874
26,0.00319,0.00475
27,0.00065,0.00446
28,0.00024,0.00488
29,0.00271,0.00502
30,0.00126,0.03608
31,0.00948,0.01284
32,0.00097,0.00485
33,0.00096,0.00482
34,0.00047,0.01969
35,0.00098,0.00714
36,0.00281,0.00438
37,0.00183,0.00449
38,0.0014,0.00484
39,0.00893,0.00491
40,0.00119,0.01362
41,0.00923,0.00433
42,0.00076,0.00469
43,0.00062,0.00409
44,0.00094,0.0046
45,0.00096,0.005
46,0.01335,0.00437
47,0.00221,0.00674
48,0.0057,0.0047
49,0.00104,0.01703
50,0.00162,0.00477
