Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.06269,0.03317
2,0.05707,0.0335
3,0.05642,0.03238
4,0.05769,0.03745
5,0.06318,0.03419
6,0.05713,0.0316
7,0.05345,0.02764
8,0.04761,0.04234
9,0.05804,0.03021
10,0.0596,0.03607
11,0.045,0.04042
12,0.05671,0.04117
13,0.0612,0.03903
14,0.06079,0.04281
15,0.06065,0.04182
16,0.06159,0.0311
17,0.06101,0.02385
18,0.06147,0.03758
19,0.06107,0.0413
20,0.05956,0.03993
21,0.0591,0.02982
22,0.05774,0.04387
23,0.05954,0.03639
24,0.05724,0.04344
25,0.05329,0.03968
26,0.04462,0.04185
27,0.05643,0.04186
28,0.06036,0.04215
29,0.05951,0.03785
30,0.05323,0.03065
31,0.04393,0.03377
32,0.05546,0.02135
33,0.06172,0.03795
34,0.05588,0.02541
35,0.05372,0.02994
36,0.05881,0.03975
37,0.0462,0.03897
38,0.05948,0.04248
39,0.04416,0.03695
40,0.04535,0.04303
41,0.06254,0.03116
42,0.06194,0.0444
43,0.05594,0.03426
44,0.05737,0.02245
45,0.04269,0.0417
46,0.05703,0.0436
47,0.05803,0.04039
48,0.05939,0.0385
49,0.05897,0.03853
50,0.05623,0.04097
