scenario,archive_set,model,run_index,archive_folder,n_test,reaction_mean,mass_balance_mean,reaction_max,mass_balance_max,combined_mean
nseg_90,1,KKThPINN,1,20260604-050037_run01_KKThPINN,30,7.226165201574079e-05,1.9984014443252818e-16,0.00031638976665360197,8.881784197001252e-16,3.613082600797032e-05
nseg_90,1,KKThPINN,2,20260604-050148_run02_KKThPINN,30,1.2075038494711403e-05,3.182639337258782e-16,8.143468302290735e-05,8.881784197001252e-16,6.037519247514833e-06
nseg_90,1,KKThPINN,3,20260604-050257_run03_KKThPINN,30,9.609551413589657e-05,2.294460917558657e-16,0.001041567212009653,4.440892098500626e-16,4.804775706806301e-05
nseg_90,1,KKThPINN,4,20260604-050408_run04_KKThPINN,30,3.8648591221638697e-05,2.4424906541753446e-16,0.00019952901156772285,8.881784197001252e-16,1.9324295610941473e-05
nseg_90,1,KKThPINN,5,20260604-050519_run05_KKThPINN,30,3.815521891365285e-05,1.8503717077085943e-16,0.00045292265513996455,4.440892098500626e-16,1.9077609456918943e-05
nseg_90,1,KKThPINN,6,20260604-050630_run06_KKThPINN,30,7.767109719186334e-05,1.7763568394002506e-16,0.0008226975978784523,4.440892098500626e-16,3.883554859602049e-05
nseg_90,1,KKThPINN,7,20260604-050742_run07_KKThPINN,30,6.009513373528286e-06,2.0724163126336256e-16,4.1279694233731234e-05,6.661338147750939e-16,3.004756686867764e-06
nseg_90,1,KKThPINN,8,20260604-050854_run08_KKThPINN,30,9.588315890640686e-06,2.3684757858670006e-16,3.5453593157486196e-05,4.440892098500626e-16,4.794157945438767e-06
nseg_90,1,KKThPINN,9,20260604-051004_run09_KKThPINN,30,2.976287653225403e-05,2.294460917558657e-16,0.00024383176697817532,8.881784197001252e-16,1.4881438266241739e-05
nseg_90,1,KKThPINN,10,20260604-051114_run10_KKThPINN,30,0.00031942719562895553,2.9605947323337506e-16,0.00203159313905088,8.881784197001252e-16,0.00015971359781462579
nseg_90,1,KKThPINN,11,20260604-051225_run11_KKThPINN,30,6.876019313893552e-05,2.0724163126336256e-16,0.000646248795678428,4.440892098500626e-16,3.4380096569571377e-05
nseg_90,1,KKThPINN,12,20260604-051336_run12_KKThPINN,30,9.579393008333585e-06,2.6645352591003756e-16,7.90023836099163e-05,8.881784197001252e-16,4.789696504300019e-06
nseg_90,1,KKThPINN,13,20260604-051447_run13_KKThPINN,30,1.121214235682751e-05,1.8503717077085943e-16,0.00010006557876462985,6.661338147750939e-16,5.606071178506274e-06
nseg_90,1,KKThPINN,14,20260604-051558_run14_KKThPINN,30,5.68799618981745e-05,3.478698810492157e-16,0.0004937674640768108,8.881784197001252e-16,2.843998094926118e-05
nseg_90,1,KKThPINN,15,20260604-051708_run15_KKThPINN,30,0.00012469390331619015,1.7763568394002506e-16,0.0006893626869175495,4.440892098500626e-16,6.23469516581839e-05
nseg_90,1,KKThPINN,16,20260604-051818_run16_KKThPINN,30,3.103699818777598e-05,2.294460917558657e-16,0.000102362393953781,6.661338147750939e-16,1.5518499094002715e-05
nseg_90,1,KKThPINN,17,20260604-051929_run17_KKThPINN,30,4.7892091622155536e-05,2.886579864025407e-16,0.0004491572307856462,6.661338147750939e-16,2.39460458112221e-05
nseg_90,1,KKThPINN,18,20260604-052038_run18_KKThPINN,30,5.2799519166857325e-05,1.8503717077085943e-16,0.0004210354357958579,4.440892098500626e-16,2.639975958352118e-05
