region_id,C_low,C_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual
0,0.5,0.5181818181818182,4,0.00016964709867560348,0.00022562735167866392,0.00036846865863784765,5.551115123125783e-16,0.0001696470986751594
1,0.5181818181818182,0.5363636363636364,2,5.562133809908546e-07,7.8660450697066e-07,1.1124267619817092e-06,1.1102230246251565e-16,5.562133808798323e-07
2,0.5363636363636364,0.5545454545454546,3,9.102361256784017e-05,0.00011825053300780037,0.00018483513141744241,3.7007434154171886e-16,9.102361256821025e-05
3,0.5545454545454546,0.5727272727272728,3,0.0001116129459504036,0.000178537972674215,0.00030807662526975525,3.7007434154171886e-16,0.0001116129459504776
4,0.5727272727272728,0.5909090909090909,2,4.712029899923281e-06,6.663816590543528e-06,9.424059799513496e-06,5.551115123125783e-16,4.712029899812259e-06
5,0.5909090909090909,0.6090909090909091,3,8.276213590146843e-05,0.00010136275789436553,0.0001244224336488884,3.7007434154171886e-16,8.276213590109836e-05
6,0.6090909090909091,0.6272727272727272,2,4.521976040296281e-06,6.395039844913186e-06,9.043952080592561e-06,1.1102230246251565e-16,4.521976040407303e-06
7,0.6272727272727272,0.6454545454545455,3,0.00010318537017675556,0.0001651638540593215,0.0002850178404305709,4.440892098500626e-16,0.00010318537017675556
8,0.6454545454545455,0.6636363636363636,3,7.998468088785358e-05,0.00010378283510508223,0.0001619511758322173,2.9605947323337506e-16,7.998468088770555e-05
9,0.6636363636363636,0.6818181818181819,3,4.5543038786561705e-05,7.834206754921194e-05,0.0001356891859155187,5.181040781584064e-16,4.554303878641367e-05
10,0.6818181818181819,0.7,3,8.411178692574867e-05,0.0001225201822102573,0.00020739888743746132,2.9605947323337506e-16,8.41117869254526e-05
11,0.7,0.7181818181818181,3,8.177109464593852e-05,0.00011894642585216654,0.00020125515668406244,2.220446049250313e-16,8.177109464601254e-05
12,0.7181818181818181,0.7363636363636363,2,4.384018365051088e-07,6.199938227977879e-07,8.76803672788173e-07,3.3306690738754696e-16,4.384018361720419e-07
13,0.7363636363636363,0.7545454545454545,3,7.149194552323399e-05,9.289418376108371e-05,0.0001452382202166997,5.921189464667501e-16,7.149194552360406e-05
14,0.7545454545454545,0.7727272727272727,3,8.723822330334085e-05,0.00013953497418128284,0.0002407726269672613,7.401486830834377e-16,8.723822330304479e-05
15,0.7727272727272727,0.7909090909090909,2,3.673534612475861e-06,5.1951624707318494e-06,7.347069224840699e-06,7.771561172376096e-16,3.673534613253017e-06
16,0.7909090909090909,0.8090909090909091,3,6.434176254972348e-05,7.880255029449772e-05,9.678186749625343e-05,2.220446049250313e-16,6.434176254950143e-05
17,0.8090909090909091,0.8272727272727273,2,3.50664685346599e-06,4.959147538624543e-06,7.01329370693198e-06,6.661338147750939e-16,3.5066468527998563e-06
18,0.8272727272727273,0.8454545454545455,3,7.986784262721724e-05,0.00012784898189160566,0.00022062626797011986,5.181040781584064e-16,7.986784262729125e-05
19,0.8454545454545455,0.8636363636363636,3,6.172865903253967e-05,8.008608544305746e-05,0.00012495361422285717,4.440892098500626e-16,6.172865903239164e-05
20,0.8636363636363636,0.8818181818181818,2,3.6212858340364373e-07,5.121271535798663e-07,7.242571662521759e-07,2.220446049250313e-16,3.621285831815991e-07
21,0.8818181818181818,0.8999999999999999,3,6.473007251545512e-05,9.429649721228524e-05,0.00015962737190266738,3.7007434154171886e-16,6.473007251508505e-05
22,0.8999999999999999,0.9181818181818182,3,6.280546530555347e-05,9.135132678719011e-05,0.00015456060301497713,2.9605947323337506e-16,6.280546530584953e-05
23,0.9181818181818182,0.9363636363636364,2,3.364400099564811e-07,4.757980247698808e-07,6.728800195798953e-07,7.771561172376096e-16,3.3644000929034727e-07
24,0.9363636363636364,0.9545454545454546,3,5.4824047618423286e-05,7.124101071933088e-05,0.00011139341987772937,4.440892098500626e-16,5.482404761827526e-05
25,0.9545454545454546,0.9727272727272728,3,6.682659683884195e-05,0.00010688413507780551,0.00018443188356841774,7.401486830834377e-16,6.682659683891598e-05
26,0.9727272727272728,0.990909090909091,2,2.8132384164904906e-06,3.978519922789862e-06,5.626476832980981e-06,0.0,2.8132384164904906e-06
27,0.990909090909091,1.009090909090909,3,4.926019463334739e-05,6.033143015820778e-05,7.410697826491699e-05,5.921189464667501e-16,4.926019463379148e-05
28,1.009090909090909,1.0272727272727271,2,2.684352984886739e-06,3.796248397423526e-06,5.368705969773478e-06,4.440892098500626e-16,2.684352984886739e-06
29,1.0272727272727271,1.0454545454545454,3,6.114524179289156e-05,9.787999780512466e-05,0.00016890966678279745,5.181040781584064e-16,6.114524179252148e-05
30,1.0454545454545454,1.0636363636363635,3,4.7256957672255736e-05,6.130948033587087e-05,9.565504408718794e-05,3.7007434154171886e-16,4.7256957672625815e-05
31,1.0636363636363635,1.0818181818181818,2,2.7731899069691874e-07,3.9218827774720065e-07,5.546379813938375e-07,3.3306690738754696e-16,2.7731899102998564e-07
32,1.0818181818181818,1.1,3,4.959182641262166e-05,7.224423262624218e-05,0.00012229711152084155,8.141635513917814e-16,4.959182641225158e-05
33,1.1,1.1181818181818182,3,4.8140281906821715e-05,7.002043526356182e-05,0.00011846998254361196,2.9605947323337506e-16,4.814028190696975e-05
34,1.1181818181818182,1.1363636363636362,2,2.5804514239139483e-07,3.649309399173978e-07,5.160902845607451e-07,4.440892098500626e-16,2.580451421693502e-07
35,1.1363636363636362,1.1545454545454543,4,6.735954888372159e-05,8.584259767318682e-05,0.00014319974672308625,6.106226635438361e-16,6.735954888388812e-05
36,1.1545454545454543,1.1727272727272728,3,5.133717087617964e-05,8.211040546960205e-05,0.00014168412614566292,3.7007434154171886e-16,5.133717087580956e-05
37,1.1727272727272728,1.190909090909091,2,2.1630429368837707e-06,3.0590046571793496e-06,4.326085873545497e-06,4.440892098500626e-16,2.1630429368837707e-06
38,1.190909090909091,1.209090909090909,3,3.7911933070575946e-05,4.643263675733427e-05,5.703108293953754e-05,2.9605947323337506e-16,3.7911933070575946e-05
39,1.209090909090909,1.2272727272727273,2,2.0680848635594657e-06,2.92471366187029e-06,4.136169726674842e-06,8.881784197001252e-16,2.068084864447644e-06
40,1.2272727272727273,1.2454545454545454,3,4.7155871549028516e-05,7.54851891321977e-05,0.00013026320484278448,7.401486830834377e-16,4.7155871549472605e-05
41,1.2454545454545454,1.2636363636363637,3,3.649430088312807e-05,4.734764140176955e-05,7.387446536733389e-05,1.1102230246251565e-15,3.6494300882906026e-05
42,1.2636363636363637,1.2818181818181815,2,2.1441179235963284e-07,3.032240646877167e-07,4.288235847192657e-07,4.440892098500626e-16,2.1441179191554363e-07
43,1.2818181818181815,1.2999999999999998,3,3.838766571790178e-05,5.5920576726833845e-05,9.466299495779901e-05,8.141635513917814e-16,3.838766571827185e-05
44,1.2999999999999998,1.318181818181818,3,3.732248636088741e-05,5.428763778058926e-05,9.185214810610454e-05,5.181040781584064e-16,3.732248636140551e-05
45,1.318181818181818,1.3363636363636364,3,1.931008969903774e-05,3.3215562851651476e-05,5.75296475657989e-05,2.9605947323337506e-16,1.9310089699333803e-05
46,1.3363636363636364,1.3545454545454545,3,3.2707940890322994e-05,4.250044294308276e-05,6.645042282038376e-05,4.440892098500626e-16,3.2707940890322994e-05
47,1.3545454545454545,1.3727272727272726,3,3.997205291439027e-05,6.393396754938249e-05,0.00011032033734305943,9.62193288008469e-16,3.997205291372414e-05
48,1.3727272727272726,1.3909090909090909,2,1.6863938322484806e-06,2.384921028597112e-06,3.3727876638308275e-06,1.1102230246251565e-16,1.6863938321374583e-06
49,1.3909090909090909,1.4090909090909092,3,2.960060962357572e-05,3.625332868426514e-05,4.452157241229427e-05,1.4802973661668753e-16,2.960060962357572e-05
50,1.4090909090909092,1.4272727272727272,2,1.6170847089555431e-06,2.2869031265970597e-06,3.234169417466997e-06,4.440892098500626e-16,1.6170847087334985e-06
51,1.4272727272727272,1.445454545454545,3,3.692228805700251e-05,5.910232425860808e-05,0.00010199139867481891,3.7007434154171886e-16,3.6922288056780465e-05
52,1.445454545454545,1.4636363636363636,3,2.8627682614977962e-05,3.714317224224784e-05,5.795646280174101e-05,5.181040781584064e-16,2.8627682615051976e-05
53,1.4636363636363636,1.481818181818182,2,1.6843998815551753e-07,2.3821011569549638e-07,3.3687997631103505e-07,1.1102230246251565e-16,1.6843998804449522e-07
54,1.481818181818182,1.5,4,4.924711922788802e-05,6.542982828356504e-05,0.00010638880828905354,7.216449660063518e-16,4.9247119227721484e-05
