region_id,constraint_order,constraint_name,A_Cao,B_Ca,B_Cb,B_Cc,b
0,0,reaction_linearized,1.0,-7.467110545707355,-2.2764401124919744,1.1487419956649154,-3.0111765291368093
0,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
1,0,reaction_linearized,1.0,-6.444172240706009,-2.880851007568165,1.1487419956649154,-3.496323192458461
1,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
2,0,reaction_linearized,1.0,-5.659507524792366,-3.4738012459805376,1.1487419956649154,-3.9003162285165827
2,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
3,0,reaction_linearized,1.0,-5.049456897553422,-4.049456897553423,1.1487419956649154,-4.238576400695001
3,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
4,0,reaction_linearized,1.0,-4.567561904877067,-4.605073286874007,1.1487419956649154,-4.524255778223297
4,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
5,0,reaction_linearized,1.0,-4.180607257770138,-5.139867516424917,1.1487419956649154,-4.767951097720092
5,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
6,0,reaction_linearized,1.0,-3.864940138836433,-5.654181789237235,1.1487419956649154,-4.977971298477138
6,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
