region_id,constraint_order,constraint_name,A_Cao,B_Ca,B_Cb,B_Cc,b
0,0,reaction_linearized,1.0,-8.041362216176324,-1.9964804168617616,1.1487419956649154,-2.755613109007527
0,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
1,0,reaction_linearized,1.0,-7.939326505889864,-2.0436742749713024,1.1487419956649154,-2.8002395425341557
1,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
2,0,reaction_linearized,1.0,-7.839450950664297,-2.0908880929185814,1.1487419956649154,-2.8442400915713386
2,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
3,0,reaction_linearized,1.0,-7.741688859977304,-2.138115260198776,1.1487419956649154,-2.887621791211947
3,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
4,0,reaction_linearized,1.0,-7.645994132894629,-2.185349336657994,1.1487419956649154,-2.930391811024027
4,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
5,0,reaction_linearized,1.0,-7.55232128335579,-2.2325840551815874,1.1487419956649154,-2.972557441104837
5,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
6,0,reaction_linearized,1.0,-7.460625463093471,-2.279813323820822,1.1487419956649154,-3.014126078498907
6,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
7,0,reaction_linearized,1.0,-7.37086248223791,-2.327031227382822,1.1487419956649154,-3.0551052140099717
7,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
8,0,reaction_linearized,1.0,-7.282988827666035,-2.374232028509929,1.1487419956649154,-3.095502419432454
8,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
9,0,reaction_linearized,1.0,-7.19696167915482,-2.4214101682797495,1.1487419956649154,-3.1353253352276425
9,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
10,0,reaction_linearized,1.0,-7.1127389234583935,-2.468560266328169,1.1487419956649154,-3.1745816586410154
10,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
11,0,reaction_linearized,1.0,-7.0302791662719395,-2.5156771205871036,1.1487419956649154,-3.213279132328399
11,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
12,0,reaction_linearized,1.0,-6.949541742320243,-2.562755706580335,1.1487419956649154,-3.2514255334299538
12,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
13,0,reaction_linearized,1.0,-6.87048672354081,-2.6097911763693564,1.1487419956649154,-3.2890286631532812
13,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
14,0,reaction_linearized,1.0,-6.793074925497367,-2.656778857151727,1.1487419956649154,-3.3260963368484546
14,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
15,0,reaction_linearized,1.0,-6.71726791210665,-2.70371424954372,1.1487419956649154,-3.3626363745801657
15,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
16,0,reaction_linearized,1.0,-6.643027998770276,-2.750593025574284,1.1487419956649154,-3.3986565921960725
16,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
17,0,reaction_linearized,1.0,-6.570318254003794,-2.797411026416595,1.1487419956649154,-3.4341647928880845
17,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
18,0,reaction_linearized,1.0,-6.499102499648452,-2.844164259886912,1.1487419956649154,-3.4691687592443756
18,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
19,0,reaction_linearized,1.0,-6.429345309794862,-2.8908488977100637,1.1487419956649154,-3.5036762457660884
19,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
20,0,reaction_linearized,1.0,-6.36101200841255,-2.9374612726383105,1.1487419956649154,-3.537694971887035
20,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
21,0,reaction_linearized,1.0,-6.294068665901558,-2.9839978753619603,1.1487419956649154,-3.5712326154230523
21,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
22,0,reaction_linearized,1.0,-6.228482094555544,-3.0304553512964048,1.1487419956649154,-3.6042968064868655
22,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
23,0,reaction_linearized,1.0,-6.1642198430587145,-3.076830497240659,1.1487419956649154,-3.636895121836843
23,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
24,0,reaction_linearized,1.0,-6.101250190090894,-3.12312025793088,1.1487419956649154,-3.6690350796493263
24,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
25,0,reaction_linearized,1.0,-6.039542137118782,-3.1693217225069694,1.1487419956649154,-3.700724134700339
25,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
26,0,reaction_linearized,1.0,-5.979065400448339,-3.2154321209091976,1.1487419956649154,-3.73196967394185
26,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
27,0,reaction_linearized,1.0,-5.9197904026048,-3.2614488202248726,1.1487419956649154,-3.7627790124602205
27,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
28,0,reaction_linearized,1.0,-5.8616882631406035,-3.307369320974885,1.1487419956649154,-3.793159389784674
28,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
29,0,reaction_linearized,1.0,-5.80473078885668,-3.3531912534159147,1.1487419956649154,-3.8231179665716475
29,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
30,0,reaction_linearized,1.0,-5.748890463605618,-3.3989123737880127,1.1487419956649154,-3.8526618215937765
30,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
31,0,reaction_linearized,1.0,-5.6941404376548945,-3.4445305605812804,1.1487419956649154,-3.8817979490594627
31,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
32,0,reaction_linearized,1.0,-5.640454516697475,-3.490043810807315,1.1487419956649154,-3.9105332562305817
32,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
33,0,reaction_linearized,1.0,-5.587807150556315,-3.5354502362892144,1.1487419956649154,-3.9388745613257328
33,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
34,0,reaction_linearized,1.0,-5.5361734216312275,-3.58074805997883,1.1487419956649154,-3.9668285916936648
34,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
35,0,reaction_linearized,1.0,-5.485529033133671,-3.625935612309134,1.1487419956649154,-3.994401982241997
35,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
36,0,reaction_linearized,1.0,-5.435850297147261,-3.671011327592782,1.1487419956649154,-4.021601274108986
36,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
37,0,reaction_linearized,1.0,-5.387114122580093,-3.71597374044882,1.1487419956649154,-4.048432913549492
37,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
38,0,reaction_linearized,1.0,-5.339298002978446,-3.7608214823238932,1.1487419956649154,-4.074903251057918
38,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
39,0,reaction_linearized,1.0,-5.2923800043250475,-3.805553278031699,1.1487419956649154,-4.101018540665813
39,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
40,0,reaction_linearized,1.0,-5.246338752785605,-3.8501679423757507,1.1487419956649154,-4.126784939437915
40,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
41,0,reaction_linearized,1.0,-5.201153422459179,-3.8946643768347573,1.1487419956649154,-4.152208507139505
41,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
42,0,reaction_linearized,1.0,-5.156803723153947,-3.93904156631774,1.1487419956649154,-4.177295206065503
42,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
43,0,reaction_linearized,1.0,-5.113269888212148,-3.9832985759914474,1.1487419956649154,-4.202050901019801
43,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
44,0,reaction_linearized,1.0,-5.070532662405892,-4.027434548182193,1.1487419956649154,-4.226481359433925
44,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
45,0,reaction_linearized,1.0,-5.028573289919601,-4.0714486993577,1.1487419956649154,-4.250592251616575
45,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
46,0,reaction_linearized,1.0,-4.987373502459299,-4.115340317166489,1.1487419956649154,-4.274389151111164
46,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
47,0,reaction_linearized,1.0,-4.946915507448079,-4.159108757595144,1.1487419956649154,-4.297877535184313
47,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
48,0,reaction_linearized,1.0,-4.907181976397384,-4.202753442164702,1.1487419956649154,-4.321062785392787
48,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
49,0,reaction_linearized,1.0,-4.86815603340981,-4.246273855226002,1.1487419956649154,-4.343950188253053
49,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
50,0,reaction_linearized,1.0,-4.829821243847275,-4.289669541330116,1.1487419956649154,-4.366544935992173
50,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
51,0,reaction_linearized,1.0,-4.7921616031703635,-4.33294010267764,1.1487419956649154,-4.388852127374649
51,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
52,0,reaction_linearized,1.0,-4.755161525957208,-4.376085196646344,1.1487419956649154,-4.410876768597906
52,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
53,0,reaction_linearized,1.0,-4.718805835109068,-4.419104533396549,1.1487419956649154,-4.432623774249717
53,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
54,0,reaction_linearized,1.0,-4.68307975124546,-4.461997873557231,1.1487419956649154,-4.454097968322987
54,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
55,0,reaction_linearized,1.0,-4.647968882313059,-4.504765025968776,1.1487419956649154,-4.475304085270467
55,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
56,0,reaction_linearized,1.0,-4.6134592133643535,-4.5474058455390605,1.1487419956649154,-4.496246771122557
56,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
57,0,reaction_linearized,1.0,-4.579537096573608,-4.589920231134527,1.1487419956649154,-4.516930584624434
57,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
58,0,reaction_linearized,1.0,-4.546189241444149,-4.632308123562748,1.1487419956649154,-4.537359998416481
58,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
59,0,reaction_linearized,1.0,-4.513402705228122,-4.674569503621958,1.1487419956649154,-4.557539400241887
59,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
60,0,reaction_linearized,1.0,-4.481164883556533,-4.716704390219884,1.1487419956649154,-4.577473094179036
60,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
61,0,reaction_linearized,1.0,-4.449463501279945,-4.758712838560328,1.1487419956649154,-4.597165301894677
61,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
62,0,reaction_linearized,1.0,-4.418286603519832,-4.800594938395953,1.1487419956649154,-4.616620163914266
62,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
63,0,reaction_linearized,1.0,-4.3876225469271475,-4.842350812349307,1.1487419956649154,-4.6358417409076145
63,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
64,0,reaction_linearized,1.0,-4.357459991163657,-4.883980614277992,1.1487419956649154,-4.6548340149765135
64,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
65,0,reaction_linearized,1.0,-4.327787890563206,-4.925484527738566,1.1487419956649154,-4.673600890967117
65,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
66,0,reaction_linearized,1.0,-4.298595486026411,-4.96686276447238,1.1487419956649154,-4.692146197769927
66,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
67,0,reaction_linearized,1.0,-4.269872297105103,-5.008115562967995,1.1487419956649154,-4.7104736896307475
67,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
68,0,reaction_linearized,1.0,-4.241608114290825,-5.04924318707598,1.1487419956649154,-4.728587047460026
68,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
69,0,reaction_linearized,1.0,-4.213792991501959,-5.090245924678118,1.1487419956649154,-4.746489880140135
69,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
70,0,reaction_linearized,1.0,-4.186417238766612,-5.13112408640935,1.1487419956649154,-4.76418572582866
70,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
