Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00017,12.292264014016837,1e-05,16.042190345935524
2,0.0002,12.279031174024567,3e-05,15.961944653885439
3,1e-05,12.373142639175057,6e-05,16.03924523293972
4,1e-05,12.404540000949055,0.0001,15.983241504058242
5,5e-05,12.370735937962309,0.0,16.160801930120215
6,4e-05,12.415321405045688,4e-05,16.169319035019726
7,0.00025,12.33276180899702,4e-05,16.042786397971213
8,0.00019,12.340319877956063,1e-05,16.369689610088244
9,0.00026,12.290967497974634,4e-05,16.041237412020564
10,4e-05,12.459384011104703,2e-05,16.03664841200225
11,3e-05,12.912287757964805,3e-05,16.043956085806713
12,4e-05,12.735160528915003,2e-05,16.527125781867653
13,0.00015,12.432018890045583,3e-05,16.06411612709053
14,4e-05,12.467969971010461,3e-05,16.043240278959274
15,0.00022,12.373691144865006,0.00022,16.02224442292936
16,7e-05,12.520359703106806,3e-05,16.110651046968997
17,0.00024,12.36814666702412,1e-05,16.09490384091623
18,8e-05,12.429338614922017,1e-05,16.121614827075973
19,8e-05,12.46784896007739,1e-05,15.955770867876709
20,5e-05,12.402756919851527,2e-05,16.0679370299913
21,0.00021,12.404924336122349,4e-05,16.265429645078257
22,0.0001,12.303250463912264,1e-05,16.16213199403137
23,0.00027,12.403043221216649,0.0,16.004321963060647
24,3e-05,12.482520904159173,0.0,16.127463333075866
25,8e-05,12.379697746830061,1e-05,16.132285409839824
26,3e-05,12.481302064843476,2e-05,16.079160742927343
27,0.0001,12.423889905912802,6e-05,16.054154436104
28,1e-05,12.364954781951383,1e-05,16.294671026989818
29,0.00022,12.347944206092507,5e-05,16.07037956896238
30,0.00024,12.698437236947939,1e-05,16.131358039099723
31,0.00016,12.377926777116954,8e-05,16.022587521001697
32,0.00027,12.397541441954672,0.00018,16.22082143998705
33,0.00011,12.424105898942798,6e-05,16.099705330096185
34,0.00013,12.36293571908027,1e-05,16.060286635998636
35,0.00015,12.34898831602186,1e-05,16.202476306119934
36,6e-05,12.457106404937804,2e-05,16.055029061157256
37,0.00028,12.39633582602255,1e-05,16.102215056074783
38,4e-05,12.30163474008441,2e-05,16.0889476549346
39,0.00014,12.370139547158033,1e-05,16.099724625004455
40,5e-05,12.4571490411181,6e-05,16.02426950680092
41,4e-05,12.399734419072047,1e-05,16.450221687089652
42,0.00012,12.357798621989787,0.00014,15.922145664924756
43,3e-05,12.403147784993052,4e-05,16.115151320118457
44,0.00013,12.423120197840035,0.0,16.027546330122277
45,2e-05,12.339027204085141,3e-05,16.088998876977712
46,0.00013,12.321991965873167,4e-05,16.057044483954087
47,0.00016,12.316441267030314,9e-05,16.01557708485052
48,5e-05,12.424548777053133,4e-05,16.12223259313032
49,0.00013,12.41892474796623,0.00014,15.923984602093697
50,0.00012,12.32967168604955,3e-05,16.120714058866724
