Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,6e-05,10.824700404889882,0.00061,11.30015091993846
2,0.00026,10.967651762999594,0.00061,11.281860423041508
3,0.00013,11.100529344053939,0.00062,11.270139766158536
4,5e-05,11.231681281933561,0.00061,11.283188282046467
5,0.00025,10.875965410843492,0.00062,11.338489436078817
6,9e-05,10.941061256919056,0.00061,11.307479853043333
7,3e-05,10.943314590025693,0.0006,11.268746054032817
8,0.00022,10.780223226174712,0.00061,11.369122744072229
9,0.00023,10.813263445161283,0.0006,11.289052641950548
10,0.00025,10.89391753822565,0.00065,11.196900320006534
11,0.00012,11.153244344051927,0.00062,11.280327991815284
12,3e-05,11.185664954828098,0.00062,11.26394270779565
13,3e-05,10.924765676027164,0.0006,11.200525153195485
14,5e-05,10.890655760187656,0.00061,11.185738802189007
15,0.00011,10.877946841996163,0.00064,11.290104405023158
16,3e-05,11.034832811914384,0.00061,11.358065888984129
17,0.00016,10.890712074935436,0.0006,11.315220226999372
18,0.00014,10.950686576776206,0.00061,11.249168064910918
19,0.00012,10.837863794062287,0.00063,11.282486940966919
20,1e-05,10.856066541047767,0.00062,11.266096549108624
21,0.00026,10.83308577304706,0.00059,11.300284167053178
22,3e-05,10.937395910965279,0.0006,11.283555787988007
23,3e-05,10.859282350866124,0.00064,11.32921091793105
24,0.00023,10.844669840997085,0.00059,11.333234942052513
25,4e-05,11.241775071946904,0.0006,11.216356073040515
26,5e-05,10.926863599102944,0.00063,11.368371651973575
27,9e-05,10.868237402988598,0.00063,11.242193256970495
28,0.0,10.93664614111185,0.00058,11.297093610977754
29,0.00011,10.841397397918627,0.0006,11.276882532984018
30,0.00012,10.864593481877819,0.00062,11.251140675041825
31,3e-05,10.845510229002684,0.00062,11.367207610979676
32,1e-05,10.908427302958444,0.0006,11.294351195916533
33,0.00024,10.92166710505262,0.00065,11.47091667400673
34,0.00018,10.835072078043595,0.00064,11.301998494192958
35,0.00024,10.926548848859966,0.0006,11.339328554924577
36,7e-05,10.899867488071322,0.00062,11.273602499160916
37,0.0002,10.803331229835749,0.00062,11.523203880060464
38,2e-05,10.90104734711349,0.00061,11.469294708920643
39,3e-05,10.943733466090634,0.00061,11.537968304008245
40,8e-05,10.870039160130545,0.00065,11.353671116987243
41,0.00015,10.861662364099175,0.00063,11.33036585804075
42,0.00011,10.816785380011424,0.00063,11.37941520405002
43,3e-05,10.950437236111611,0.00061,11.552627108991146
44,2e-05,10.883344926172867,0.00063,11.278718009823933
45,0.00023,10.848971976200119,0.00059,11.338563957018778
46,0.00017,10.842072301078588,0.00059,11.40056783799082
47,3e-05,10.890975585905835,0.00059,11.388146213022992
48,0.00012,10.80327158793807,0.00063,11.291970863007009
49,3e-05,10.970521324081346,0.00063,11.42280636401847
50,0.00023,10.797689897939563,0.00062,11.259863845072687
