Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00038,12.037919659051113,5e-05,19.46376567601692
2,0.00042,12.01427911198698,6e-05,18.994791775010526
3,0.00067,11.993769019958563,2e-05,18.926862527965568
4,0.00021,11.970777263049968,8e-05,19.021693594986573
5,0.00011,11.97424281493295,3e-05,19.34871920896694
6,0.00026,11.989637173945084,5e-05,18.613752559991553
7,0.00023,11.967948862933554,1e-05,19.462653348920867
8,0.00033,12.07334922393784,3e-05,19.284539330052212
9,0.0003,12.130196455982514,2e-05,19.797796508995816
10,0.00016,11.963594543049112,4e-05,19.329551227972843
11,0.00023,11.916638000984676,3e-05,19.08077698003035
12,0.00028,12.001798575976864,5e-05,19.173133288044482
13,0.00027,11.885061993030831,3e-05,19.225970354047604
14,0.00027,12.001316526904702,3e-05,19.355162339052185
15,0.00039,11.976096390048042,4e-05,19.590087844990194
16,0.00026,12.50628054398112,4e-05,19.143912596977316
17,0.00045,12.035208426066674,4e-05,19.25302140705753
18,0.00029,11.950105658033863,5e-05,19.759033182053827
19,0.00034,12.021944363950752,5e-05,18.967165494919755
20,0.00041,12.016865493962541,5e-05,19.446517606033012
21,0.00014,11.92301743698772,3e-05,19.114066073088907
22,0.00033,11.961801821016707,3e-05,18.921682328917086
23,0.00025,12.02177233400289,4e-05,19.24316141405143
24,0.00038,12.370192144066095,3e-05,19.265761645976454
25,0.00388,11.954203786095604,4e-05,18.636103105032817
26,0.00026,12.003457549959421,3e-05,19.5452453129692
27,0.00656,11.954110493068583,5e-05,19.226842785952613
28,0.00026,11.942326730000786,3e-05,19.223479337990284
29,0.00025,12.314791932934895,3e-05,19.525479674106464
30,0.00019,12.035494734998792,5e-05,18.521598706953228
31,0.0016,11.953854100080207,3e-05,18.734041777905077
32,0.00036,11.858624442014843,3e-05,19.20471127005294
33,0.00059,11.949031522031873,5e-05,19.645803755964153
34,0.00028,11.958107008016668,4e-05,18.636475659091957
35,0.00042,11.967156525002792,4e-05,19.448412092984654
36,0.00043,11.983323912019841,2e-05,19.020893482957035
37,0.00034,12.277630908996798,2e-05,20.13628161197994
38,0.01074,11.92289549706038,2e-05,19.179488172987476
39,0.00029,12.021206213976257,2e-05,19.11552752694115
40,0.00018,12.010265870951116,7e-05,19.56737941596657
41,0.00247,12.268004138953984,2e-05,19.214775923988782
42,0.00032,12.27833732997533,4e-05,19.20229378703516
43,0.00045,11.968516048975289,2e-05,19.144071034970693
44,0.00039,12.340705545037054,6e-05,19.12789885897655
45,0.00028,12.128071706974879,3e-05,19.447832389036193
46,0.00026,11.903424971038476,4e-05,18.81282220594585
47,0.00057,12.031606495962478,4e-05,18.7995032829931
48,0.0003,12.037602043012157,2e-05,19.469959738082252
49,0.00026,11.984080638037995,5e-05,19.35634438705165
50,0.00021,12.190506177954376,4e-05,18.60930884804111
