Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00848,12.391666000010446,3e-05,19.858439665054902
2,0.00027,12.366719496902078,3e-05,19.757026320090517
3,0.00023,12.277954424032941,5e-05,19.92742283619009
4,0.00023,12.281882610870525,5e-05,20.936138287885115
5,0.00021,12.241734649986029,4e-05,20.153554017888382
6,0.00021,12.275883320951834,4e-05,19.79585698293522
7,0.00245,12.796930124983191,6e-05,19.990534658078104
8,0.00024,12.296830320032313,4e-05,20.530963090015575
9,0.00055,12.577931378036737,5e-05,19.72406699717976
10,0.00162,12.311135007999837,4e-05,19.600726569071412
11,0.00027,12.289191571064293,4e-05,20.298146463930607
12,0.00206,12.328217396978289,4e-05,19.770412079058588
13,0.00031,12.443896328099072,4e-05,20.128183227963746
14,0.00014,12.379523714073002,3e-05,20.0604843380861
15,0.00026,12.332212879089639,3e-05,20.1703373468481
16,0.0002,12.335447208024561,4e-05,19.933058922877535
17,0.00021,13.156199040822685,5e-05,20.47212408389896
18,0.00092,12.310738218948245,4e-05,19.56567001598887
19,0.00023,12.268260350916535,3e-05,19.975877197925
20,0.00029,12.475737340049818,4e-05,19.234845927916467
21,0.00043,12.315406028879806,5e-05,18.846004772931337
22,0.00069,12.359021003823727,4e-05,19.628680543974042
23,0.00018,13.032947981962934,4e-05,18.979842924978584
24,0.00025,12.29395526391454,2e-05,19.42166647617705
25,0.00024,12.453463847050443,1e-05,18.81477662199177
26,0.00025,12.262281822972,4e-05,19.349565654993057
27,0.00031,12.314237284008414,4e-05,19.27417336194776
28,0.00025,12.368007734185085,5e-05,19.19588378397748
29,0.0005,12.304090420017019,4e-05,19.021328115137294
30,0.00015,12.278938916977495,4e-05,19.138725712895393
31,0.00032,12.358592914883047,4e-05,18.96274238382466
32,0.00166,12.374875626992434,3e-05,19.49318091897294
33,0.0006,12.638113436987624,4e-05,18.910294943023473
34,0.00066,12.453432456823066,6e-05,18.89923704811372
35,0.00024,12.308136193081737,9e-05,19.775861165951937
36,0.00069,12.909790116129443,4e-05,19.094093621941283
37,0.00022,13.005861089099199,3e-05,19.605026020901278
38,0.00262,12.298478501848876,3e-05,18.6370715550147
39,0.00016,12.210270655108616,6e-05,18.89571934286505
40,0.00011,12.269816624000669,4e-05,18.736719618085772
41,9e-05,12.333816207014024,5e-05,19.634929770138115
42,0.00015,12.277731101959944,3e-05,18.60051961685531
43,0.00028,12.259172765072435,3e-05,19.141221625963226
44,0.00032,12.349353472935036,4e-05,19.25999281089753
45,0.00142,12.28661116398871,4e-05,19.201819549081847
46,0.00023,12.338373999809846,3e-05,19.20343706617132
47,0.00022,12.254816352855414,8e-05,19.136773865204304
48,0.0046,12.83733728993684,1e-05,18.793583258986473
49,0.00024,12.336374985054135,6e-05,19.191967488033697
50,0.00037,12.368771645938978,4e-05,19.189664331031963
