region_id,A_Cao,B_Ca,B_Cb,B_Cc,b
0,2.148741995664915,-9.088068501554776,-3.19241627063622,0.0,-5.097723533863989
1,2.148741995664915,-8.794736128559544,-3.3340913323229096,0.0,-5.227875802353858
2,2.148741995664915,-8.519604477902824,-3.475773223047738,0.0,-5.352589205339802
3,2.148741995664915,-8.261480919123308,-3.6173022619930846,0.0,-5.472065649970846
4,2.148741995664915,-8.019228719205724,-3.758533172034272,0.0,-5.586512654483112
5,2.148741995664915,-7.7917699944351915,-3.8993350212391986,0.0,-5.696140583525903
6,2.148741995664915,-7.5780873054597775,-4.039590893374981,0.0,-5.801160237095921
7,2.148741995664915,-7.3772240902204596,-4.17919734696132,0.0,-5.901780797816696
8,2.148741995664915,-7.188284132783697,-4.318063718171885,0.0,-5.998208126030169
9,2.148741995664915,-7.0104302588055205,-4.4561113166398005,0.0,-6.090643381114505
10,2.148741995664915,-6.842882433319806,-4.593272556246196,0.0,-6.179281940389291
11,2.148741995664915,-6.684915417296143,-4.729490055643746,0.0,-6.264312583023496
12,2.148741995664915,-6.535856118245008,-4.8647157361137365,0.0,-6.345916904879324
13,2.148741995664915,-6.39508074845052,-4.998909938040666,0.0,-6.424268930767745
14,2.148741995664915,-6.262011883877063,-5.132040571656364,0.0,-6.499534892349633
15,2.148741995664915,-6.136115498124214,-5.2640823128314045,0.0,-6.571873142440995
16,2.148741995664915,-6.016898029074725,-5.395015850890918,0.0,-6.641434179582884
17,2.148741995664915,-5.903903521622123,-5.5248271923112595,0.0,-6.708360759927737
18,2.148741995664915,-5.79671087797797,-5.653507021633689,0.0,-6.772788076600293
19,2.148741995664915,-5.694931237109062,-5.781050119227663,0.0,-6.834843989746309
20,2.148741995664915,-5.598205496944862,-5.907454834225244,0.0,-6.894649293224509
21,2.148741995664915,-5.5062019868285725,-6.032722609942908,0.0,-6.952318006306346
22,2.148741995664915,-5.418614292770016,-6.156857558632908,0.0,-7.007957680960574
23,2.148741995664915,-5.335159234431526,-6.279866082074263,0.0,-7.061669717158487
24,2.148741995664915,-5.255574990183043,-6.401756534271173,0.0,-7.1135496801771785
25,2.148741995664915,-5.17961936460201,-6.522538922625658,0.0,-7.163687615260329
26,2.148741995664915,-5.107068191539393,-6.642224644043448,0.0,-7.212168356101067
27,2.148741995664915,-5.037713865155123,-6.76082625249545,0.0,-7.2590718244834616
28,2.148741995664915,-4.97136399085081,-6.878357254860165,0.0,-7.304473319205575
29,2.148741995664915,-4.907840147905304,-6.994831932097675,0.0,-7.348443793002865
