region_id,A_Cao,B_Ca,B_Cb,B_Cc,b
0,2.148741995664915,-9.08806850155478,-3.192416270636219,0.0,-5.097723533863988
1,2.148741995664915,-8.794736128559544,-3.3340913323229096,0.0,-5.227875802353858
2,2.148741995664915,-8.519604477902828,-3.475773223047738,0.0,-5.352589205339803
3,2.148741995664915,-8.261480919123308,-3.6173022619930846,0.0,-5.4720656499708475
4,2.148741995664915,-8.019228719205724,-3.758533172034272,0.0,-5.586512654483112
5,2.148741995664915,-7.7917699944351915,-3.8993350212391986,0.0,-5.696140583525903
6,2.148741995664915,-7.5780873054597775,-4.039590893374981,0.0,-5.801160237095921
7,2.148741995664915,-7.3772240902204596,-4.17919734696132,0.0,-5.901780797816696
8,2.148741995664915,-7.188284132783697,-4.318063718171886,0.0,-5.998208126030171
9,2.148741995664915,-7.010430258805519,-4.456111316639801,0.0,-6.090643381114505
10,2.148741995664915,-6.84288243331981,-4.593272556246196,0.0,-6.179281940389293
11,2.148741995664915,-6.684915417296143,-4.729490055643747,0.0,-6.2643125830234965
12,2.148741995664915,-6.535856118245008,-4.864715736113735,0.0,-6.3459169048793225
13,2.148741995664915,-6.39508074845052,-4.998909938040666,0.0,-6.424268930767746
14,2.148741995664915,-6.262011883877063,-5.132040571656363,0.0,-6.499534892349631
15,2.148741995664915,-6.136115498124214,-5.264082312831406,0.0,-6.571873142440998
16,2.148741995664915,-6.016898029074725,-5.395015850890918,0.0,-6.641434179582884
17,2.148741995664915,-5.903903521622123,-5.5248271923112595,0.0,-6.708360759927737
18,2.148741995664915,-5.796710877977972,-5.653507021633692,0.0,-6.772788076600296
19,2.148741995664915,-5.6949312371090635,-5.781050119227663,0.0,-6.834843989746311
20,2.148741995664915,-5.5982054969448605,-5.907454834225243,0.0,-6.894649293224507
21,2.148741995664915,-5.5062019868285725,-6.0327226099429065,0.0,-6.952318006306344
22,2.148741995664915,-5.418614292770016,-6.156857558632908,0.0,-7.007957680960574
23,2.148741995664915,-5.335159234431526,-6.279866082074265,0.0,-7.061669717158489
24,2.148741995664915,-5.255574990183043,-6.401756534271172,0.0,-7.113549680177178
25,2.148741995664915,-5.17961936460201,-6.522538922625658,0.0,-7.163687615260329
26,2.148741995664915,-5.107068191539394,-6.642224644043448,0.0,-7.212168356101069
27,2.148741995664915,-5.037713865155122,-6.760826252495449,0.0,-7.25907182448346
28,2.148741995664915,-4.97136399085081,-6.878357254860164,0.0,-7.304473319205574
29,2.148741995664915,-4.907840147905304,-6.994831932097675,0.0,-7.348443793002865
