Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00027,15.901169583201408,0.0,34.20113600324839
2,0.0,16.034023807384074,1e-05,33.645782394334674
3,2e-05,16.026717237196863,1e-05,33.98467899765819
4,2e-05,16.02811377029866,4e-05,34.06649362668395
5,2e-05,16.19047128316015,1e-05,34.044860107824206
6,1e-05,15.94164532981813,1e-05,34.05693879723549
7,1e-05,16.05764030944556,0.00017,33.53317216318101
8,5e-05,16.3715882897377,1e-05,34.43824946414679
9,7e-05,16.222877929918468,1e-05,33.76198376622051
10,2e-05,16.28886008542031,1e-05,34.28716039005667
11,0.00027,16.050545779056847,4e-05,33.90636559296399
12,3e-05,16.096798178739846,1e-05,34.07460489496589
13,1e-05,16.2457420155406,7e-05,34.108967520296574
14,0.00028,16.06124573852867,0.0,33.67289800290018
15,0.00015,16.09798503294587,1e-05,33.956205814145505
16,4e-05,16.074971104040742,1e-05,33.63513137213886
17,1e-05,16.160924073308706,8e-05,33.65242378693074
18,2e-05,16.301222355104983,5e-05,33.74106484930962
19,1e-05,16.428552782163024,0.0,33.55363090150058
20,1e-05,16.135900508612394,8e-05,33.40994293242693
21,3e-05,16.75920034851879,1e-05,34.0333414953202
22,0.00028,16.413987743668258,1e-05,34.023460858501494
23,1e-05,16.494382612407207,2e-05,33.76229448337108
24,0.00025,16.3899357477203,0.0,34.60991396009922
25,1e-05,16.454312759451568,1e-05,34.06517524830997
26,1e-05,16.466038953512907,3e-05,33.95730598177761
27,0.0001,16.336456519551575,0.0,33.67456531524658
28,0.0,16.450124283321202,0.0,34.0050895344466
29,0.00015,16.65092101600021,1e-05,34.01310709118843
30,2e-05,16.212330732494593,4e-05,33.92579986900091
31,1e-05,16.00623106211424,2e-05,33.4267110247165
32,0.00021,16.432336354628205,1e-05,34.41815350204706
33,0.00024,16.20051166880876,1e-05,33.59649107977748
34,4e-05,16.324592364020646,3e-05,34.03000992629677
35,0.00015,16.17262578010559,4e-05,34.04229771532118
36,2e-05,16.382705142721534,2e-05,33.90077179670334
37,1e-05,16.168786447495222,4e-05,33.64405595418066
38,2e-05,16.188904268667102,0.0,34.36296915728599
39,7e-05,16.43494237586856,5e-05,33.601312884129584
40,1e-05,16.083873755298555,1e-05,33.77631169836968
41,2e-05,16.027174048125744,0.0,33.850504404865205
42,0.0002,16.0023889914155,1e-05,33.99591641779989
43,6e-05,16.16455152258277,1e-05,34.852913696318865
44,0.0,16.44120742753148,2e-05,33.72748207766563
45,9e-05,16.61290029808879,0.00012,33.77311543375254
46,1e-05,16.44347283616662,1e-05,33.73482322040945
47,1e-05,16.218099826946855,1e-05,33.79370319377631
48,2e-05,16.246596857905388,1e-05,33.8885848345235
49,0.0,16.096228172071278,1e-05,33.90941238310188
50,2e-05,16.263295876793563,1e-05,34.02823796123266
