Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.0005,9.426123977638781,9e-05,17.770729965530336
2,0.00038,9.442480998113751,0.0001,17.172884261235595
3,0.00232,9.450027829036117,0.00014,17.308457423001528
4,0.00026,9.496472570113838,0.00021,17.38538235332817
5,0.00502,9.552538581192493,0.00015,16.9954950530082
6,0.00181,10.519502766430378,0.00017,17.282955788075924
7,0.00033,9.462263929657638,0.00017,17.370524900965393
8,0.0003,9.494606774300337,0.00013,16.952636390924454
9,0.0003,9.570228945463896,6e-05,17.307152747176588
10,0.00049,9.456476412713528,0.00013,17.401041271165013
11,0.00029,9.47309192083776,0.00019,17.445695864968002
12,0.00033,9.453835571184754,0.00012,17.135269987396896
13,0.00024,9.401841171085835,0.00071,17.357193060219288
14,0.00019,9.428560269065201,0.00026,18.116994054056704
15,0.00024,9.472128552384675,0.00019,17.459588864818215
16,0.00027,9.477024740539491,0.00022,17.5823048138991
17,0.00024,9.528682365082204,0.00025,17.60669371392578
18,0.0003,9.566730199381709,0.00028,17.503984990529716
19,0.0003,9.951302071101964,6e-05,17.61517859995365
20,0.00226,9.442007116042078,5e-05,17.638166146352887
21,0.00018,9.756264726631343,0.00019,17.199375092051923
22,0.00333,9.389760793186724,0.00013,17.434278779663146
23,0.0003,9.511255722492933,0.00019,17.372517532669008
24,0.00061,9.664508026093245,0.00011,17.0054071508348
25,0.0005,9.49598432611674,0.00032,17.474349070340395
26,0.00081,9.442662096582353,0.00017,16.976451450027525
27,0.00029,9.434552594088018,8e-05,17.416237370111048
28,0.00012,9.502686425112188,0.00033,17.374158379621804
29,0.00027,9.700285537168384,0.00011,17.007853307761252
30,0.00021,9.394029529765248,0.00018,17.235564987175167
31,0.00024,9.435965895652771,0.00012,17.316666920669377
32,0.00037,9.494475664570928,0.0002,17.70912393089384
33,0.0003,9.397831254638731,0.00021,17.45200558193028
34,0.00024,9.769997889176011,9e-05,16.960446471348405
35,0.00028,9.400313766673207,0.00016,17.9010751536116
36,0.00022,9.463385393843055,0.00035,17.519835620187223
37,0.00014,9.430151227861643,0.00033,17.37665298394859
38,0.00031,9.377358549274504,4e-05,17.17978434637189
39,0.00036,9.40334074664861,0.00018,17.8340361174196
40,0.00025,9.438848528079689,8e-05,16.89417694788426
41,0.00027,9.421418973244727,0.00019,17.485157997347414
42,0.00033,9.756893997080624,0.00019,16.891531463712454
43,0.00034,9.386434031650424,0.00027,17.361851046793163
44,0.00039,9.45741198118776,5e-05,17.291604463011026
45,0.00034,9.438779339194298,0.00015,17.37464711908251
46,0.00029,9.331005121581256,9e-05,17.180253634229302
47,0.00042,9.703606496565044,0.00018,17.35045533441007
48,0.00025,9.431548609398305,0.00013,17.467968329787254
49,0.00035,9.472265580669045,0.00013,17.319710824638605
50,0.00034,9.490272167138755,0.00022,17.597326677292585
