region_id,C_low,C_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual
0,0.5,0.5333333333333333,28,0.01466363217612876,0.016737404007294256,0.02670651128776348,5.392511833893617e-16,0.014663632176128514
1,0.5333333333333333,0.5666666666666667,26,0.0108500828081113,0.013123040492701712,0.02545192153914009,4.099285014000578e-16,0.010850082808111198
2,0.5666666666666667,0.6,27,0.012267156892620479,0.014197621473556703,0.022760949923535147,6.250144434926807e-16,0.012267156892620593
3,0.6,0.6333333333333333,28,0.014064101016497141,0.016123549534514912,0.023503222384094094,4.123685520036296e-16,0.014064101016497013
4,0.6333333333333333,0.6666666666666666,26,0.011100923866313277,0.013218395732561493,0.02093661055612737,4.611695640750651e-16,0.011100923866313148
5,0.6666666666666666,0.7,27,0.00986347801897585,0.01160781150021056,0.019996963310076027,3.4540271877227093e-16,0.009863478018975793
6,0.7,0.7333333333333334,28,0.011282756635668148,0.012987671669816146,0.020666117777279454,4.202987164652378e-16,0.011282756635668235
7,0.7333333333333334,0.7666666666666666,26,0.009780767024010787,0.011538623078032365,0.019063121730315026,7.002945232250987e-16,0.009780767024010583
8,0.7666666666666666,0.8,27,0.010088517501748493,0.011505872798437431,0.017591474204552357,5.592234494408196e-16,0.010088517501748526
9,0.8,0.8333333333333333,28,0.00860419039538078,0.010408238514535935,0.018197529169516884,3.7271772969558827e-16,0.008604190395380724
10,0.8333333333333333,0.8666666666666667,26,0.008067202702704435,0.00933163439249221,0.017236901047665898,4.697097411875662e-16,0.008067202702704581
11,0.8666666666666667,0.9,27,0.00805499220859903,0.009793289385180133,0.01611545550630239,3.7007434154171886e-16,0.008054992208599024
12,0.9,0.9333333333333332,28,0.007723767819366918,0.009169404149678812,0.016072930200622823,4.758098676964956e-16,0.00772376781936676
13,0.9333333333333332,0.9666666666666668,26,0.00699567030543416,0.00826193086785712,0.015179947693812139,7.173748774501012e-16,0.006995670305434142
14,0.9666666666666668,1.0,27,0.0071521123400400954,0.00828240182638611,0.014079028615495343,5.181040781584064e-16,0.00715211234003989
15,1.0,1.0333333333333332,28,0.007313897690116274,0.008374387905460143,0.014254746961216903,7.057846370831352e-16,0.007313897690115964
16,1.0333333333333332,1.0666666666666669,26,0.007445614561712144,0.008479301993113567,0.013447023165532042,6.746739918875951e-16,0.007445614561712341
17,1.0666666666666669,1.1,27,0.0047694889369067975,0.005917590705703028,0.012424575395769858,8.223874256482641e-16,0.004769488936906568
18,1.1,1.1333333333333333,28,0.006503463685224856,0.007480532109067904,0.012701680021684987,7.216449660063518e-16,0.006503463685224816
19,1.1333333333333333,1.1666666666666663,26,0.00358831544532909,0.004421328486568897,0.011875818777610077,5.209508038625735e-16,0.0035883154453289446
20,1.1666666666666663,1.2,27,0.006110022531699722,0.007246424062207431,0.011102596465399309,6.908054375445419e-16,0.0061100225316998704
21,1.2,1.2333333333333334,28,0.005193327945064445,0.006135994169514471,0.0113740077595158,5.15460690004537e-16,0.005193327945064453
22,1.2333333333333334,1.2666666666666666,26,0.004708373789513494,0.00546374038729634,0.009756858650360248,7.429954087876048e-16,0.004708373789513536
23,1.2666666666666666,1.3,27,0.004575033717618184,0.005464300148789372,0.009852251314587234,6.579099405186112e-16,0.004575033717618381
24,1.3,1.3333333333333337,28,0.004675534000356507,0.005429481352095846,0.010236085460017717,4.837400321581039e-16,0.0046755340003567045
25,1.3333333333333337,1.3666666666666667,26,0.004590212868316743,0.005197990363108685,0.008757309545660858,6.319731063250891e-16,0.004590212868316675
26,1.3666666666666667,1.4,27,0.005013959482422982,0.005918127037334929,0.008983916890869678,2.9605947323337506e-16,0.005013959482422818
27,1.4,1.4333333333333331,28,0.004465515893196696,0.005237423263749755,0.009257163404019306,3.4099707184915524e-16,0.004465515893196705
28,1.4333333333333331,1.4666666666666668,26,0.0043137378267460065,0.005072882088683964,0.008154833170814314,4.270088556250602e-16,0.004313737826746074
29,1.4666666666666668,1.5,28,0.0044756207363784665,0.005231558996527789,0.008679894197327231,4.202987164652378e-16,0.004475620736378332
