region_id,constraint_order,constraint_name,A_Cao,B_Ca,B_Cb,B_Cc,b
0,0,reaction_linearized,1.0,-7.939326505889864,-2.0436742749713024,1.1487419956649154,-2.8002395425341557
0,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
1,0,reaction_linearized,1.0,-7.645994132894629,-2.185349336657994,1.1487419956649154,-2.9303918110240277
1,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
2,0,reaction_linearized,1.0,-7.37086248223791,-2.327031227382822,1.1487419956649154,-3.0551052140099717
2,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
3,0,reaction_linearized,1.0,-7.112738923458393,-2.4685602663281694,1.1487419956649154,-3.1745816586410154
3,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
4,0,reaction_linearized,1.0,-6.870486723540808,-2.609791176369357,1.1487419956649154,-3.2890286631532812
4,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
5,0,reaction_linearized,1.0,-6.643027998770276,-2.750593025574283,1.1487419956649154,-3.3986565921960725
5,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
6,0,reaction_linearized,1.0,-6.429345309794862,-2.890848897710065,1.1487419956649154,-3.50367624576609
6,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
7,0,reaction_linearized,1.0,-6.228482094555544,-3.0304553512964048,1.1487419956649154,-3.6042968064868646
7,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
8,0,reaction_linearized,1.0,-6.039542137118782,-3.1693217225069685,1.1487419956649154,-3.7007241347003377
8,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
9,0,reaction_linearized,1.0,-5.8616882631406035,-3.307369320974885,1.1487419956649154,-3.7931593897846736
9,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
10,0,reaction_linearized,1.0,-5.694140437654891,-3.44453056058128,1.1487419956649154,-3.881797949059461
10,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
11,0,reaction_linearized,1.0,-5.5361734216312275,-3.580748059978831,1.1487419956649154,-3.966828591693666
11,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
12,0,reaction_linearized,1.0,-5.387114122580093,-3.71597374044882,1.1487419956649154,-4.048432913549492
12,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
13,0,reaction_linearized,1.0,-5.246338752785605,-3.85016794237575,1.1487419956649154,-4.126784939437915
13,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
14,0,reaction_linearized,1.0,-5.113269888212148,-3.9832985759914474,1.1487419956649154,-4.202050901019801
14,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
15,0,reaction_linearized,1.0,-4.987373502459299,-4.11534031716649,1.1487419956649154,-4.274389151111166
15,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
16,0,reaction_linearized,1.0,-4.86815603340981,-4.246273855226002,1.1487419956649154,-4.343950188253053
16,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
17,0,reaction_linearized,1.0,-4.755161525957208,-4.376085196646344,1.1487419956649154,-4.410876768597905
17,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
18,0,reaction_linearized,1.0,-4.647968882313057,-4.5047650259687755,1.1487419956649154,-4.475304085270466
18,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
19,0,reaction_linearized,1.0,-4.5461892414441465,-4.632308123562748,1.1487419956649154,-4.53735999841648
19,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
20,0,reaction_linearized,1.0,-4.449463501279945,-4.758712838560329,1.1487419956649154,-4.597165301894677
20,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
21,0,reaction_linearized,1.0,-4.357459991163657,-4.883980614277991,1.1487419956649154,-4.654834014976513
21,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
22,0,reaction_linearized,1.0,-4.269872297105101,-5.008115562967993,1.1487419956649154,-4.710473689630745
22,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
23,0,reaction_linearized,1.0,-4.1864172387666105,-5.131124086409349,1.1487419956649154,-4.764185725828657
23,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
24,0,reaction_linearized,1.0,-4.106832994518128,-5.253014538606257,1.1487419956649154,-4.816065688847348
24,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
25,0,reaction_linearized,1.0,-4.030877368937093,-5.373796926960741,1.1487419956649154,-4.866203623930494
25,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
26,0,reaction_linearized,1.0,-3.958326195874479,-5.493482648378532,1.1487419956649154,-4.914684364771238
26,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
27,0,reaction_linearized,1.0,-3.888971869490207,-5.612084256830534,1.1487419956649154,-4.961587833153629
27,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
28,0,reaction_linearized,1.0,-3.822621995185894,-5.729615259195249,1.1487419956649154,-5.006989327875743
28,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
29,0,reaction_linearized,1.0,-3.759098152240389,-5.84608993643276,1.1487419956649154,-5.050959801673033
29,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
