Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,2.974817562062526e-06,6.935346059966832,2.5732995254657e-06,7.22193096706178
2,1.3679522453458048e-05,7.031302420073189,9.861261105470476e-07,7.304091915953904
3,2.7491237233334687e-06,6.999037982081063,1.8621376511873677e-06,7.212094902060926
4,0.0002652844414114952,6.939280568039976,3.0393487122637453e-06,7.27784578606952
5,1.1899592209374532e-06,7.025778710027225,6.118150963629887e-07,7.282726548030041
6,1.5349963859989657e-06,6.977709129103459,4.2061861904585385e-07,7.211633515078574
7,3.4159388633270282e-06,6.969084780081175,2.939618752861861e-06,7.233470578910783
8,5.3886574278294574e-06,7.005826245062053,5.689669819730625e-07,7.287747489055619
9,1.5891739167273045e-05,6.962739235023037,9.979362403100822e-07,7.239925233065151
10,6.096587185311364e-06,6.995184681029059,1.5660803001082968e-06,7.286015972029418
11,1.2957445960637415e-06,6.956112063024193,6.006623038956604e-07,7.284224061993882
12,1.6311007584590698e-06,6.960009292932227,4.7657218260610534e-07,7.236004083999433
13,2.242572236355045e-06,6.994508886011317,4.4803306309404434e-07,7.247161946026608
14,2.6194370548182633e-06,7.015021082945168,5.943024348198378e-07,7.236079465015791
15,3.7500776670640334e-06,6.995843181037344,2.9448412988131167e-06,7.234333129017614
16,1.7885548004414886e-05,7.280809354968369,3.74593980723148e-07,7.23213602101896
17,1.3754975043411832e-05,7.020437972038053,3.3384202424713294e-07,7.255924577009864
18,4.9665686674416065e-06,7.027892391080968,9.963553111447254e-07,7.227033738978207
19,4.821535185328685e-06,6.954142258968204,1.114624751608062e-06,7.263070674962364
20,1.6203925042646006e-05,6.942781509947963,1.3956280326965498e-06,7.215867351973429
21,1.0817105930982507e-06,7.313564150943421,7.621832196491596e-07,7.248337185010314
22,1.636526758375112e-05,6.983052068040706,3.524332043980394e-07,7.236561142024584
23,2.1290503354975954e-05,6.980652414960787,7.558338666058262e-07,7.237084942054935
24,1.04910327536345e-06,6.972248017089441,1.8354049871049938e-06,7.184644275926985
25,2.60853948930162e-06,6.966936812037602,1.0299183941242518e-06,7.245233134017326
26,1.6192951079574414e-05,7.010338663938455,1.0248461876471993e-05,7.108639038051479
27,1.3162058394300402e-06,7.0435627000406384,7.37476398171566e-07,7.264781367965043
28,1.2309702697166358e-06,6.9938963069580495,1.3593884204965434e-06,7.220934099983424
29,2.1034825294918846e-06,6.980858165072277,2.4433899170617224e-07,7.336670576012693
30,2.9352559067774564e-06,6.943836101912893,1.3578649316059455e-07,7.227829593932256
31,8.357039405382238e-06,7.040986557956785,4.546684522210853e-07,7.255927914055064
32,1.6365240298910066e-05,6.932060652994551,9.777246532394201e-07,7.220408511930145
33,3.1876588764134794e-06,6.9965382950613275,6.002410941619019e-07,7.243394047021866
34,2.1778982954856474e-06,6.984729654970579,1.6740668229431321e-07,7.227424714015797
35,2.970366267618374e-06,7.036742320982739,5.579204298555851e-07,7.255763059016317
36,1.6204005078179762e-05,7.003237647935748,1.0439611060064635e-06,7.243923609959893
37,6.160589691717178e-07,6.970922644948587,4.7529835001114407e-07,7.157696160953492
38,2.3679110654484248e-06,6.980537644005381,6.698693937323696e-07,7.154081885935739
39,2.201180222982657e-06,7.1401026599342,1.034740577665616e-07,7.243872066028416
40,2.1575804112217156e-06,7.061389120994136,1.017498016153695e-05,7.205455865943804
41,3.7563870591839077e-06,6.988969959085807,2.9737277600361267e-06,7.2372726739849895
42,3.1563679385726573e-06,6.970891015022062,1.6195473335756105e-06,7.258007205091417
43,1.4043716873857193e-06,7.020501693943515,2.4633442308186204e-07,7.247598116984591
44,1.4954699736335897e-06,7.009174289996736,1.283162987419928e-06,7.259199390071444
45,6.644535915256711e-06,7.024943051044829,8.458741831418592e-07,7.255480380030349
46,8.249731990872533e-07,6.995542724034749,5.569445420405827e-07,7.273194424924441
47,6.801622475904878e-06,7.0353223730344325,6.888026859996899e-07,7.2504039879422635
48,2.8922315777890617e-06,7.006313786958344,1.0738207265603705e-06,7.271407676977105
49,2.405117356829578e-06,7.017385569051839,1.0487885901966365e-06,7.271127423038706
50,1.261130819329992e-05,7.05652335297782,4.254640941780963e-07,7.206222695996985
