Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,1.5967631043167785e-05,2.493660926935263,6.234695320017636e-07,2.631693198927678
2,3.302674713268061e-06,2.5542840260313824,4.5749382593385235e-07,2.6618208599975333
3,2.3241348117153393e-06,2.5397545190062374,4.2257656218680495e-07,2.637721087085083
4,1.9687429357873043e-06,2.5234166890149936,9.429116971659823e-07,2.640754119027406
5,6.7666992435988504e-06,2.554589829989709,8.899073122847767e-07,2.645503757055849
6,5.422992671810789e-06,2.5572091300273314,1.3452458347273932e-07,2.636942707002163
7,2.988948835991323e-06,2.529192481073551,3.12819338432746e-07,2.6403678990900517
8,1.041151222125336e-06,2.54396129201632,4.822973096452188e-07,2.635492510977201
9,5.159563897905173e-06,2.557317210943438,3.664545999981783e-07,2.6858073340263218
10,7.4308727562311105e-06,2.5432712519541383,1.772708515090926e-06,2.590497100027278
11,1.2169943147455342e-05,2.551720964955166,1.7249942629860016e-06,2.6437045910861343
12,3.591552740545012e-06,2.538653180003166,1.1616683650572668e-06,2.6289073289372027
13,3.0340854664245853e-06,2.5319365900941193,1.4533823389228928e-07,2.6645189609844238
14,1.5936087947920896e-05,2.5272076239343733,2.6132221364605357e-07,2.667005297029391
15,2.579853116913e-06,2.532407762017101,4.990146749150881e-07,2.6224752470152453
16,3.52824622495973e-06,2.5451150940498337,8.181635280379851e-07,2.65272598201409
17,3.7717900340794586e-06,2.5587140589486808,1.6296080218580755e-07,2.680700714001432
18,1.0183558515564073e-05,2.5472438370343298,6.4244193254126e-07,2.6385107280220836
19,3.3192475257237675e-06,2.5482654959196225,1.2855896329710959e-06,2.6531885949661955
20,1.2057642379659228e-05,2.532626491971314,3.308635143639549e-07,2.6536947189597413
21,1.5936102499836124e-05,2.519818871980533,4.3121579551552713e-07,2.6577102129813284
22,1.7531828007122385e-06,2.53054799803067,2.0338835327038396e-07,2.660516574047506
23,3.7267864172463305e-06,2.5447340650716797,6.426747631849139e-07,2.5981634740019217
24,1.5158892892941367e-05,2.5619148259283975,1.868646336333768e-06,2.6274561330210418
25,1.395801518810913e-06,2.542361915926449,3.438319993165351e-07,2.651978572946973
26,7.196060323622078e-06,2.5629736579721794,5.958782480774971e-07,2.637950150994584
27,8.133004484989215e-06,2.539421312045306,7.833861559447541e-07,2.655919278971851
28,1.063344461726956e-05,2.554901026072912,1.8853914696137508e-07,2.6571151670068502
29,9.932356306308066e-07,2.550567187019624,2.0491619068252476e-07,2.6411131588974968
30,5.882503728571464e-07,2.538258814951405,3.278048552601831e-07,2.6450975940097123
31,7.145268227759516e-06,2.542352816904895,2.155025669026145e-07,2.6567538160597906
32,3.509549287628033e-06,2.5443023649277166,2.506257885670493e-07,2.631896754959598
33,2.4254916297650198e-06,2.545567475957796,2.1834300412137964e-07,2.653648969018832
34,1.3409782013695803e-06,2.5508641590131447,4.683934946569934e-07,2.6266114830505103
35,2.5812075818976155e-06,2.5572275009471923,2.0862312339886557e-06,2.6420486440183595
36,5.775945282948669e-06,2.553491743048653,4.002535547442676e-07,2.645399686996825
37,1.3492001471604453e-06,2.539295356022194,2.5758774313544563e-07,2.644208580022678
38,6.290017608989729e-06,2.5477528870105743,2.10831188951488e-07,2.657087464001961
39,2.0432839846762363e-06,2.554301399970427,3.689002028295363e-07,2.6722997670294717
40,3.3326700759062078e-06,2.559545557014644,2.3936107140798413e-07,2.64884132205043
41,3.3402159260731423e-06,2.5363385840319097,7.184426635831187e-07,2.6428706540027633
42,1.7743180933393887e-06,2.5326874400489032,1.5205645240712329e-06,2.6433468479663134
43,1.3735815400650608e-06,2.542801310075447,4.3625260559565504e-07,2.631622585002333
44,4.188505045021884e-06,2.541965846903622,1.1242664044175399e-07,2.6287112360587344
45,1.5031337170512415e-06,2.556569085922092,4.5899781753178104e-07,2.6457019209628925
46,3.495807732178946e-06,2.548108611954376,4.1400554096071573e-07,2.652465014019981
47,2.9767024898319505e-06,2.5497422699118033,2.3084891154212528e-07,2.642527381074615
48,1.5936091585899703e-05,2.5138990570558235,7.993513690962573e-07,2.597510566934943
49,1.5850007457629545e-06,2.5281120169674978,3.1620157869838295e-07,2.6485254709841684
50,6.438143600462354e-07,2.533408273011446,4.5510111590374436e-07,2.65025305992458
