Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,9.918950354403933e-07,2.5595810509985313,8.607534596194455e-07,3.3277054369682446
2,5.7529528021404985e-06,2.573747077025473,3.45109242516628e-06,3.346363169956021
3,1.2509582347774995e-06,2.592233920004219,9.880598099698545e-07,3.3129720399156213
4,2.0936111013725167e-06,2.581677002948709,7.86233840699424e-07,3.3388791249599308
5,1.3972374972581747e-06,2.5969645699951798,8.927281669457443e-07,3.3336566510843113
6,8.344176762875577e-07,2.5936180340358987,6.663090630354418e-07,3.376046305987984
7,2.9223383535281755e-06,2.5894573199329898,1.7879548295240966e-06,3.330385726992972
8,1.5936098861857317e-05,2.5564496249426156,1.2943792171427049e-06,3.338210587971844
9,1.0708631634770427e-06,2.5853480820078403,1.0971381243507494e-06,3.3701971120899543
10,4.734077265311498e-06,2.5939996609231457,9.934390163834905e-07,3.318110933061689
11,1.5937923308229074e-05,2.5627747619291767,5.290947342473373e-07,3.347901627072133
12,2.9481161618605256e-06,2.582541259005666,1.287261056859279e-06,3.3054034430533648
13,3.22100618177501e-06,2.5810314379632473,8.155238333529269e-07,3.33459818107076
14,1.9652870832942426e-06,2.588046357035637,7.409765885313391e-07,3.308700566063635
15,6.322323315544054e-06,2.585476230015047,6.973697281864588e-07,3.3769888499518856
16,3.5188875244784867e-06,2.589196727029048,3.5927459407503193e-07,3.3491739529417828
17,1.0070585858557024e-06,2.585072039044462,8.587715569774446e-07,3.3440171629190445
18,1.9750254978134762e-06,2.5994283539475873,1.4264899164118106e-06,3.3194816559553146
19,2.637450052134227e-06,2.5895882439799607,7.595742204102862e-07,3.335578961065039
20,2.9705895485676592e-06,2.596504672896117,1.2209600299684098e-06,3.3544848930323496
21,1.547299871162977e-05,2.5794139759382233,2.107838099618675e-06,3.3597396400291473
22,1.6045177062551375e-06,2.5587331739952788,2.684412265807623e-06,3.319395761936903
23,1.3945442560725496e-06,2.575985111994669,6.69961536914343e-07,3.329030266031623
24,3.5274420042696875e-06,2.5852056560106575,8.375952234018769e-07,3.3428761221002787
25,1.8110623614120414e-06,2.585068876040168,5.787886721009272e-07,3.359991032979451
26,5.9947460613329895e-06,2.58383015205618,6.273119197430788e-07,3.315239569055848
27,4.1196162783307955e-06,2.5920502219814807,1.2733247558571748e-06,3.3255034670000896
28,1.1981009038208867e-06,2.593532704981044,8.454973112748121e-07,3.332683026092127
29,1.940755510076997e-06,2.5749771828996018,1.2451403108570958e-06,3.3166396990418434
30,3.3422818432882195e-06,2.580760639044456,1.0310126299373223e-06,3.3116623610258102
31,1.6717214066375163e-06,2.579790167976171,4.055232238897588e-07,3.3261733920080587
32,1.5940067896735854e-05,2.576246591983363,1.7174257891383604e-06,3.330297719105147
33,3.0337880616571056e-06,2.5925123509950936,1.2239647730893921e-06,3.3737094199750572
34,1.512906419520732e-05,2.589874378987588,9.140574093180476e-07,3.2950877329567447
35,2.502975348761538e-06,2.5753054129891098,7.175972314144019e-07,3.370268187019974
36,2.077190401905682e-06,2.5728153029922396,2.247207703476306e-06,3.1742354159941897
37,8.27970438876946e-07,2.5875289830146357,7.248161750794679e-07,3.3176467849407345
38,5.62213062949013e-06,2.581749886041507,8.70563383159606e-07,3.3335404290119186
39,7.88444322097348e-06,2.6004291110439226,5.747575642089942e-07,3.3164577540010214
40,2.4958737867564196e-06,2.588491464033723,1.322245907431352e-06,3.3346882079495117
41,2.961988684546668e-06,2.590002279030159,3.2818622912600404e-06,3.330807815073058
42,1.2282644092920236e-06,2.567152831936255,7.151809882088855e-07,3.312935992027633
43,2.2680137590214144e-06,2.6118876370601356,3.1927856980473734e-07,3.300357397994958
44,1.593609522387851e-05,2.5404856969835237,4.28962408705047e-07,3.321575135923922
45,2.220388978457777e-06,2.598963500931859,1.142552378041728e-06,3.3438098109327257
46,2.437655211906531e-06,2.603153667994775,9.332188710686751e-07,3.3061241899849847
47,2.235107331216568e-06,2.566375853959471,7.781933959449816e-07,3.3469619509996846
48,3.5783480143436464e-06,2.5922783829737455,1.0014211966336006e-06,3.3598400660557672
49,4.3198219827900175e-06,2.6066772859776393,1.2711706176560256e-06,3.3052768940106034
50,1.3275729315864737e-06,2.5984672700287774,5.438792527456826e-07,3.283684359979816
