Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,2.490307451807894e-06,2.532733910018578,1.6640836975057027e-06,3.0226624339120463
2,1.0620539114825078e-06,2.5621185790514573,1.8438885263094562e-06,3.025625881040469
3,1.3959942180008511e-06,2.589723631972447,3.743257138921763e-06,3.0433192920172587
4,2.7623639198282035e-06,2.578165309969336,2.0925929788973008e-07,3.0547048039734364
5,2.961234031317872e-06,2.552804396022111,4.707432026407332e-07,3.042979917023331
6,1.8218174773210194e-06,2.559851541998796,7.791629172970715e-07,3.0390857610618696
7,1.845583028625697e-06,2.5503403820330277,2.9833984172000783e-06,3.0288718559313565
8,3.6352632832858944e-06,2.5678618770325556,7.480699650841416e-07,3.036624707048759
9,4.995527888240758e-06,2.572058998979628,1.5351442925748415e-06,3.0258566689444706
10,1.7939458984983503e-06,2.5713115780381486,2.0060799670318374e-06,3.0549343830207363
11,3.28225200973975e-06,2.5822972810128704,1.3891351500205928e-06,3.0420601550722495
12,1.925202241181978e-06,2.5776015389710665,3.974838818976423e-06,3.025493825902231
13,1.5936104318825528e-05,2.55773262900766,2.2377889763447456e-06,3.029127843095921
14,2.0963730094081257e-06,2.5878700079629198,3.8962883763815626e-07,3.040272179991007
15,8.966953828348778e-06,2.585731073981151,1.4114519899521838e-06,3.0280318489531055
16,6.953767751838313e-06,2.5708525360096246,1.2705440894933417e-06,3.0142747439676896
17,4.689501565735554e-06,2.5647494780132547,1.916333076223964e-06,3.0265010190196335
18,2.0444163055799436e-06,2.5714960480108857,3.800878403126262e-06,2.9699632150586694
19,1.5936793715809472e-05,2.556604163022712,1.0098391385326977e-06,3.0937161550391465
20,2.9364962301769992e-06,2.5663786760997027,8.97484710549179e-07,3.0217303569661453
21,5.5297323342529126e-06,2.5696812759852037,9.263691822525288e-07,3.038166931946762
22,2.6296995656593936e-06,2.561802487936802,2.268129946969566e-06,3.039568859967403
23,6.576542091352167e-06,2.5613759519765154,1.342535483672691e-06,3.0411986160324886
24,3.3501132747915108e-06,2.5844839449273422,7.340169076996972e-07,3.0523527030600235
25,1.7444697277824162e-06,2.5735442810691893,1.5528324865954346e-06,3.027676885947585
26,7.924813871795777e-06,2.575401498004794,2.8105023375246674e-06,3.0489935140358284
27,5.935190074524144e-06,2.590376353939064,5.157966143087833e-07,3.02804563799873
28,4.744904799736105e-06,2.5738258470082656,1.2752581142194686e-06,3.0372648109914735
29,4.957898454449605e-06,2.565195200033486,1.2517300547187915e-06,3.0342544480226934
30,8.164221981132869e-06,2.5769841340370476,9.597403050065623e-07,3.0410689630080014
31,1.5739559557914617e-06,2.566393514047377,9.115025250139297e-07,3.0177700829226524
32,5.177654202270787e-06,2.585532814031467,5.3101571211300325e-06,2.926792284939438
33,1.0533137356105726e-05,2.5856062120292336,1.3744737543675e-06,3.0457217280054465
34,3.3673743473627837e-06,2.575330278952606,5.225188601798436e-07,3.035791481961496
35,1.199209577862348e-06,2.5716610869858414,2.040998879238032e-06,3.0652099950239062
36,2.5637418730184436e-06,2.561860661022365,1.5981449905666523e-06,3.0298797450959682
37,6.579255568794906e-06,2.5787403440335765,3.9261456663552963e-07,3.0391527719330043
38,3.9016185837681405e-06,2.5649458350380883,3.2895131880650297e-06,3.026471300981939
39,1.6001905578377773e-06,2.54176309495233,2.1646560526278336e-06,3.0477626610081643
40,2.0605707504728343e-06,2.575747733004391,4.359556555755262e-07,3.0398546520154923
41,2.657343884493457e-06,2.5598132010782138,1.4464276318904012e-06,3.0204380879877135
42,1.46438549109007e-06,2.553668571054004,4.5105053914085147e-07,3.0455542010022327
43,1.8774732097881497e-06,2.576239072950557,2.4496466721757315e-06,2.957484862068668
44,2.7613539259618847e-06,2.5783449120353907,1.8520188405091176e-06,3.0806963180657476
45,1.3449533753373544e-06,2.5777561500435695,2.576437054813141e-06,3.0328046669019386
46,5.295079972711392e-06,2.562420252012089,1.9662888917082455e-06,2.965118546038866
47,3.3954938771785237e-06,2.55187589104753,2.310249101356021e-06,3.0294211519649252
48,1.866818024609529e-06,2.54779196891468,4.728683961729985e-06,2.9277361979475245
49,1.4134052435110789e-06,2.587345067062415,1.3636326912092045e-07,3.047534637968056
50,1.4458574923992273e-06,2.5562819509068504,1.3357766874833032e-06,3.0585457199485973
