region_id,A_Cao,B_Ca,B_Cb,B_Cc,b
0,2.148741995664915,-8.833637023489715,-3.314767871583812,0.0,-5.210452443735386
1,2.148741995664915,-8.11648399815223,-3.7008016382921065,0.0,-5.540287873292143
2,2.148741995664915,-7.512829655401423,-4.084086141852771,0.0,-5.83364315207095
3,2.148741995664915,-7.002596548417445,-4.462365617436689,0.0,-6.094753320260352
4,2.148741995664915,-6.568984171823893,-4.8340719026998205,0.0,-6.327662180312904
5,2.148741995664915,-6.198198893218337,-5.198198893218338,0.0,-6.53606039202483
6,2.148741995664915,-5.879046559891578,-5.554172214842297,0.0,-6.723218084061616
7,2.148741995664915,-5.6024972654334535,-5.901733851745792,0.0,-6.891978059624602
8,2.148741995664915,-5.361281175265596,-6.240848718745621,0.0,-7.044782692033888
9,2.148741995664915,-5.149539995418683,-6.571633125965438,0.0,-7.183716302005554
10,2.148741995664915,-4.962539061608075,-6.894302039817736,0.0,-7.3105520247596
