Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,6e-05,12.624835423193872,7e-05,18.199361693114042
2,0.00025,12.53962423838675,1e-05,18.21308976225555
3,0.0002,12.526131237857044,2e-05,17.972472473047674
4,0.00012,12.624093073420227,0.0001,18.059469015337527
5,0.00028,12.480887057259679,3e-05,18.14238420315087
6,7e-05,12.700745705515146,6e-05,18.0702440161258
7,0.00021,12.51933808811009,4e-05,18.0350992269814
8,0.00016,12.5853180764243,3e-05,18.273040464147925
9,6e-05,12.536297256127,2e-05,18.164708896540105
10,0.0002,12.816118322312832,4e-05,18.128959351219237
11,2e-05,12.746030740439892,3e-05,18.1750120036304
12,0.00029,12.542079602368176,0.00013,18.177206601947546
13,0.00025,12.52557042427361,0.00011,18.140198891982436
14,0.00018,12.527907677926123,2e-05,18.086212030611932
15,0.00026,12.485757456161082,2e-05,18.77768546808511
16,7e-05,12.56611832883209,2e-05,18.06721041817218
17,0.00014,12.753245429135859,8e-05,18.080274518579245
18,3e-05,12.612651847302914,0.0002,17.91598825994879
19,2e-05,12.703264825046062,8e-05,18.189994695596397
20,9e-05,12.615981205366552,5e-05,18.308560559526086
21,0.00011,12.948069647885859,2e-05,18.149458777159452
22,0.00027,12.531063069589436,6e-05,18.188794978894293
23,0.00011,12.532357202842832,3e-05,18.038578713312745
24,0.00023,12.543476762250066,3e-05,18.14936470706016
25,0.00017,12.6447334298864,6e-05,18.199893700890243
26,1e-05,12.60352585464716,1e-05,18.254236198030412
27,0.00028,12.566068932414055,2e-05,18.170685026794672
28,9e-05,12.688185821287334,3e-05,18.15977132320404
29,0.00016,12.555806739255786,2e-05,18.03246516827494
30,0.0002,12.641878388822079,0.00027,18.29030872322619
31,6e-05,12.561022443696856,1e-05,18.33671777881682
32,2e-05,12.611995592713356,8e-05,18.056382542476058
33,4e-05,12.572170480154455,2e-05,18.133212191984057
34,3e-05,12.605039961636066,1e-05,18.176141338422894
35,4e-05,12.551162169314921,3e-05,18.028297915123403
36,0.00014,12.551183241419494,2e-05,18.35324513167143
37,3e-05,12.558259480632842,0.00018,18.09130176808685
38,0.00027,12.60774383507669,0.0,18.435853648930788
39,4e-05,12.629230863414705,1e-05,18.131836930289865
40,3e-05,12.610276203602552,3e-05,18.167680515907705
41,0.00016,12.51234002225101,0.0,18.08009604178369
42,3e-05,12.788223915733397,6e-05,18.149070310406387
43,9e-05,12.777612932026386,1e-05,18.231418474577367
44,2e-05,12.629042747430503,5e-05,18.104265067726374
45,0.00023,12.500203783623874,8e-05,17.970871172845364
46,0.00014,12.520466743037105,0.00016,18.018700799904764
47,0.00027,12.531705424189568,1e-05,18.20218044053763
48,0.00012,12.583655863068998,2e-05,18.22221191227436
49,0.00024,12.627964340150356,2e-05,18.22122517414391
50,0.00027,12.55434160400182,6e-05,17.97810983750969
