region_id,A_Cao,B_Ca,B_Cb,B_Cc,b
0,2.148741995664915,-9.149027697215232,-3.1640971305232126,0.0,-5.071023224111457
1,2.148741995664915,-8.968472934917743,-3.2490746626487628,0.0,-5.150449703201111
2,2.148741995664915,-8.794736128559544,-3.3340913323229096,0.0,-5.227875802353858
3,2.148741995664915,-8.627550591216293,-3.4191101882342014,0.0,-5.303343743452916
4,2.148741995664915,-8.4666563221907,-3.5040961157897357,0.0,-5.376896872613719
5,2.148741995664915,-8.311800379709846,-3.5890158634723983,0.0,-5.448579414315623
6,2.148741995664915,-8.162737178848829,-3.673838052579346,0.0,-5.518436240328292
7,2.148741995664915,-8.019228719205724,-3.758533172034272,0.0,-5.586512654483113
8,2.148741995664915,-7.8810447473756735,-3.843073559995707,0.0,-5.652854193950475
9,2.148741995664915,-7.7479628596137955,-3.927433373970877,0.0,-5.71750644733698
10,2.148741995664915,-7.619768550257849,-4.011588551097092,0.0,-5.78051488961516
11,2.148741995664915,-7.496255211524546,-4.095516760177404,0.0,-5.841924733642647
12,2.148741995664915,-7.3772240902204596,-4.1791973469613195,0.0,-5.901780797816696
13,2.148741995664915,-7.262484206741633,-4.262611274050729,0.0,-5.960127389241208
14,2.148741995664915,-7.151852241495849,-4.345741056691512,0.0,-6.017008201653611
15,2.148741995664915,-7.045152393587025,-4.42857069558705,0.0,-6.072466227264364
16,2.148741995664915,-6.942216216268941,-4.5110856077449935,0.0,-6.126543681598201
17,2.148741995664915,-6.84288243331981,-4.593272556246196,0.0,-6.179281940389293
18,2.148741995664915,-6.7469967401228175,-4.6751195797071325,0.0,-6.2307214875684505
19,2.148741995664915,-6.654411592869665,-4.756615922096063,0.0,-6.280901873384774
20,2.148741995664915,-6.564985988943475,-4.837751963459883,0.0,-6.329861681723843
21,2.148741995664915,-6.478585241189355,-4.918519152023885,0.0,-6.377638505715902
22,2.148741995664915,-6.39508074845052,-4.998909938040666,0.0,-6.424268930767746
23,2.148741995664915,-6.314349764438031,-5.078917709687438,0.0,-6.469788524198734
24,2.148741995664915,-6.2362751667151635,-5.158536731242688,0.0,-6.514231830712323
25,2.148741995664915,-6.160745227313758,-5.237762083713216,0.0,-6.557632372987872
26,2.148741995664915,-6.087653386260471,-5.31658960803054,0.0,-6.600022656732007
27,2.148741995664915,-6.016898029074725,-5.395015850890918,0.0,-6.641434179582884
28,2.148741995664915,-5.94838226910707,-5.473038013275236,0.0,-6.681897443314021
29,2.148741995664915,-5.8820137354151205,-5.5506539016530905,0.0,-6.721441968835546
30,2.148741995664915,-5.817704366723142,-5.627861881848837,0.0,-6.760096313539664
31,2.148741995664915,-5.755370211879209,-5.704660835525834,0.0,-6.797888090583578
32,2.148741995664915,-5.6949312371090635,-5.781050119227663,0.0,-6.834843989746312
33,2.148741995664915,-5.636311140266784,-5.8570295259014715,0.0,-6.870989799536319
34,2.148741995664915,-5.579437172197856,-5.9325992488181445,0.0,-6.906350430263959
35,2.148741995664915,-5.524239965258352,-6.007759847796359,0.0,-6.94094993782715
36,2.148741995664915,-5.470653368973666,-6.082512217632226,0.0,-6.974811547989749
37,2.148741995664915,-5.418614292770016,-6.156857558632909,0.0,-7.007957680960576
38,2.148741995664915,-5.368062555670733,-6.230797349150937,0.0,-7.040409976106681
39,2.148741995664915,-5.318940742815865,-6.304333320015585,0.0,-7.072189316657589
40,2.148741995664915,-5.271194068637042,-6.3774674307585375,0.0,-7.103315854277934
41,2.148741995664915,-5.224770246498818,-6.450201847532726,0.0,-7.133809033404535
42,2.148741995664915,-5.17961936460201,-6.522538922625658,0.0,-7.163687615260329
43,2.148741995664915,-5.13569376793329,-6.5944811754715165,0.0,-7.192969701472306
44,2.148741995664915,-5.092947946037599,-6.666031275069675,0.0,-7.2216727572334785
45,2.148741995664915,-5.051338426385424,-6.737192023720929,0.0,-7.249813633960246
46,2.148741995664915,-5.010823673105151,-6.807966341996674,0.0,-7.277408591406658
47,2.148741995664915,-4.97136399085081,-6.878357254860164,0.0,-7.304473319205575
48,2.148741995664915,-4.93292143357769,-6.948367878863098,0.0,-7.331022957814529
49,2.148741995664915,-4.895459718001726,-7.018001410344799,0.0,-7.357072118850578
