Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00018,24.51131168300344,4e-05,63.44356304199755
2,3e-05,24.92074677900382,1e-05,62.942649696000444
3,2e-05,24.756018778003636,1e-05,63.49553443599871
4,0.00023,24.67486766199727,0.0001,63.024915431997215
5,6e-05,24.756587720003154,1e-05,63.36204990799888
6,4e-05,24.7981880659936,1e-05,63.71349179199751
7,4e-05,24.602392493005027,1e-05,63.02944163799839
8,0.00015,24.75011729900143,1e-05,62.83431546200154
9,8e-05,24.729362352998578,3e-05,63.19192778300203
10,3e-05,24.75142645100277,1e-05,63.73741178299679
11,0.0002,24.567218532996776,2e-05,63.72204881699872
12,0.00015,24.66180321599677,7e-05,62.60816418300237
13,0.00011,24.815324160001182,0.0,63.27459600199654
14,0.00024,24.57709488800174,1e-05,63.26114609400247
15,0.0001,25.26546500599943,4e-05,62.97718177099887
16,0.00018,24.711469768000825,0.0001,62.50258090500574
17,8e-05,24.65324760999647,0.00017,62.72967945099663
18,0.00027,24.583916189003503,5e-05,63.183081128001504
19,0.00023,24.77935409299971,1e-05,63.5988157279935
20,0.00025,24.623930331996235,0.0,62.912850206994335
21,0.00014,24.571482917002868,9e-05,62.89885071799654
22,0.00013,24.535354425999685,1e-05,62.94878972299921
23,0.00017,24.641565628000535,2e-05,63.39225968199753
24,4e-05,24.698511298003723,0.0,62.92713664299663
25,2e-05,24.632966283003043,1e-05,63.163407523003116
26,0.00022,24.629747058002977,1e-05,63.248442418997
27,5e-05,24.968386686996382,6e-05,62.74925692300167
28,0.00013,24.624699997999414,6e-05,63.37768100800167
29,2e-05,24.642648998997174,3e-05,63.13799819799897
30,0.00024,24.659373331000097,1e-05,63.37750741199852
31,2e-05,24.734958597000514,5e-05,62.94307536799897
32,0.00013,24.815116851998027,3e-05,62.640295970995794
33,4e-05,25.41516397899977,1e-05,63.17025459200522
34,2e-05,24.637057470004947,3e-05,63.03089593400364
35,2e-05,24.89967585199338,0.0,63.038348321999365
36,0.00012,24.631520586997794,2e-05,63.02099902500049
37,6e-05,24.79836771600094,5e-05,63.239510978004546
38,3e-05,24.773749162006425,6e-05,63.18548804000602
39,4e-05,24.99229649100016,1e-05,62.91491632800171
40,3e-05,24.722900648004725,7e-05,63.01851854699635
41,0.00022,24.76371553700301,5e-05,62.927065285002755
42,1e-05,24.59991110699775,6e-05,63.38289635199908
43,0.00013,24.86821263800084,1e-05,63.24888769900281
44,0.00025,24.580149871995673,6e-05,63.122041107999394
45,0.00011,24.571399533997464,0.0001,62.626460801002395
46,0.00023,24.84758324199356,2e-05,63.47511821199441
47,0.00024,24.86194355799671,2e-05,63.97351334900304
48,7e-05,24.566605517000426,3e-05,62.81503073899512
49,1e-05,25.07119477100059,5e-05,63.638344585000596
50,0.00025,24.602700946001278,1e-05,63.13362265499745
