Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.0001,15.518274369998835,1e-05,29.242038966003747
2,9e-05,15.973516553996888,2e-05,29.307545333002054
3,3e-05,15.705043841000588,1e-05,29.29938342099922
4,5e-05,15.732424705995072,5e-05,29.11653252900578
5,0.00025,15.808130566001637,2e-05,29.32545838200167
6,6e-05,15.69160895299865,1e-05,29.058086449003895
7,0.00011,15.842213599004026,0.00011,28.901140999005293
8,0.00016,15.627649950998602,2e-05,29.187812128002406
9,7e-05,15.690767593994678,1e-05,29.56396809299622
10,5e-05,15.750889836999704,9e-05,29.25593426600244
11,0.00017,15.813294272003986,4e-05,29.36891636000655
12,8e-05,15.695059810001112,0.00011,29.263088886000332
13,0.00015,15.60922711600142,1e-05,29.28197339500184
14,2e-05,15.682922535997932,2e-05,29.183167511000647
15,6e-05,15.666579980003007,2e-05,29.02846564399806
16,0.0002,16.09081079399766,3e-05,29.168389570004365
17,1e-05,15.706902174999414,2e-05,29.349333994003246
18,7e-05,15.643005163001362,7e-05,29.07516726799804
19,0.00025,15.593502277995867,2e-05,29.10972676899837
20,8e-05,15.67665979200683,3e-05,29.543542730003537
21,0.00025,15.630735942999308,2e-05,29.45509193900216
22,0.00024,15.652543730000616,3e-05,29.32519411300018
23,0.00016,15.583949861997098,2e-05,29.035104495997075
24,3e-05,15.761591385002248,7e-05,29.18847054300568
25,3e-05,15.689021518002846,2e-05,29.630400542002462
26,2e-05,15.847471298999153,0.00011,29.143479575002857
27,0.00024,15.53404946000228,1e-05,29.245784298997023
28,0.00013,15.670898611999291,2e-05,29.402965765999397
29,0.00016,15.65425298500486,6e-05,29.047944102996553
30,7e-05,15.674750381003832,5e-05,29.38801468100428
31,9e-05,15.76190206699539,6e-05,29.18677636999928
32,0.0001,15.651724188996013,0.00014,28.927942948001146
33,5e-05,15.746074014998158,4e-05,29.144116362003842
34,0.00015,15.677186526998412,8e-05,29.41409601999476
35,0.00022,15.57547843100474,9e-05,29.502863867004635
36,0.00013,15.628246009000577,6e-05,28.807475333000184
37,8e-05,15.688289003999671,1e-05,29.22388831799617
38,5e-05,15.710615983996831,4e-05,29.10916975699365
39,3e-05,15.649789648996375,5e-05,29.386413186002756
40,1e-05,15.699346812005388,1e-05,29.38256561599701
41,2e-05,15.910272491993965,8e-05,29.210997668997152
42,0.00022,15.769677665004565,2e-05,29.58880900600343
43,8e-05,15.639488099994196,4e-05,29.373920575999364
44,3e-05,15.690186783998797,1e-05,29.27912526200089
45,8e-05,16.08391040200513,2e-05,29.098223226996197
46,0.00015,15.614764187004766,2e-05,29.53868224799953
47,5e-05,15.735087542998372,4e-05,28.9762616490043
48,3e-05,15.668944008997642,2e-05,29.09449009600212
49,0.00011,15.638166478005587,7e-05,28.983775870998215
50,3e-05,15.73890015699726,8e-05,29.115937196998857
