Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.0002,24.662696537561715,7e-05,63.167556871660054
2,2e-05,24.561660170555115,1e-05,63.89932766743004
3,8e-05,24.44867259543389,3e-05,63.52546251844615
4,6e-05,24.439397073350847,2e-05,63.54171754233539
5,2e-05,24.572728978469968,4e-05,63.68584939930588
6,0.00022,24.4435372389853,6e-05,62.861781088635325
7,0.00016,24.67669750470668,1e-05,62.59987765364349
8,0.00013,24.539928917773068,0.0001,62.64597707334906
9,8e-05,24.363987427204847,3e-05,63.61211458966136
10,4e-05,24.479611894115806,6e-05,62.85110207088292
11,6e-05,24.53092935681343,1e-05,63.63510467670858
12,5e-05,24.38674187567085,0.00015,62.913090891204774
13,0.00013,24.35120582394302,1e-05,63.75750492140651
14,0.00025,24.520957707427442,3e-05,62.37311066780239
15,0.00021,24.379716184921563,2e-05,63.275297100655735
16,0.00014,24.33367026038468,6e-05,62.97730104345828
17,4e-05,24.39442101214081,2e-05,63.22456150781363
18,0.00034,24.675990991294384,2e-05,64.01732971239835
19,5e-05,24.432528915815055,1e-05,63.27383195795119
20,2e-05,24.481164942495525,2e-05,62.955198428593576
21,0.00019,24.39813784044236,4e-05,63.26994586829096
22,4e-05,24.495669185183942,0.00015,62.63952669873834
23,0.00013,24.519315594807267,0.0001,63.545452176593244
24,0.00028,24.31980795506388,2e-05,63.62245206627995
25,3e-05,24.7089283792302,0.0001,62.92583982087672
26,0.00026,24.332267575897276,2e-05,64.16292220447212
27,0.0002,24.390016740188003,2e-05,62.58962324261665
28,0.00013,24.502901731990278,4e-05,63.50696567911655
29,0.00022,24.30099717527628,3e-05,63.16224806755781
30,0.00023,24.38027712609619,0.0001,62.70804708544165
31,6e-05,24.422393891960382,6e-05,63.11788658518344
32,0.00027,24.28925788309425,8e-05,62.81868011970073
33,0.0001,24.520939101465046,9e-05,62.47862921189517
34,0.00026,24.532458174973726,1e-05,63.165138840675354
35,4e-05,24.556208761408925,1e-05,63.160964974202216
36,3e-05,24.653292011469603,2e-05,63.229023931548
37,0.00023,24.25633041188121,3e-05,63.00441281590611
38,7e-05,24.407337837852538,5e-05,63.38034385070205
39,0.0001,24.388428192585707,7e-05,62.62890171632171
40,6e-05,24.29274840001017,4e-05,62.63951162062585
41,0.00027,24.416378242895007,1e-05,62.42560553457588
42,3e-05,24.497411998920143,8e-05,62.66732308175415
43,0.00011,24.51914133876562,1e-05,63.222100084647536
44,3e-05,24.383178464137018,0.0,63.16055221110582
45,0.00019,24.32768381945789,9e-05,62.33445793762803
46,4e-05,24.807901094667614,2e-05,62.83784404862672
47,0.00027,24.7122197272256,2e-05,63.96937018632889
48,0.00025,24.319464112631977,8e-05,62.675544667989016
49,5e-05,24.654340178705752,0.00012,62.695158610120416
50,0.00014,24.36198760662228,2e-05,63.419774774461985
