Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00025,0.00039
2,0.00023,0.0004
3,0.00025,0.00045
4,0.00031,0.00039
5,0.00023,0.00039
6,0.00075,0.00038
7,7e-05,0.0004
8,7e-05,0.00039
9,0.00019,0.00045
10,0.00024,0.00041
11,0.0002,0.00041
12,0.00013,0.00047
13,0.0003,0.00037
14,7e-05,0.00041
15,0.00014,0.00042
16,4e-05,0.00041
17,0.00022,0.0004
18,0.00015,0.00045
19,0.00023,0.00047
20,0.00016,0.00037
21,4e-05,0.00038
22,5e-05,0.00036
23,0.00011,0.00041
24,0.00019,0.00044
25,0.0002,0.00041
26,0.00107,0.00045
27,0.00011,0.00049
28,0.0022,0.00038
29,0.00054,0.00042
30,0.00011,0.00042
31,0.00011,0.00039
32,9e-05,0.00043
33,7e-05,0.00076
34,9e-05,0.00037
35,8e-05,0.00039
36,0.00012,0.0004
37,0.00017,0.0004
38,0.00025,0.00043
39,0.00028,0.00038
40,9e-05,0.00042
41,0.00019,0.00036
42,0.00022,0.00038
43,0.00023,0.00043
44,0.00017,0.00036
45,0.00019,0.00058
46,0.00015,0.00038
47,0.00013,0.00038
48,0.00043,0.00037
49,7e-05,0.00046
50,0.0001,0.00052
