Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.01018,34.265299022896215,0.00022,70.84972856403328
2,0.00038,33.467678216984496,0.00034,70.90235586813651
3,0.00037,33.56719294702634,0.00032,71.40970672294497
4,0.00024,33.87597038503736,0.00022,70.82905512698926
5,0.00086,33.56114849704318,0.00024,71.39320768695325
6,0.00073,33.42726988089271,0.00034,71.03863084106706
7,0.00059,33.42389851179905,0.0004,70.23605170799419
8,0.00744,33.770295412046835,0.00048,71.13206232897937
9,0.00024,33.36732333083637,0.00022,71.83198821102269
10,0.00105,34.01528536085971,0.00081,71.18242715089582
11,0.00045,33.0083082919009,0.00022,71.40509180002846
12,0.00049,33.51398529508151,0.00029,71.02096692100167
13,0.0006,33.47572222305462,0.00041,70.87360547599383
14,0.00038,33.419299891917035,0.00037,70.58774904208258
15,0.00044,33.384729873156175,0.00023,71.17879865714349
16,0.00113,33.35575671796687,0.00029,71.2547817339655
17,0.0004,33.46062965202145,0.00059,71.4930983770173
18,0.00047,33.4449405730702,0.0004,71.28063553292304
19,0.00038,33.55182106583379,0.00034,71.11668018298224
20,0.00067,33.54135172185488,0.00069,70.9085799548775
21,0.00028,33.695637124124914,0.00054,71.03337184712291
22,0.00043,33.69349432783201,0.00059,71.06811463017948
23,0.00029,33.60268478188664,0.00025,70.28533271187916
24,0.00033,33.58034915803,0.00034,70.70826419303194
25,0.00047,33.94808751810342,0.00026,71.07168982899748
26,0.00039,33.5923063128721,0.00023,70.83909158897586
27,0.00047,32.95777024910785,0.00039,70.37522330391221
28,0.00019,33.28355959104374,0.00022,71.06236990005709
29,0.00037,33.38663002406247,0.0003,70.9405720741488
30,0.00188,33.293808134039864,0.00027,71.07395117683336
31,0.00041,32.91236704098992,0.0005,71.24896680889651
32,0.00039,33.38376930402592,0.00038,71.08040564903058
33,0.00018,33.8030094190035,0.00039,70.82666437211446
34,0.00043,33.3964049720671,0.0006,71.53899717098102
35,0.00038,33.411744080949575,0.00048,71.38457954116166
36,0.00035,33.37676900299266,0.00026,71.44764401600696
37,0.00028,33.943398457951844,0.00023,71.17386399512179
38,0.00265,33.479942673118785,0.00034,71.14265876612626
39,0.00034,33.42064794804901,0.00034,71.21764115500264
40,0.00095,33.744482591049746,0.00053,71.15458909189329
41,0.00018,33.43648677202873,0.00026,70.89558991789818
42,0.00059,33.454529258888215,0.00036,71.21113371080719
43,0.0004,32.86793216294609,0.00031,70.79185552196577
44,0.00042,33.24587202211842,0.00022,70.9937158729881
45,0.0002,33.464315231190994,0.00032,71.01677399291657
46,0.00041,33.918066893005744,0.0001,70.53561256011017
47,0.01039,34.133461804827675,0.00028,70.72632554895245
48,0.00046,33.50894337100908,0.00031,70.37623535492457
49,0.00015,33.54857430397533,0.00025,70.82618833403103
50,0.0004,33.209806591970846,0.0003,70.1604635331314
