region_id,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,-0.002548950025881445,1.0038897680504506,-1.0275148796549687,-0.02430130975708137,0.0,-0.7869907657815346
1,-0.0029240528807792966,1.0038897680504506,-1.0273747968156453,-0.027374796815645173,0.0,-0.9016592974725779
2,-0.0032948822568962467,1.0038897680504506,-1.0272367193631209,-0.030431315080034004,0.0,-1.015021431383331
3,-0.02575196234943679,1.0872706795086227,-1.5614157502611714,-0.4785904911241313,0.0,-9.012547008408935
4,-0.028357020274437175,1.0872706795086227,-1.5321325127042986,-0.5321325127042986,0.0,-9.906596026721886
5,-0.030733366758645783,1.0872706795086227,-1.506234205162482,-0.5840907795276824,0.0,-10.722151880965635
6,-0.05393644843220258,2.1487419956649276,-6.7627445819783505,-4.6615024859342435,0.0,-25.099993679030376
7,-0.058249212833219544,2.1487419956649276,-6.198198893218579,-5.1981988932185805,0.0,-26.923284883651935
8,-0.06193284884407796,2.1487419956649276,-5.745167545532526,-5.717420842907518,0.0,-28.480601842130277
9,-0.16319246914493424,11.065526847736407,-53.57372554407146,-41.2418806613105,0.0,-113.33065586930769
10,-0.1755879396075708,11.065526847736407,-47.36532091019703,-46.365320910197006,0.0,-120.40973814515189
11,-0.18591329004675838,11.065526847736407,-42.56772916469177,-51.32289660646985,0.0,-126.30657001662223
12,-0.7629214453953974,65.19585844280634,-368.36581705873937,-281.5564876463587,0.0,-645.9759848507454
13,-0.8195625776834046,65.19585844280634,-319.9282508359601,-318.9282508359585,0.0,-684.4026920418013
14,-0.866060740978134,65.19585844280634,-283.3137555912238,-355.09794955221406,0.0,-715.948164981443
15,-2.062534305150219,192.2389947196993,-1161.732118942845,-877.1832930963678,0.0,-1894.7916256030232
16,-2.213965799562441,192.2389947196993,-999.2645665516955,-998.2645665516648,0.0,-2005.825858279562
17,-2.3372458757597023,192.2389947196993,-877.9947189726486,-1115.4682637640453,0.0,-2096.2186046390825
18,-5.1651037707293455,518.0188621624775,-3315.4564825649722,-2471.7112957766235,0.0,-5088.5941282251815
19,-5.540823105390075,518.0188621624775,-2826.3737638902867,-2825.373763890073,0.0,-5383.53016475764
20,-5.84432239590204,518.0188621624775,-2465.587146904738,-3167.7605281666147,0.0,-5621.774166536426
