region_id,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,-0.002548950025881445,1.0038897680504506,-1.0275148796549687,-0.02430130975708137,0.0,-0.7869907657815346
1,-0.0029240528807792966,1.0038897680504506,-1.0273747968156453,-0.027374796815645173,0.0,-0.9016592974725779
2,-0.0032948822568962467,1.0038897680504506,-1.0272367193631209,-0.030431315080034004,0.0,-1.015021431383331
3,-0.02575196234943679,1.0872706795086227,-1.5614157502611714,-0.4785904911241313,0.0,-9.012547008408935
4,-0.028357020274437175,1.0872706795086227,-1.5321325127042986,-0.5321325127042986,0.0,-9.906596026721886
5,-0.030733366758645783,1.0872706795086227,-1.506234205162482,-0.5840907795276824,0.0,-10.722151880965635
6,-0.05393644843220255,2.1487419956649276,-6.762744581978349,-4.661502485934244,0.0,-25.09999367903037
7,-0.058249212833219516,2.1487419956649276,-6.198198893218579,-5.19819889321858,0.0,-26.923284883651927
8,-0.061932848844078014,2.1487419956649276,-5.745167545532526,-5.717420842907518,0.0,-28.480601842130298
9,-0.16319246914493424,11.065526847736407,-53.57372554407146,-41.2418806613105,0.0,-113.33065586930769
10,-0.1755879396075679,11.065526847736407,-47.36532091019701,-46.36532091019694,0.0,-120.40973814515073
11,-0.1859132900467586,11.065526847736407,-42.56772916469183,-51.322896606469826,0.0,-126.30657001662235
12,-0.7629214453954036,65.19585844280634,-368.3658170587352,-281.5564876463605,0.0,-645.9759848507482
13,-0.8195625776830049,65.19585844280634,-319.9282508359556,-318.928250835949,0.0,-684.4026920416272
14,-0.8660607409791155,65.19585844280634,-283.3137555912427,-355.0979495522331,0.0,-715.9481649818707
15,-2.0625343051537612,192.2389947196993,-1161.7321189430102,-877.1832930964151,0.0,-1894.7916256046426
16,-2.213965799557432,192.2389947196993,-999.2645665515702,-998.2645665515572,0.0,-2005.8258582772664
17,-2.337245875761514,192.2389947196993,-877.9947189727056,-1115.4682637640751,0.0,-2096.218604639914
18,-5.16510377072936,518.0188621624775,-3315.4564825649045,-2471.7112957766503,0.0,-5088.594128225191
19,-5.540823105390075,518.0188621624775,-2826.3737638903485,-2825.373763890042,0.0,-5383.53016475764
20,-5.844322395912734,518.0188621624775,-2465.587146904878,-3167.760528166967,0.0,-5621.774166541569
