Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00046,32.60081086901482,0.00044,78.43672905198764
2,0.00041,32.65417403110769,0.00024,76.48475733096711
3,0.00047,32.89838384196628,0.00033,76.87613078998402
4,0.00044,32.30530290794559,0.00037,77.19715045893099
5,0.00039,32.263245133915916,0.00324,77.42415777500719
6,0.00039,32.876774644013494,0.00042,76.20748001500033
7,0.00046,32.09544447704684,0.00033,76.30340590898413
8,0.00514,32.81810287106782,0.0033,76.78844449599274
9,0.00034,32.59396817605011,0.00034,77.83514142700005
10,0.00038,32.24286180199124,0.00041,75.83717673306819
11,0.00048,32.92146857199259,0.00035,76.28307125507854
12,0.00428,32.81126437801868,0.00114,76.66917417000514
13,0.00046,32.15097908698954,0.00047,76.95613492000848
14,0.01063,32.1497880340321,0.00058,76.07922486402094
15,0.00041,33.161705942009576,0.00026,76.30133057793137
16,0.00046,32.176948381005786,0.00033,76.54596079094335
17,0.00041,32.063535268069245,0.00034,76.13791347807273
18,0.00029,32.45568100491073,0.00033,76.72531931998674
19,0.00043,33.04036747303326,0.00069,76.72664850507863
20,0.0005,32.56154605909251,0.00032,76.54669915803242
21,0.00024,32.138381080003455,0.00036,77.49880588997621
22,0.00061,32.835145568009466,0.00033,76.80549067200627
23,0.00048,32.77677297592163,0.00035,77.91856380703393
24,0.00035,32.58044059004169,0.00027,77.05434555397369
25,0.00041,32.30181515403092,0.00019,77.32289565796964
26,0.00042,32.206220482010394,0.00019,77.94554055598564
27,0.00064,33.213436697027646,0.00022,77.3708283919841
28,0.0004,32.49308165896218,0.00032,81.12534759996925
29,0.00019,32.408694933052175,0.00034,78.51909583003726
30,0.00057,32.80167878593784,0.00056,78.20909426000435
31,0.00044,32.19413397903554,0.00033,78.05749124707654
32,0.00051,32.65831439499743,0.00026,79.53624657099135
33,0.00049,32.690617552027106,0.00626,78.42447933799122
34,0.00043,32.349828397040255,0.00035,78.92858161905315
35,0.00032,31.84248850599397,0.00035,79.07079593802337
36,0.00045,32.282339885947295,0.0003,77.83105336606968
37,0.00043,32.608261077082716,0.00032,79.14312857598998
38,0.00042,32.75837734702509,0.00038,78.68657838797662
39,0.00019,32.04871380398981,0.00027,79.06711753294803
40,0.00047,32.127752883010544,0.00035,79.69364496204071
41,0.00042,32.767214698018506,0.00054,79.11820323392749
42,0.00041,33.18252767494414,0.00066,79.21795807802118
43,0.00046,32.270008529070765,0.0003,77.53920297010336
44,0.00044,32.81986936100293,0.00032,78.84125445701648
45,0.00042,32.86948546394706,0.00056,78.91062242502812
46,0.00043,32.80569441895932,0.00016,79.17940129106864
47,0.00129,32.812013739021495,0.00032,78.9203553859843
48,0.00046,32.03992614697199,0.00013,78.23287234001327
49,0.00049,33.07489352999255,0.00035,75.98496736492962
50,0.00044,32.779599981964566,0.00035,77.01280841010157
