region_id,iT,iC,T_low,T_high,C_low,C_high,Tss,Caoss,Cass,Cbss,Ccss,fss,aCa,aCb,aCc,aT,aCao,b
0,0,0,280.0,305.7142857142857,0.8,0.9333333333333333,292.8571428571429,0.8666666666666667,0.8390368143658392,1.9447402953976785,0.0828895569034823,-3.3485313046671683e-13,-1.0334616049666272,-0.028873282978924265,0.005376625841100445,-0.003493631222396944,1.0,-1.0792858948572106
1,0,1,280.0,305.7142857142857,0.9333333333333333,1.0666666666666667,292.8571428571429,1.0,0.9683727128450168,1.9367454256900336,0.0948818614649496,-1.8981127433703726e-15,-1.0331870477109701,-0.03318704771097021,0.005376625841100445,-0.003999083190166795,1.0,-1.2354349399666542
2,0,2,280.0,305.7142857142857,1.0666666666666667,1.2,292.8571428571429,1.1333333333333333,1.0977706931752125,1.9288747196844247,0.1066879204733626,3.312903337077122e-13,-1.032917859269333,-0.0374687488193655,0.005376625841100445,-0.004496685275472651,1.0,-1.3891589244785847
3,1,0,305.7142857142857,331.42857142857144,0.8,0.9333333333333333,318.57142857142856,0.8666666666666667,0.644634372599007,1.555935411864014,0.6660968822039789,-3.3679309341394514e-13,-1.4232322594384086,-0.3506958707236924,0.0762618311478395,-0.02428493982101891,1.0,-8.282148095606644
4,1,1,305.7142857142857,331.42857142857144,0.9333333333333333,1.0666666666666667,318.57142857142856,1.0,0.7550416421171182,1.5100832842342364,0.734875073648645,-3.83026943495679e-15,-1.398655199758565,-0.398655199758565,0.0762618311478395,-0.0267924943297649,1.0,-9.137325746953573
5,1,2,305.7142857142857,331.42857142857144,1.0666666666666667,1.2,318.57142857142856,1.1333333333333333,0.8673706973956461,1.4680747281252922,0.7978879078120618,3.290701044988964e-13,-1.3767835711064513,-0.44522396929365726,0.0762618311478395,-0.029089852156372803,1.0,-9.920817816062987
6,2,0,331.42857142857144,357.1428571428571,0.8,0.9333333333333333,344.2857142857143,0.8666666666666667,0.447368878261895,1.16140442318979,1.2578933652153153,-4.1011638529653283e-13,-3.983838810041119,-2.2987283235863227,0.7278668115087009,-0.04758347867282907,1.0,-19.052065185798813
7,2,1,331.42857142857144,357.1428571428571,0.9333333333333333,1.0666666666666667,344.2857142857143,1.0,0.5464571929272181,1.092914385854436,1.3606284212183462,-8.215650382226158e-14,-3.6422912834921557,-2.642291283492156,0.7278668115087009,-0.05146973126104844,1.0,-20.608091346650177
8,2,2,331.42857142857144,357.1428571428571,1.0666666666666667,1.2,344.2857142857143,1.1333333333333333,0.6502964344173994,1.0339262021687987,1.4491106967468022,2.4424906541753444e-13,-3.3647622836155455,-2.9746735851247452,0.7278668115087009,-0.054816830933373306,1.0,-21.948244755335537
9,3,0,357.1428571428571,382.8571428571429,0.8,0.9333333333333333,370.0,0.8666666666666667,0.380301792289976,1.027270251245952,1.4590946231310715,-6.483702463810914e-13,-21.758084927101766,-15.36954251855241,5.077101861982213,-0.10354414554962199,1.0,-54.10000765792881
10,3,1,357.1428571428571,382.8571428571429,0.9333333333333333,1.0666666666666667,370.0,1.0,0.4762765568693601,0.9525531137387204,1.5711703293919197,-3.348432642269472e-13,-18.848275598224742,-17.84827559822474,5.077101861982213,-0.11149755930201233,1.0,-58.255527437700366
11,3,2,357.1428571428571,382.8571428571429,1.0666666666666667,1.2,370.0,1.1333333333333333,0.578296132165683,0.8899255976653649,1.6651116035019522,-2.6645352591003757e-14,-16.578486388932888,-20.246587911056437,5.077101861982213,-0.11816406934554424,1.0,-61.73866250528261
12,4,0,382.8571428571429,408.57142857142856,0.8,0.9333333333333333,395.7142857142857,0.8666666666666667,0.3502570439749184,0.9671807546158429,1.549228868076239,-2.0108359422010835e-12,-124.17019789698816,-89.21027267202015,27.513571865879676,-0.36310744288998764,1.0,-229.96926124316175
13,4,1,382.8571428571429,408.57142857142856,0.9333333333333333,1.0666666666666667,395.7142857142857,1.0,0.4448816386901106,0.8897632773802197,1.6653550839296698,-1.8189894035458565e-12,-105.24117588166408,-104.24117588166426,27.513571865879676,-0.3903250439558592,1.0,-247.20716625582747
14,4,2,382.8571428571429,408.57142857142856,1.0666666666666667,1.2,395.7142857142857,1.1333333333333333,0.5462311259201433,0.8257955851742877,1.7613066222385692,-1.5774048733874224e-12,-90.79154831867982,-118.78711733697112,27.513571865879676,-0.4128141147669191,1.0,-261.45031963021745
15,5,0,408.57142857142856,434.2857142857143,0.8,0.9333333333333333,421.42857142857144,0.8666666666666667,0.3287930032187062,0.9242526731034132,1.6136209903448808,-8.043343768804334e-12,-598.0136088168562,-424.7624120928433,121.31474795703843,-1.3585205627326076,1.0,-965.1071748194057
16,5,1,408.57142857142856,434.2857142857143,0.9333333333333333,1.0666666666666667,421.42857142857144,1.0,0.4224571352792729,0.8449142705585377,1.7326285941621893,-8.270717444247566e-12,-499.9167573873238,-498.91675738732846,121.31474795703843,-1.458714026919509,1.0,-1036.285656624853
17,5,2,408.57142857142856,434.2857142857143,1.0666666666666667,1.2,421.42857142857144,1.1333333333333333,0.5233826723057069,0.7800986779454212,1.829851983081872,-8.668621376273222e-12,-426.30636676730006,-570.6918600953568,121.31474795703843,-1.5405671843934563,1.0,-1094.434993283272
18,6,0,434.2857142857143,460.0,0.8,0.9333333333333333,447.1428571428571,0.8666666666666667,0.3110598491262428,0.8887863649185738,1.6668204526221837,-2.9672264645341784e-11,-2419.4299260506864,-1692.8172564587821,450.990891022225,-4.552325891435402,1.0,-3540.092901581263
19,6,1,434.2857142857143,460.0,0.9333333333333333,1.0666666666666667,447.1428571428571,1.0,0.4039274968380089,0.8078549936761482,1.788217509485843,-4.617959348252043e-10,-1999.0463988364077,-1998.0463988360852,450.990891022225,-4.883878677624182,1.0,-3797.923226748331
20,6,2,434.2857142857143,460.0,1.0666666666666667,1.2,447.1428571428571,1.1333333333333333,0.5045379332183425,0.7424091997707234,1.8863862003439344,-3.296918293926865e-11,-1688.4286999087758,-2293.537819758202,450.990891022225,-5.151991462285402,1.0,-4006.4197598324777
