region_id,constraint_order,constraint_name,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,0,reaction_linearized,-0.030681039074020894,1.0,-1.6978757727255573,-0.5675266957009858,0.13860473762290954,-10.781599170984325
0,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
1,0,reaction_linearized,-0.03358900365339879,1.0,-1.6458548756228208,-0.6458548756228206,0.13860473762290954,-11.803484656108594
1,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
2,0,reaction_linearized,-0.036203368057742165,1.0,-1.6008060578981902,-0.7217505377252013,0.13860473762290954,-12.722196340759025
2,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
3,0,reaction_linearized,-0.984538431340563,1.0,-410.6445577395807,-292.7025217479916,85.17421332379475,-682.0043657393593
3,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
4,0,reaction_linearized,-1.0574142903839583,1.0,-344.3694929535655,-343.36949295355544,85.17421332379475,-732.4865535772949
4,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
5,0,reaction_linearized,-1.1171112837930846,1.0,-294.43422825855276,-392.4085289344733,85.17421332379475,-773.8395458328323
5,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
