region_id,constraint_order,constraint_name,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,0,reaction_linearized,-0.015458366364947752,1.0,-1.2041318505405634,-0.172639685431684,0.033083088480006524,-5.0905064923851455
0,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
1,0,reaction_linearized,-0.017281327920259822,1.0,-1.1966405250145042,-0.19664052501450419,0.033083088480006524,-5.690815568622774
1,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
2,0,reaction_linearized,-0.018997374347328608,1.0,-1.189716521892524,-0.2200763781091135,0.033083088480006524,-6.255917033550922
2,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
3,0,reaction_linearized,-0.10354414554962199,1.0,-21.758084927101766,-15.36954251855241,5.077101861982213,-54.10000765792881
3,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
4,0,reaction_linearized,-0.11149755930201233,1.0,-18.848275598224742,-17.84827559822474,5.077101861982213,-58.255527437700366
4,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
5,0,reaction_linearized,-0.11816406934554424,1.0,-16.578486388932888,-20.246587911056437,5.077101861982213,-61.73866250528261
5,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
6,0,reaction_linearized,-2.0625343051506277,1.0,-970.4931242227738,-685.9442983769351,191.2389947196993,-1512.3136361639233
6,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
7,0,reaction_linearized,-2.21396579955735,1.0,-808.0255718318813,-807.0255718318501,191.2389947196993,-1623.3478688378307
7,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
8,0,reaction_linearized,-2.33724587575945,1.0,-686.7557242532075,-924.2292690440619,191.2389947196993,-1713.7406151994905
8,1,mass_balance,0.0,-1.0,1.0,1.0,1.0,2.0
