Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00158,23.527384009910747,0.00048,49.98664052411914
2,0.00842,23.5785893490538,0.00097,49.87284562503919
3,0.00552,23.372346072923392,0.00186,49.756992630893365
4,0.00579,23.37063180282712,0.00109,49.99125266307965
5,0.00374,23.107969557866454,0.00168,49.94109543506056
6,0.01086,23.31255580484867,0.00114,50.21703713689931
7,0.00437,23.701887760078534,0.0018,49.66522453003563
8,0.0031,23.434956869808957,0.00165,50.38289598701522
9,0.00979,23.386433077044785,0.00095,49.73296499601565
10,0.0041,23.32374108210206,0.002,49.944005199940875
11,0.00592,23.687912692083046,0.00065,49.89924251800403
12,0.0105,23.279694164870307,0.00092,49.92611986701377
13,0.00426,23.515888062072918,0.0006,50.241738395998254
14,0.00656,23.353925734991208,0.00098,49.901681418996304
15,0.00125,23.634212070144713,0.00101,49.69880462810397
16,0.00272,23.170745771145448,0.00088,49.056123215006664
17,0.00963,23.336531462846324,0.0009,50.01994901592843
18,0.00415,23.61692176409997,0.00113,50.13528257398866
19,0.00689,23.175796311115846,0.00225,50.085503719048575
20,0.00498,23.53840287984349,0.00064,49.29569045314565
21,0.00438,23.599161700112745,0.00048,50.42016727803275
22,0.01003,23.6051520309411,0.00068,50.346981468144804
23,0.00516,23.75949927093461,0.0014,49.469798848964274
24,0.00706,23.136690284125507,0.00066,50.161645555868745
25,0.00625,23.201654012082145,0.00056,49.97893990390003
26,0.00959,23.49119404098019,0.00121,49.81515481299721
27,0.00494,23.295420065056533,0.00103,49.83106511505321
28,0.0023,23.724749121116474,0.00059,50.03312642592937
29,0.00349,23.46361137717031,0.00082,50.1956980607938
30,0.00874,23.293817498954013,0.00091,50.01920498907566
31,0.00289,23.823069707956165,0.00118,50.052311385050416
32,0.00337,23.86914315400645,0.0007,50.07324990606867
33,0.00495,23.45887898397632,0.00124,50.094915377907455
34,0.0084,23.631643158150837,0.00117,49.92886002105661
35,0.00675,23.402793013956398,0.00094,50.39652718603611
36,0.00732,23.630681809037924,0.00098,50.23471801611595
37,0.00456,23.132598268799484,0.0008,50.23422246216796
38,0.00388,23.437059154966846,0.00077,50.02886283188127
39,0.00404,23.374903701944277,0.00056,49.95150198112242
40,0.01894,23.29826929909177,0.00089,49.821840018965304
41,0.00878,23.44244650588371,0.00078,50.7008984668646
42,0.00753,23.524447158910334,0.00072,49.847060894127935
43,0.00092,23.336864423938096,0.00097,49.70278937602416
44,0.00553,23.474645345006138,0.00165,50.20782030490227
45,0.00198,23.2107390279416,0.002,49.02165564196184
46,0.00334,23.690747812157497,0.00102,50.09638509713113
47,0.00799,23.56824790383689,0.00037,49.5120568331331
48,0.0053,23.609814416849986,0.00108,49.62704665702768
49,0.00929,23.183437295025215,0.00113,49.41229463298805
50,0.0009,23.498377899173647,0.00107,49.35496646608226
