Iteration,NN_Training_Error,NN_Training_Time_sec,KKThPINN_Training_Error,KKThPINN_Training_Time_sec
1,0.00871,17.707896078005433,0.0005,30.294590334873646
2,0.00198,17.75103098899126,0.00097,30.106422337004915
3,0.00755,17.604744881857187,0.00074,29.837116226088256
4,0.0139,17.57884985418059,0.00106,30.511207069968805
5,0.00614,17.6276665199548,0.00046,30.01422032387927
6,0.00191,17.755765496054664,0.00114,30.17402933095582
7,0.00578,17.845975482836366,0.00048,29.871737255016342
8,0.00211,17.684390679001808,0.00096,30.033749334979802
9,0.00326,17.257338952971622,0.00093,29.584753239061683
10,0.00938,17.42913240008056,0.00189,29.806766527006403
11,0.01117,17.472850921098143,0.00063,30.039564123144373
12,0.00763,17.3587882949505,0.00087,29.813099664170295
13,0.00407,17.315378800034523,0.001,29.49792549619451
14,0.00406,17.422357336152345,0.00073,29.75519249518402
15,0.00168,17.423510167049244,0.00146,29.81889275298454
16,0.00476,17.580585360061377,0.00108,30.076250954065472
17,0.00905,17.397069714963436,0.001,29.720376461045817
18,0.00255,17.7267069730442,0.00167,29.598389795050025
19,0.00511,17.220624109962955,0.00112,29.95213994407095
20,0.01144,17.59880146291107,0.00171,29.930385837797076
21,0.00707,17.728333367966115,0.00099,30.302199441939592
22,0.00253,17.490357696078718,0.00134,29.746526788920164
23,0.00595,17.566628969972953,0.0014,30.169823634903878
24,0.00573,17.43287872010842,0.00096,30.00498963613063
25,0.00484,17.582002900075167,0.00073,30.05565474485047
26,0.00956,17.924664989113808,0.00189,29.922220379812643
27,0.00207,17.992543631931767,0.00187,29.60147606418468
28,0.00894,17.520555107854307,0.00175,29.82904764311388
29,0.00374,17.322465144097805,0.00116,30.17276167194359
30,0.00649,17.92418608092703,0.00128,29.901492876000702
31,0.00724,17.59318533190526,0.00148,29.9284726169426
32,0.00125,17.49760333704762,0.00073,29.870240575866774
33,0.00345,17.538899426115677,0.0009,30.206447880947962
34,0.00388,17.670038437005132,0.00134,29.716853671940044
35,0.00702,17.385826368816197,0.00089,29.961848689010367
36,0.00247,17.46095586498268,0.00145,29.50735098007135
37,0.00116,17.57587202405557,0.0019,30.163379649166018
38,0.00542,17.437528364127502,0.00091,30.07411518204026
39,0.00667,17.558518225094303,0.00124,30.463518184842542
40,0.00388,17.829408385092393,0.00094,30.12512621912174
41,0.00543,17.35477020405233,0.00064,30.342282711993903
42,0.00443,17.501460345927626,0.00157,30.047328867018223
43,0.0033,17.659027606016025,0.00173,30.75903204199858
44,0.0021,17.525043518980965,0.00171,30.89356359303929
45,0.00503,17.932255649007857,0.0016,30.199773845029995
46,0.0087,17.592640317045152,0.00152,30.173407576978207
47,0.00376,17.463937552878633,0.00135,30.47215596586466
48,0.00249,17.636841423111036,0.00104,30.883079655002803
49,0.00425,17.367053482914343,0.00053,30.537566191051155
50,0.00763,17.288485299097374,0.0014,30.29763935599476
