region_id,iT,iC,T_low,T_high,C_low,C_high,Tss,Caoss,Cass,Cbss,fss,aCa,aCb,aT,aCao,b
0,0,0,280.0,296.3636363636364,0.8,0.9333333333333333,288.1818181818182,0.8666666666666667,0.8508068558329301,1.9682803783318603,-3.357849209188052e-13,-1.021972411719879,-0.01942299903770366,-0.002069444771857839,1.0031550656250978,-0.6347063423630871
1,0,1,280.0,296.3636363636364,0.9333333333333333,1.0666666666666667,288.1818181818182,1.0,0.9817860691317928,1.9635721382635856,-1.7022516209108662e-15,-1.021882495039541,-0.021882495039541146,-0.002376618763271643,1.0031550656250978,-0.7279811061943404
2,0,2,280.0,296.3636363636364,1.0666666666666667,1.2,288.1818181818182,1.1333333333333333,1.112787062724761,1.958907458783522,3.3236789514189125e-13,-1.0217936226315167,-0.02433089505144644,-0.0026809507841072506,1.0031550656250978,-0.8203928928793958
3,1,0,296.3636363636364,312.72727272727275,0.8,0.9333333333333333,304.54545454545456,0.8666666666666667,0.7774483995614353,1.8215634657888704,-3.4051754471686735e-13,-1.140264468644436,-0.12250827128228448,-0.01047900850565357,1.0189743171207633,-3.4178767111507646
4,1,1,296.3636363636364,312.72727272727275,0.9333333333333333,1.0666666666666667,304.54545454545456,1.0,0.8993628344013688,1.7987256688027375,-1.0495077029659683e-15,-1.1372421907893928,-0.13724219078939282,-0.011820199478264487,1.0189743171207633,-3.8504681173300126
5,1,2,296.3636363636364,312.72727272727275,1.0666666666666667,1.2,304.54545454545456,1.1333333333333333,1.0217627861569265,1.776858905647853,3.3846103003609684e-13,-1.1343841496220728,-0.15170457682976063,-0.013104364731215944,1.0189743171207633,-4.264666291851993
6,2,0,312.72727272727275,329.0909090909091,0.8,0.9333333333333333,320.90909090909093,0.8666666666666667,0.620697662130345,1.50806199092669,-3.822636651662492e-13,-1.6042843787577254,-0.5142343461918211,-0.026674268122703022,1.0950305110276348,-9.382261526239047
7,2,1,312.72727272727275,329.0909090909091,0.9333333333333333,1.0666666666666667,320.90909090909093,1.0,0.7294615220556449,1.4589230441112897,-1.9192980538207394e-14,-1.5716378396770074,-0.5716378396770075,-0.029338720591193447,1.0950305110276348,-10.30045659016988
8,2,2,312.72727272727275,329.0909090909091,1.0666666666666667,1.2,320.90909090909093,1.1333333333333333,0.8404434177048603,1.4142201687437206,3.443217932996845e-13,-1.5428778530021623,-0.62732436317014,-0.031762636737975705,1.0950305110276348,-11.135760603912965
9,3,0,329.0909090909091,345.45454545454544,0.8,0.9333333333333333,337.27272727272725,0.8666666666666667,0.4841715991125017,1.2350098648910035,-5.203615316418109e-13,-3.1618102311727347,-1.7829211214432918,-0.04133854385190079,1.407066025359728,-16.45569009345703
